wiki_id,name,party,url,party_abbrev
Q6219711,Hans Unander,Socialdemokraterna,http://www.wikidata.org/entity/Q6219711,S
Q6228063,Peder Wachtmeister,Moderaterna,http://www.wikidata.org/entity/Q6228063,M
Q6241320,Daniel Wiklund i Bromma,Liberalerna,http://www.wikidata.org/entity/Q6241320,L
Q6244005,Christer Windén,Ny demokrati,http://www.wikidata.org/entity/Q6244005,NYD
Q6248285,Olle Wästberg,Liberalerna,http://www.wikidata.org/entity/Q6248285,L
Q6248447,Nils Erik Wååg,Socialdemokraterna,http://www.wikidata.org/entity/Q6248447,S
Q6252074,Leif Zetterberg,Centerpartiet,http://www.wikidata.org/entity/Q6252074,C
Q6254697,Rolf Åbjörnsson,Kristdemokraterna,http://www.wikidata.org/entity/Q6254697,KD
Q6254778,Jan Erik Ågren,Kristdemokraterna,http://www.wikidata.org/entity/Q6254778,KD
Q6255733,Ture Ångqvist,Socialdemokraterna,http://www.wikidata.org/entity/Q6255733,S
Q6255956,Per Åsling,Centerpartiet,http://www.wikidata.org/entity/Q6255956,C
Q6930975,Anna Hagwall,Sverigedemokraterna,http://www.wikidata.org/entity/Q6930975,SD
Q10678024,Stefan Käll,Liberalerna,http://www.wikidata.org/entity/Q10678024,L
Q6198963,Nils Svensson i Malmberget,Socialdemokraterna,http://www.wikidata.org/entity/Q6198963,S
Q6222931,Emil Alexander Vasseur,Moderaterna,http://www.wikidata.org/entity/Q6222931,M
Q6228037,Hans Hansson Wachtmeister,Moderaterna,http://www.wikidata.org/entity/Q6228037,M
Q6234316,Ernst Wehtje j:r,Moderaterna,http://www.wikidata.org/entity/Q6234316,M
Q6255705,Valter Åman,Socialdemokraterna,http://www.wikidata.org/entity/Q6255705,S
Q6256023,Anders Åström,Moderaterna,http://www.wikidata.org/entity/Q6256023,M
Q5589019,Ludwig Brännström,Moderaterna,http://www.wikidata.org/entity/Q5589019,M
Q5597697,Carl Björling,Liberalerna,http://www.wikidata.org/entity/Q5597697,L
Q5786904,Erik Hammarsten,Socialdemokraterna,http://www.wikidata.org/entity/Q5786904,S
Q5787447,Yngve Hamrin,Liberalerna,http://www.wikidata.org/entity/Q5787447,L
Q5789075,Eric Hansson,Moderaterna,http://www.wikidata.org/entity/Q5789075,M
Q5798778,Gustaf Hellbacken,Socialdemokraterna,http://www.wikidata.org/entity/Q5798778,S
Q5801482,Torsten Henriksson,Moderaterna,http://www.wikidata.org/entity/Q5801482,M
Q5826537,Gösta Jacobsson i Mjölby,Moderaterna,http://www.wikidata.org/entity/Q5826537,M
Q5879846,Robert Jansson,Centerpartiet,http://www.wikidata.org/entity/Q5879846,C
Q5885974,Erik Johansson i Öckerö,Socialdemokraterna,http://www.wikidata.org/entity/Q5885974,S
Q5886041,Fridolf Johansson,Liberalerna,http://www.wikidata.org/entity/Q5886041,L
