role,government,wiki_id,start,end
Sveriges handelsminister,Regeringen Hansson II,Q4570928,1938-12-16,1939-12-13
Sveriges bostadsminister,Regeringen Löfven I,Q470630,2016-05-25,2019-01-21
Sveriges försvarsminister,Regeringen Palme I,Q2345137,1973-01-01,1976-01-01
Sveriges handelsminister,Regeringen Löfven I,Q18243775,2016-05-25,2019-09-10
Sveriges civilminister,Regeringen Löfven I,Q4787806,2014-10-03,2019-09-30
Sveriges miljöminister,Regeringen Löfven I,Q4979119,2016-05-25,2019-01-21
Sveriges socialminister,Regeringen Palme I,Q5561426,1962-09-19,1976-10-08
Sveriges skolminister,Regeringen Palme I,Q5989925,1967-09-29,1973-11-03
Sveriges miljöminister,Regeringen Löfven II,Q5581337,2021-02-05,2021-11-30
Sveriges justitieminister,Regeringen Palme I,Q2130664,1969-10-14,1976-10-08
Sveriges konsumentminister,Regeringen Löfven I,Q5581337,2014-10-03,2019-01-21
Sveriges utbildningsminister,Regeringen Palme I,Q53740,1969-10-14,1973-11-02
Sveriges finansmarknadsminister,Regeringen Löfven I,Q5581337,2014-10-03,2021-02-05
Sveriges finansminister,Regeringen Erlander I,Q5783838,1949-07-01,1949-10-17
Sveriges jordbruksminister,Regeringen Palme I,Q707581,1969-01-25,1973-11-02
Sveriges handelsminister,Regeringen Palme I,Q6146893,1955-09-12,1970-10-09
Sveriges socialminister,Regeringen Löfven I,Q4980750,2017-07-27,2019-01-21
Sveriges invandrarminister,Regeringen Palme I,Q1796120,1973-11-03,1976-10-08
Sveriges bostadsminister,Regeringen Palme I,Q53740,1974-01-01,1976-10-08
Sveriges utrikesminister,Regeringen Löfven I,Q237522,2014-10-03,2019-09-10
Sveriges energiminister,Regeringen Löfven I,Q3055916,2014-10-03,2019-01-21
Sveriges idrottsminister,Regeringen Löfven I,Q24018140,2019-01-21,2021-11-30
Sveriges jämställdhetsminister,Regeringen Palme I,Q1796120,1973-11-03,1976-10-08
Sveriges försvarsminister,Regeringen Palme I,Q953952,1957-03-22,1973-10-31
Sveriges landsbygdsminister,Regeringen Löfven II,Q4563096,2019-01-21,2021-06-30
Sveriges försvarsminister,Regeringen Hansson II,Q6180686,1938-12-16,1945-07-31
Sveriges digitaliseringsminister,Regeringen Löfven I,Q5581337,2016-04-18,2016-05-25
Sveriges ungdomsminister,Regeringen Palme I,Q4970788,1969-10-14,1973-11-03
Sveriges digitaliseringsminister,Regeringen Löfven I,Q470630,2016-05-25,2019-01-21
konsultativt statsråd,Regeringen Erlander I,Q5959211,1950-01-04,1950-07-01
konsultativt statsråd,Regeringen Palme I,Q5950208,1969-10-14,1974-12-31
Sveriges samfundsminister,Regeringen Palme I,Q152437,1969-10-14,1973-11-03
Sveriges civilminister,Regeringen Löfven III,Q4967237,2019-10-01,2021-11-30
Sveriges utrikesminister,Regeringen Palme I,Q241035,1962-09-19,1971-06-30
Sveriges löneminister,Regeringen Palme I,Q927466,1975-11-01,1976-10-08
Sveriges minister för nordiskt samarbete,Regeringen Löfven II,Q18243775,2019-01-21,2019-09-10
Sveriges socialförsäkringsminister,Regeringen Löfven II,Q4980750,2014-10-03,2019-10-01
Sveriges biståndsminister,Regeringen Löfven II,Q19977122,2021-02-05,2021-11-30
Sveriges kulturminister,Regeringen Löfven III,Q24018140,2019-01-21,2021-11-30
Sveriges handelsminister,Regeringen Löfven II,Q18243775,2016-05-25,2019-09-10
Sveriges civilminister,Regeringen Löfven II,Q4787806,2014-10-03,2019-09-30
Sveriges socialförsäkringsminister,Regeringen Löfven III,Q4787806,2019-10-01,
Sveriges skolminister,Regeringen Andersson,Q23915324,2021-11-30,
Sveriges infrastrukturminister,Regeringen Löfven II,Q5711551,2017-07-27,
Sveriges arbetsmarknadsminister,Regeringen Löfven I,Q3369258,2014-10-03,2019-09-10
Sveriges integrationsminister,Regeringen Löfven I,Q3369258,2016-05-25,2019-01-21
Sveriges kulturminister,Regeringen Löfven II,Q24018140,2019-01-21,2021-11-30
Sveriges infrastrukturminister,Regeringen Andersson,Q5711551,2017-07-27,
Sveriges demokratiminister,Regeringen Löfven III,Q24018140,2019-01-21,2021-11-30
Sveriges bostadsminister,Regeringen Löfven III,Q64524335,2021-02-05,2021-11-30
Sveriges socialförsäkringsminister,Regeringen Löfven II,Q4787806,2019-10-01,
Sveriges ungdomsminister,Regeringen Löfven I,Q18176335,2014-10-03,2016-08-15
Sveriges socialförsäkringsminister,Regeringen Andersson,Q4787806,2019-10-01,
Sveriges ungdomsminister,Regeringen Löfven I,Q4953463,2016-08-15,2016-09-13
Sveriges sjukvårdsminister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27
Sveriges demokratiminister,Regeringen Löfven II,Q24018140,2019-01-21,2021-11-30
Sveriges samfundsminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21
Sveriges bostadsminister,Regeringen Löfven II,Q64524335,2021-02-05,2021-11-30
Sveriges utbildningsminister,Regeringen Löfven III,Q4946204,2019-01-21,
Sveriges bostadsminister,Regeringen Löfven II,Q5581337,2019-01-21,2021-02-05
Sveriges arbetsmarknadsminister,Regeringen Löfven III,Q4970111,2019-09-10,
Sveriges inrikesminister,Regeringen Löfven III,Q3372917,2019-01-21,2021-11-30
Sveriges näringsminister,Regeringen Löfven III,Q3055916,2019-01-21,2021-11-30
Sveriges jämställdhetsminister,Regeringen Löfven III,Q64524335,2021-02-05,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven III,Q5887217,2019-09-10,2021-11-30
Sveriges utbildningsminister,Regeringen Löfven II,Q4946204,2019-01-21,
Sveriges EU-minister,Regeringen Löfven III,Q5615474,2021-07-09,
Sveriges energiminister,Regeringen Löfven III,Q3375050,2019-01-21,2021-11-30
Sveriges jämställdhetsminister,Regeringen Löfven I,Q18177071,2014-10-03,2018-03-08
Sveriges arbetsmarknadsminister,Regeringen Löfven II,Q4970111,2019-09-10,
Sveriges inrikesminister,Regeringen Löfven II,Q3372917,2019-01-21,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven II,Q237522,2014-10-03,2019-09-10
Sveriges högskoleminister,Regeringen Löfven I,Q4953463,2014-10-03,2019-01-21
Sveriges utbildningsminister,Regeringen Andersson,Q4946204,2019-01-21,
Sveriges näringsminister,Regeringen Löfven II,Q3055916,2019-01-21,2021-11-30
Sveriges arbetsmarknadsminister,Regeringen Löfven II,Q3369258,2014-10-03,2019-09-10
Sveriges arbetsmarknadsminister,Regeringen Andersson,Q4970111,2019-09-10,
Sveriges jämställdhetsminister,Regeringen Löfven II,Q64524335,2021-02-05,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven II,Q5887217,2019-09-10,2021-11-30
Sveriges energiminister,Regeringen Löfven II,Q3375050,2019-01-21,2021-11-30
Sveriges folkhälsominister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27
Sveriges utrikesminister,Regeringen Löfven III,Q18243775,2019-09-10,
Sveriges justitieminister,Regeringen Löfven III,Q5887217,2014-10-03,
Sveriges högskoleminister,Regeringen Löfven III,Q3373058,2019-01-21,2021-11-30
Sveriges EU-minister,Regeringen Löfven II,Q5615474,2019-01-21,2021-07-09
Sveriges EU-minister,Regeringen Andersson,Q5615474,2021-07-09,
Sveriges biståndsminister,Regeringen Löfven II,Q241208,2020-12-17,2021-02-05
Sveriges finansminister,Regeringen Löfven III,Q4935873,2014-10-03,2021-11-30
Sveriges miljöminister,Regeringen Löfven III,Q5581337,2021-02-05,2021-11-30
Klimatminister,Regeringen Löfven III,Q5581337,2021-02-05,2021-11-30
Sveriges miljöminister,Regeringen Löfven II,Q241208,2019-01-21,2021-02-05
Sveriges handelsminister,Regeringen Löfven III,Q67207189,2019-09-10,
Sveriges utrikesminister,Regeringen Löfven II,Q18243775,2019-09-10,
Sveriges justitieminister,Regeringen Löfven II,Q5887217,2014-10-03,
Sveriges högskoleminister,Regeringen Löfven II,Q3373058,2019-01-21,2021-11-30
Sveriges ungdomsminister,Regeringen Löfven I,Q4946204,2016-09-13,2019-01-21
Sveriges utrikesminister,Regeringen Andersson,Q18243775,2019-09-10,
Sveriges infrastrukturminister,Regeringen Löfven I,Q5711551,2017-07-27,
Sveriges finansminister,Regeringen Löfven II,Q4935873,2014-10-03,2021-11-30
Sveriges justitieminister,Regeringen Andersson,Q5887217,2014-10-03,
Klimatminister,Regeringen Löfven II,Q5581337,2021-02-05,2021-11-30
Sveriges handelsminister,Regeringen Löfven II,Q67207189,2019-09-10,
Sveriges kulturminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21
Sveriges socialminister,Regeringen Löfven III,Q3431836,2019-01-21,
Sveriges digitaliseringsminister,Regeringen Löfven III,Q3375050,2019-01-21,2021-11-30
Sveriges finansmarknadsminister,Regeringen Löfven III,Q23916255,2021-02-05,2021-11-30
Sveriges biståndsminister,Regeringen Löfven II,Q470630,2019-01-21,2020-12-17
Sveriges migrationsminister,Regeringen Löfven III,Q5887217,2019-01-21,2021-11-30
Sveriges landsbygdsminister,Regeringen Löfven I,Q4609816,2014-10-03,2019-01-21
Sveriges biståndsminister,Regeringen Löfven III,Q19977122,2021-02-05,2021-11-30
Sveriges socialminister,Regeringen Löfven II,Q3431836,2019-01-21,
Sveriges demokratiminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21
Sveriges digitaliseringsminister,Regeringen Löfven II,Q3375050,2019-01-21,2021-11-30
Sveriges finansmarknadsminister,Regeringen Löfven II,Q23916255,2021-02-05,2021-11-30
Sveriges jämställdhetsminister,Regeringen Löfven II,Q23916255,2019-01-21,2021-02-05
Sveriges socialminister,Regeringen Andersson,Q3431836,2019-01-21,
Sveriges migrationsminister,Regeringen Löfven II,Q5887217,2019-01-21,2021-11-30
Sveriges infrastrukturminister,Regeringen Löfven III,Q5711551,2017-07-27,
Sveriges kulturminister,Regeringen Andersson,Q109828321,2021-11-30,
