alias,wiki_id
Tornérhjelm i Vrams Gunnarstorp o Helsingborg,Q6213725
Gustafsson i Stenkyrka,Q6131173
Wickström i Östersund,Q6239905
Edén i Uppsala,Q53310
Carlsson i Tyresö,Q53740
Berglind i Fläckebo,Q104905221
Andreason i Nygård,Q105026351
Berlin i Härnösand,Q105025768
Carlsson i Ystad,Q105714624
Sjöberg i Sävsjö,Q110607272
Isaksson i Västervik,Q110611538
Kilbom i Stockholm,Q1347810
Broström i Göteborg,Q4346188
Andersson i Tungelsta,Q5553863
Forslund i Spånga,Q4710223
Bergström i Högsön,Q5573465
Börjesson i Falköping,Q4887786
Jäderberg i Kiruna,Q4957618
Manderström i Stockholm,Q4993034
Öberg i Göteborg,Q4991099
Sjöström-Bengtsson i Göteborg,Q4979011
Andersson i Björkäng,Q5578035
Andersson i Lindesberg,Q5578035
Alströmer i Östad,Q5548010
Boman i Stafsund,Q5231532
Johanson i Stockholm,Q5341366
Albertsson i Tenhult,Q5545566
Andersson i Örnsköldsvik,Q5554059
Annerås i Lindome,Q5557484
Axelson i Fagerås,Q5562937
Boo i By,Q5582047
Blom i Såtenäs,Q5579356
Billman i Karlskoga,Q5576164
Berg i Luleå,Q5571280
Bjurström i Hedemora,Q5577306
Bergström i Kristianstad,Q5573272
Bergström i Stockholm o Örebro,Q5573272
Bellinder i Göteborg,Q5569486
Andersson i Pettersborg,Q5555629
Carlsson i Göteborg,Q5603110
Christenson i Södertälje,Q5608366
Berg i Eksjö,Q5571210
Berg i Ekudden,Q5571424
Berggren i Gammelstad,Q5571900
Bergendahl i Ryholm,Q5571534
Andreasson i Tunge,Q5556551
Cederström i Fredrikslund,Q5605713
Assarsson i Rönneberga,Q5561545
Behmer i Norrtälje,Q5568860
Bengtsson i Häradsköp,Q5570446
Börjesson i Glömminge,Q5600489
Bennich i Stockholm,Q5570669
Sundling i Söderby,Q6196280
Bosson i Vinslöv,Q5583166
Bromée i Billsta,Q5587303
Broomé i Bårslöv,Q5587500
Broomé i Lidingö,Q5587500
Berg i Brunntorp,Q5596693
Bystedt i Sundsvall,Q5591469
Byström i Stockholm,Q5591493
Ekenman i Näsbyholm,Q5629773
Bäckman i Näsbyn,Q5591628
Carlstein i Borås,Q5603482
Ekman i Finspång,Q5630490
Gezelius i Falun,Q5757569
Gavelin i Gällivare,Q5753607
Hagman i Kungsholms i Villastad,Q5782657
Hansén i Bonsarve,Q5788657
Holmgren i Varnhem,Q5811461
Herou i Stålbo,Q5802988
Johansson i Lyckåsgård,Q5887855
Johansson i Skärstad,Q5887855
Karlsson i Munkedal,Q5901397
Lamm i Stockholm,Q5932922
Johansson i Krogstorp,Q5887828
Johansson i Kälkebo,Q5886585
Jönsson i Slätåker,Q5895957
Ljunggren i Pukeby,Q5961229
Karlsson i Nynäshamn,Q5902186
Lübeck i Stockholm,Q5968560
Philipson i Norrköping,Q6048265
Olsson i Ramsta,Q6026932
