year,protocol,N
1869,corpus/protocols/1869/prot-1869--fk--0309.xml,101
1869,corpus/protocols/1869/prot-1869--fk--0310.xml,40
1869,corpus/protocols/1869/prot-1869--fk--0311.xml,104
1869,corpus/protocols/1869/prot-1869--fk--0312.xml,47
1869,corpus/protocols/1869/prot-1869--fk--0313.xml,85
1869,corpus/protocols/1869/prot-1869--fk--0316.xml,3
1869,corpus/protocols/1869/prot-1869--fk--0317.xml,170
1869,corpus/protocols/1869/prot-1869--fk--0318.xml,26
1869,corpus/protocols/1869/prot-1869--fk--0322.xml,17
1869,corpus/protocols/1869/prot-1869--fk--0323.xml,9
1869,corpus/protocols/1869/prot-1869--fk--0331.xml,2
1869,corpus/protocols/1869/prot-1869--fk--0401.xml,26
1869,corpus/protocols/1869/prot-1869--fk--0403.xml,64
1869,corpus/protocols/1869/prot-1869--fk--0405.xml,26
1869,corpus/protocols/1869/prot-1869--fk--0407.xml,15
1869,corpus/protocols/1869/prot-1869--fk--0408.xml,2
1869,corpus/protocols/1869/prot-1869--fk--0410.xml,83
1869,corpus/protocols/1869/prot-1869--fk--0414.xml,66
1869,corpus/protocols/1869/prot-1869--fk--0415.xml,19
1869,corpus/protocols/1869/prot-1869--fk--0417.xml,84
1869,corpus/protocols/1869/prot-1869--fk--0420.xml,55
1869,corpus/protocols/1869/prot-1869--fk--0421.xml,61
1869,corpus/protocols/1869/prot-1869--fk--0423.xml,74
1869,corpus/protocols/1869/prot-1869--fk--0424.xml,38
1869,corpus/protocols/1869/prot-1869--fk--0427.xml,0
1869,corpus/protocols/1869/prot-1869--fk--0428.xml,72
1869,corpus/protocols/1869/prot-1869--fk--0430.xml,88
1869,corpus/protocols/1869/prot-1869--fk--0501.xml,34
1869,corpus/protocols/1869/prot-1869--fk--0503.xml,44
1869,corpus/protocols/1869/prot-1869--fk--0505.xml,86
1869,corpus/protocols/1869/prot-1869--fk--0507.xml,71
1869,corpus/protocols/1869/prot-1869--fk--0508.xml,48
1869,corpus/protocols/1869/prot-1869--fk--0510.xml,51
1869,corpus/protocols/1869/prot-1869--fk--0511.xml,29
1869,corpus/protocols/1869/prot-1869--fk--0512.xml,32
1869,corpus/protocols/1869/prot-1869--fk--0513.xml,0
1869,corpus/protocols/1869/prot-1869--fk--0514.xml,0
1869,corpus/protocols/1869/prot-1869--fk--0515.xml,4
1870,corpus/protocols/1870/prot-1870--ak--0118.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0119.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0120.xml,7
1870,corpus/protocols/1870/prot-1870--ak--0122.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0124.xml,34
1870,corpus/protocols/1870/prot-1870--ak--0126.xml,18
1870,corpus/protocols/1870/prot-1870--ak--0127.xml,18
1870,corpus/protocols/1870/prot-1870--ak--0128.xml,17
1870,corpus/protocols/1870/prot-1870--ak--0129.xml,41
1870,corpus/protocols/1870/prot-1870--ak--0131.xml,20
1870,corpus/protocols/1870/prot-1870--ak--0202.xml,1
1870,corpus/protocols/1870/prot-1870--ak--0205.xml,1
1870,corpus/protocols/1870/prot-1870--ak--0209.xml,6
1870,corpus/protocols/1870/prot-1870--ak--0212.xml,41
1870,corpus/protocols/1870/prot-1870--ak--0216.xml,69
1870,corpus/protocols/1870/prot-1870--ak--0217.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0219.xml,31
1870,corpus/protocols/1870/prot-1870--ak--0223.xml,23
1870,corpus/protocols/1870/prot-1870--ak--0226.xml,59
1870,corpus/protocols/1870/prot-1870--ak--0301.xml,6
1870,corpus/protocols/1870/prot-1870--ak--0302.xml,40
1870,corpus/protocols/1870/prot-1870--ak--0305.xml,19
1870,corpus/protocols/1870/prot-1870--ak--0307.xml,69
1870,corpus/protocols/1870/prot-1870--ak--0308.xml,72
1870,corpus/protocols/1870/prot-1870--ak--0309.xml,5
1870,corpus/protocols/1870/prot-1870--ak--0310.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0312.xml,49
1870,corpus/protocols/1870/prot-1870--ak--0314.xml,42
1870,corpus/protocols/1870/prot-1870--ak--0315.xml,94
1870,corpus/protocols/1870/prot-1870--ak--0316.xml,29
1870,corpus/protocols/1870/prot-1870--ak--0317.xml,71
1870,corpus/protocols/1870/prot-1870--ak--0318.xml,116
1870,corpus/protocols/1870/prot-1870--ak--0319.xml,103
1870,corpus/protocols/1870/prot-1870--ak--0321.xml,146
1870,corpus/protocols/1870/prot-1870--ak--0322.xml,42
1870,corpus/protocols/1870/prot-1870--ak--0323.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0324.xml,43
1870,corpus/protocols/1870/prot-1870--ak--0326.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0330.xml,23
1870,corpus/protocols/1870/prot-1870--ak--0401.xml,1
1870,corpus/protocols/1870/prot-1870--ak--0402.xml,54
1870,corpus/protocols/1870/prot-1870--ak--0406.xml,91
1870,corpus/protocols/1870/prot-1870--ak--0408.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0409.xml,35
1870,corpus/protocols/1870/prot-1870--ak--0413.xml,35
1870,corpus/protocols/1870/prot-1870--ak--0416.xml,0
1870,corpus/protocols/1870/prot-1870--ak--0420.xml,4
1870,corpus/protocols/1870/prot-1870--ak--0421.xml,113
