role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
Statsministerns ställföretädare,Regeringen Reinfeldt,Q253640,2006-10-06,2010-10-05,Maud Olofsson,kvinna,1955-08-09,,Centerpartiet,,maud_olofsson_statsministerns_stallforetadare_w
energiminister,Regeringen Reinfeldt,Q3562306,2011-09-29,2014-10-03,Anna-Karin Hatt,kvinna,1972-12-07,,Centerpartiet,,anna-karin_hatt_energiminister_w
bostadsminister,Regeringen Carlsson I,Q5969868,1988-10-04,1991-10-04,Ulf Lönnqvist,man,1936-06-26,,Socialdemokraterna,,ulf_lonnqvist_bostadsminister_w
integrationsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05,Nyamko Sabuni,kvinna,1969-03-31,,Liberalerna,,nyamko_sabuni_integrationsminister_w
högskoleminister,Regeringen Reinfeldt,Q946818,2007-09-12,2009-06-17,Lars Leijonborg,man,1949-11-21,,Liberalerna,,lars_leijonborg_hogskoleminister_w
biträdande utbildningsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03,Maria Arnholm,kvinna,1958-03-16,,Liberalerna,,maria_arnholm_bitradande_utbildningsminister_w
justitieminister,Regeringen Reinfeldt,Q297850,2006-10-06,2014-10-03,Beatrice Ask,kvinna,1956-04-20,,Moderaterna,,beatrice_ask_justitieminister_w
finansminister,Regeringen Reinfeldt,Q182050,2006-10-06,2014-10-03,Anders Borg,man,1968-01-11,,Moderaterna,,anders_borg_finansminister_w
demokratiminister,Regeringen Reinfeldt,Q429001,2010-10-05,2014-10-03,Birgitta Ohlsson,kvinna,1975-07-20,,Liberalerna,,birgitta_ohlsson_demokratiminister_w
folkhälsominister,Regeringen Reinfeldt,Q447542,2006-10-06,2010-10-05,Maria Larsson,kvinna,1956-01-20,,Kristdemokraterna,,maria_larsson_folkhalsominister_w
miljöminister,Regeringen Carlsson I,Q4356302,1986-03-12,1991-10-04,Birgitta Dahl,kvinna,1937-09-20,,Socialdemokraterna,Dahl i Uppsala,birgitta_dahl_miljominister_w
finansmarknadsminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05,Mats Odell,man,1947-04-30,,Kristdemokraterna,,mats_odell_finansmarknadsminister_w
jordbruksminister,Regeringen Reinfeldt,Q3058054,2006-10-06,2010-10-05,Eskil Erlandsson,man,1957-01-25,,Centerpartiet,,eskil_erlandsson_jordbruksminister_w
miljöminister,Regeringen Reinfeldt,Q496604,2006-10-06,2011-09-29,Andreas Carlgren,man,1958-07-08,,Centerpartiet,,andreas_carlgren_miljominister_w
samfundsminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03,Stefan Attefall,man,1960-08-21,,Kristdemokraterna,,stefan_attefall_samfundsminister_w
konsumentminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_konsumentminister_w
försvarsminister,Regeringen Reinfeldt,Q2941786,2012-03-29,2012-04-18,Catharina Elmsäter-Svärd,kvinna,1965-11-23,,Moderaterna,,catharina_elmsater-svard_forsvarsminister_w
energiminister,Regeringen Reinfeldt,Q253640,2006-10-06,2011-09-29,Maud Olofsson,kvinna,1955-08-09,,Centerpartiet,,maud_olofsson_energiminister_w
kommunminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05,Mats Odell,man,1947-04-30,,Kristdemokraterna,,mats_odell_kommunminister_w
ungdomsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2013-01-21,Nyamko Sabuni,kvinna,1969-03-31,,Liberalerna,,nyamko_sabuni_ungdomsminister_w
socialminister,Regeringen Carlsson I,Q4978577,1985-10-16,1989-01-29,Gertrud Sigurdsen,kvinna,1923-01-11,2015-03-27,Socialdemokraterna,,gertrud_sigurdsen_socialminister_w
skolminister,Regeringen Carlsson I,Q53747,1989-01-29,1991-10-04,Göran Persson,man,1949-01-20,,Socialdemokraterna,Göran Persson i Stjärnhov,goran_persson_skolminister_w
näringsminister,Regeringen Carlsson I,Q53740,1988-09-30,1988-10-04,Ingvar Carlsson,man,1934-11-09,,Socialdemokraterna,Carlsson i Tyresö,ingvar_carlsson_naringsminister_w
utbildningsminister,Regeringen Reinfeldt,Q911372,2007-09-12,2014-10-03,Jan Björklund,man,1962-04-18,,Liberalerna,,jan_bjorklund_utbildningsminister_w
digitaliseringsminister,Regeringen Reinfeldt,Q3562306,2010-10-05,2014-10-03,Anna-Karin Hatt,kvinna,1972-12-07,,Centerpartiet,,anna-karin_hatt_digitaliseringsminister_w
jämställdhetsminister,Regeringen Reinfeldt,Q241851,2006-10-06,2013-01-21,Nyamko Sabuni,kvinna,1969-03-31,,Liberalerna,,nyamko_sabuni_jamstalldhetsminister_w
kulturminister,Regeringen Reinfeldt,Q946818,2006-10-16,2006-10-24,Lars Leijonborg,man,1949-11-21,,Liberalerna,,lars_leijonborg_kulturminister_w
minister för nordiskt samarbete,Regeringen Carlsson I,Q5969868,1986-10-10,1988-10-04,Ulf Lönnqvist,man,1936-06-26,,Socialdemokraterna,,ulf_lonnqvist_minister_for_nordiskt_samarbete_w
utrikesminister,Regeringen Reinfeldt,Q52922,2006-10-06,2014-10-03,Carl Bildt,man,1949-07-15,,Moderaterna,,carl_bildt_utrikesminister_w
infrastrukturminister,Regeringen Reinfeldt,Q2941786,2010-10-05,2014-10-02,Catharina Elmsäter-Svärd,kvinna,1965-11-23,,Moderaterna,,catharina_elmsater-svard_infrastrukturminister_w
kommunikationsminister,Regeringen Carlsson I,Q5554537,1989-01-29,1990-02-27,Georg Andersson,man,1936-03-03,,Socialdemokraterna,,georg_andersson_kommunikationsminister_w
högskoleminister,Regeringen Reinfeldt,Q952026,2009-06-17,2010-10-05,Tobias Krantz,man,1971-04-07,,Liberalerna,,tobias_krantz_hogskoleminister_w
samfundsminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16,Cecilia Stegö Chilò,kvinna,1959-03-25,,Moderaterna,,cecilia_stego_chilo_samfundsminister_w
landsbygdsminister,Regeringen Reinfeldt,Q3058054,2010-10-05,2014-10-03,Eskil Erlandsson,man,1957-01-25,,Centerpartiet,,eskil_erlandsson_landsbygdsminister_w
näringsminister,Regeringen Reinfeldt,Q253640,2010-10-06,2011-09-29,Maud Olofsson,kvinna,1955-08-09,,Centerpartiet,,maud_olofsson_naringsminister_w
jämställdhetsminister,Regeringen Carlsson I,Q1796120,1986-10-10,1987-10-19,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_jamstalldhetsminister_w
ungdomsminister,Regeringen Reinfeldt,Q3540867,2013-01-21,2014-10-03,Maria Arnholm,kvinna,1958-03-16,,Liberalerna,,maria_arnholm_ungdomsminister_w
EU-minister,Regeringen Reinfeldt,Q234872,2006-10-06,2010-01-22,Cecilia Malmström,kvinna,1968-05-15,,Liberalerna,,cecilia_malmstrom_eu-minister_w
civilminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03,Stefan Attefall,man,1960-08-21,,Kristdemokraterna,,stefan_attefall_civilminister_w
utrikeshandelsminister,Regeringen Carlsson I,Q5799722,1983-01-01,1986-10-09,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_utrikeshandelsminister_w
idrottsminister,Regeringen Carlsson I,Q5969868,1986-10-10,1991-10-04,Ulf Lönnqvist,man,1936-06-26,,Socialdemokraterna,,ulf_lonnqvist_idrottsminister_w
minister för nordiskt samarbete,Regeringen Reinfeldt,Q457877,2010-10-05,2014-10-03,Ewa Björling,kvinna,1961-05-03,,Moderaterna,,ewa_bjorling_minister_for_nordiskt_samarbete_w
socialminister,Regeringen Reinfeldt,Q918261,2006-10-06,2014-10-03,Göran Hägglund,man,1959-01-27,,Kristdemokraterna,,goran_hagglund_socialminister_w
