role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
handelsminister,Regeringen Hansson III,Q179493,1944-09-30,1945-07-31,Bertil Ohlin,man,1899-04-23,1979-08-03,Folkpartiet,Ohlin i Stockholm,bertil_ohlin_handelsminister_w
jordbruksminister,Regeringen Persson,Q4991027,1996-03-22,1998-10-07,Annika Åhnberg,kvinna,1949-11-07,,,,annika_ahnberg_jordbruksminister_w
försvarsminister,Regeringen Branting I,Q53660,1920-07-01,1920-10-27,Per Albin Hansson,man,1885-10-28,1946-10-06,Socialdemokraterna,Hansson i Stockholm,per_albin_hansson_forsvarsminister_w
minister för nordiskt samarbete,Regeringen Persson,Q4891887,2002-10-21,2006-10-06,Berit Andnor,kvinna,1954-11-20,,Socialdemokraterna,,berit_andnor_minister_for_nordiskt_samarbete_w
finansmarknadsminister,Regeringen Persson,Q5619080,2002-10-21,2004-10-21,Gunnar Lund,man,1947-07-26,,Socialdemokraterna,,gunnar_lund_finansmarknadsminister_w
försvarsminister,Regeringen Persson,Q2408431,1994-10-07,1997-02-01,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_forsvarsminister_w
kommunikationsminister,Regeringen Branting I,Q20760558,1920-07-01,1920-10-27,Carl Svensson,man,1879-07-21,1938-07-24,Socialdemokraterna,,carl_svensson_kommunikationsminister_w
samordningsminister,Regeringen Persson,Q3296958,1996-03-22,1997-02-01,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_samordningsminister_w
jämställdhetsminister,Regeringen Persson,Q3430022,1998-10-07,2002-10-21,Margareta Winberg,kvinna,1947-08-13,,Socialdemokraterna,,margareta_winberg_jamstalldhetsminister_w
Statsministerns ställföretädare,Regeringen Persson,Q291648,2004-10-01,2004-11-01,Laila Freivalds,kvinna,1942-06-22,,Socialdemokraterna,,laila_freivalds_statsministerns_stallforetadare_w
lantförsvarsminister,Regeringen Branting I,Q53660,1920-07-01,1920-07-01,Per Albin Hansson,man,1885-10-28,1946-10-06,Socialdemokraterna,Hansson i Stockholm,per_albin_hansson_lantforsvarsminister_w
jordbruksminister,Regeringen Branting II,Q5955664,1921-10-13,1923-04-19,Sven Linders,man,1873-02-14,1932-12-16,Socialdemokraterna,,sven_linders_jordbruksminister_w
migrationsminister,Regeringen Persson,Q3386964,1996-03-22,1999-09-14,Pierre Schori,man,1938-10-14,,Socialdemokraterna,,pierre_schori_migrationsminister_w
socialminister,Regeringen Persson,Q4891887,2004-10-01,2006-10-06,Berit Andnor,kvinna,1954-11-20,,Socialdemokraterna,,berit_andnor_socialminister_w
kommunikationsminister,Regeringen Hansson III,Q5623378,1944-01-01,1945-01-01,Fritiof Domö,man,1889-08-30,1961-11-23,Moderaterna,,fritiof_domo_kommunikationsminister_w
utrikesminister,Regeringen Branting II,Q53620,1921-10-13,1923-04-19,Hjalmar Branting,man,1860-11-23,1925-02-24,Socialdemokraterna,Branting i Stockholm,hjalmar_branting_utrikesminister_w
jordbruksminister,Regeringen Hansson III,Q53701,1936-06-19,1945-07-31,Axel Pehrsson-Bramstorp,man,1883-08-19,1954-02-19,Centerpartiet,,axel_pehrsson-bramstorp_jordbruksminister_w
ecklesiastikminister,Regeringen Branting I,Q6027656,1919-11-28,1920-10-27,Olof Olsson,man,1872-06-18,1939-12-18,Socialdemokraterna,Olsson i Göteborg,olof_olsson_ecklesiastikminister_w
utbildningsminister,Regeringen Persson,Q3296958,2004-10-21,2006-10-06,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_utbildningsminister_w
ecklesiastikminister,Regeringen Branting II,Q6027656,1921-10-13,1923-04-19,Olof Olsson,man,1872-06-18,1939-12-18,Socialdemokraterna,Olsson i Göteborg,olof_olsson_ecklesiastikminister_w
kommunikationsminister,Regeringen Hansson III,Q1555406,1939-12-13,1944-09-30,Gustaf Henning Andersson,man,1884-12-18,1961-11-12,Liberalerna,Andersson i Rasjön,gustaf_henning_andersson_kommunikationsminister_w
kommunikationsminister,Regeringen Hansson III,Q1555406,1939-12-13,1944-09-30,Gustaf Henning Andersson,man,1884-12-18,1961-11-12,Liberalerna,Andersson i Falun,gustaf_henning_andersson_kommunikationsminister_w
biträdande socialminister,Regeringen Persson,Q4891887,2002-10-21,2004-10-01,Berit Andnor,kvinna,1954-11-20,,Socialdemokraterna,,berit_andnor_bitradande_socialminister_w
justitieminister,Regeringen Branting I,Q6255333,1920-01-01,1920-01-01,Assar Åkerman,man,1860-10-28,1936-10-07,Socialdemokraterna,Åkerman i Strömstad,assar_akerman_justitieminister_w
konsultativt statsråd,Regeringen Branting II,Q6018174,1921-10-13,1923-04-19,Torsten Nothin,man,1884-02-16,1972-03-01,Socialdemokraterna,,torsten_nothin_konsultativt_statsrad_w
migrationsminister,Regeringen Persson,Q1232072,2002-01-07,2003-10-10,Jan O. Karlsson,man,1939-06-01,2016-09-19,Socialdemokraterna,,jan_o_karlsson_migrationsminister_w
socialminister,Regeringen Persson,Q4959140,1998-10-26,1998-11-16,Maj-Inger Klingvall,kvinna,1946-05-15,,Socialdemokraterna,,maj-inger_klingvall_socialminister_w
migrationsminister,Regeringen Persson,Q4959140,1999-09-14,2001-11-16,Maj-Inger Klingvall,kvinna,1946-05-15,,Socialdemokraterna,,maj-inger_klingvall_migrationsminister_w
samordningsminister,Regeringen Persson,Q2408431,1997-02-01,1998-10-07,Thage G. Peterson,man,1933-09-24,,Socialdemokraterna,,thage_g_peterson_samordningsminister_w
energiminister,Regeringen Persson,Q3296958,2002-10-21,2004-10-21,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_energiminister_w
utrikesminister,Regeringen Persson,Q1232072,2003-09-11,2003-10-10,Jan O. Karlsson,man,1939-06-01,2016-09-19,Socialdemokraterna,,jan_o_karlsson_utrikesminister_w
näringsminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-15,Björn Rosengren,man,1942-04-14,,Socialdemokraterna,,bjorn_rosengren_naringsminister_w
arbetsmarknadsminister,Regeringen Persson,Q3374466,1998-10-06,2002-10-06,Björn Rosengren,man,1942-04-14,,Socialdemokraterna,,bjorn_rosengren_arbetsmarknadsminister_w
socialförsäkringsminister,Regeringen Persson,Q4982419,1999-09-14,2002-10-10,Ingela Thalén,kvinna,1943-10-01,,Socialdemokraterna,,ingela_thalen_socialforsakringsminister_w
konsumentminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02,Leif Blomberg,man,1941-02-15,1998-03-02,Socialdemokraterna,,leif_blomberg_konsumentminister_w
inrikesminister,Regeringen Persson,Q5555093,1996-07-01,1998-10-06,Jörgen Andersson,man,1946-08-22,,Socialdemokraterna,,jorgen_andersson_inrikesminister_w
ungdomsminister,Regeringen Persson,Q3431836,2002-10-21,2006-10-06,Lena Hallengren,kvinna,1973-12-25,,Socialdemokraterna,,lena_hallengren_ungdomsminister_w
utrikeshandelsminister,Regeringen Persson,Q3296958,1997-02-01,2002-10-21,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_utrikeshandelsminister_w
handelsminister,Regeringen Branting I,Q6209474,1920-07-01,1920-10-27,Fredrik Vilhelm Thorsson,man,1865-05-30,1925-05-05,Socialdemokraterna,Thorsson i Ystad,fredrik_vilhelm_thorsson_handelsminister_w
jordbruksminister,Regeringen Branting I,Q6011492,1920-03-10,1920-10-27,Olof Nilsson,man,1863-07-06,1928-06-09,Socialdemokraterna,,olof_nilsson_jordbruksminister_w
samfundsminister,Regeringen Persson,Q3115681,1994-10-07,2004-09-13,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_samfundsminister_w
energiminister,Regeringen Persson,Q6196549,1996-03-22,1998-10-07,Anders Sundström,man,1952-07-26,,Socialdemokraterna,,anders_sundstrom_energiminister_w
finansmarknadsminister,Regeringen Persson,Q3370194,2004-10-21,2006-10-06,Sven-Erik Österberg,man,1955-03-10,,Socialdemokraterna,,sven-erik_osterberg_finansmarknadsminister_w
miljöminister,Regeringen Persson,Q537342,2002-10-21,2006-10-06,Lena Sommestad,kvinna,1957-04-03,,Socialdemokraterna,,lena_sommestad_miljominister_w
idrottsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02,Leif Blomberg,man,1941-02-15,1998-03-02,Socialdemokraterna,,leif_blomberg_idrottsminister_w
justitieminister,Regeringen Branting I,Q298317,1920-03-10,1920-06-30,Östen Undén,man,1886-08-25,1974-01-14,Socialdemokraterna,,osten_unden_justitieminister_w
kommunminister,Regeringen Persson,Q3370194,2004-10-21,2006-10-06,Sven-Erik Österberg,man,1955-03-10,,Socialdemokraterna,,sven-erik_osterberg_kommunminister_w
konsultativt statsråd,Regeringen Branting II,Q6168210,1921-10-13,1923-04-19,Karl Schlyter,man,1879-12-21,1959-12-25,Socialdemokraterna,Schlyter i Stockholm,karl_schlyter_konsultativt_statsrad_w
skolminister,Regeringen Persson,Q3369258,1994-10-07,1998-10-06,Ylva Johansson,kvinna,1964-02-13,,,,ylva_johansson_skolminister_w
konsultativt statsråd,Regeringen Branting I,Q6018174,1920-03-10,1920-10-27,Torsten Nothin,man,1884-02-16,1972-03-01,Socialdemokraterna,,torsten_nothin_konsultativt_statsrad_w
försvarsminister,Regeringen Branting II,Q53660,1921-10-13,1923-04-19,Per Albin Hansson,man,1885-10-28,1946-10-06,Socialdemokraterna,Hansson i Stockholm,per_albin_hansson_forsvarsminister_w
socialminister,Regeringen Persson,Q6196549,1998-10-07,1998-10-26,Anders Sundström,man,1952-07-26,,Socialdemokraterna,,anders_sundstrom_socialminister_w
biståndsminister,Regeringen Persson,Q1232072,2002-01-07,2003-10-09,Jan O. Karlsson,man,1939-06-01,2016-09-19,Socialdemokraterna,,jan_o_karlsson_bistandsminister_w
biståndsminister,Regeringen Persson,Q4959140,1999-09-14,2001-11-16,Maj-Inger Klingvall,kvinna,1946-05-15,,Socialdemokraterna,,maj-inger_klingvall_bistandsminister_w
socialminister,Regeringen Branting I,Q4894168,1920-07-01,1920-10-27,Bernhard Eriksson,man,1878-04-19,1952-04-18,Socialdemokraterna,,bernhard_eriksson_socialminister_w
kulturminister,Regeringen Persson,Q3296958,2004-11-01,2006-10-06,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_kulturminister_w
kommunikationsminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-16,Björn Rosengren,man,1942-04-14,,Socialdemokraterna,,bjorn_rosengren_kommunikationsminister_w
demokratiminister,Regeringen Persson,Q6029071,2004-10-21,2006-10-06,Jens Orback,man,1959-04-21,,Socialdemokraterna,,jens_orback_demokratiminister_w
sjukvårdsminister,Regeringen Persson,Q3369258,2004-10-01,2006-10-06,Ylva Johansson,kvinna,1964-02-13,,,,ylva_johansson_sjukvardsminister_w
handelsminister,Regeringen Branting II,Q20760558,1921-10-13,1923-04-19,Carl Svensson,man,1879-07-21,1938-07-24,Socialdemokraterna,,carl_svensson_handelsminister_w
justitieminister,Regeringen Branting II,Q6255333,1921-01-01,1923-01-01,Assar Åkerman,man,1860-10-28,1936-10-07,Socialdemokraterna,Åkerman i Strömstad,assar_akerman_justitieminister_w
kulturminister,Regeringen Persson,Q3115681,1996-03-22,2004-09-13,Marita Ulvskog,kvinna,1951-09-04,,Socialdemokraterna,,marita_ulvskog_kulturminister_w
utrikesminister,Regeringen Persson,Q291648,2003-10-10,2006-03-21,Laila Freivalds,kvinna,1942-06-22,,Socialdemokraterna,,laila_freivalds_utrikesminister_w
energiminister,Regeringen Persson,Q3374466,1998-10-07,2002-10-15,Björn Rosengren,man,1942-04-14,,Socialdemokraterna,,bjorn_rosengren_energiminister_w
socialminister,Regeringen Branting II,Q3893038,1921-10-13,1923-04-19,Herman Lindqvist,man,1863-07-09,1932-05-29,Socialdemokraterna,Lindqvist i Stockholm,herman_lindqvist_socialminister_w
miljöminister,Regeringen Persson,Q208591,1994-10-07,1998-10-07,Anna Lindh,kvinna,1957-06-19,2003-09-11,Socialdemokraterna,,anna_lindh_miljominister_w
ungdomsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02,Leif Blomberg,man,1941-02-15,1998-03-02,Socialdemokraterna,,leif_blomberg_ungdomsminister_w
konsumentminister,Regeringen Persson,Q547580,2002-10-21,2006-10-06,Ann-Christin Nykvist,kvinna,1948-04-04,,Socialdemokraterna,,ann-christin_nykvist_konsumentminister_w
ungdomsminister,Regeringen Persson,Q4961658,2000-10-16,2002-10-15,Britta Lejon,kvinna,1964-11-02,,Socialdemokraterna,,britta_lejon_ungdomsminister_w
utbildningsminister,Regeringen Persson,Q6206776,1994-10-07,1998-10-06,Carl Tham,man,1939-07-05,,,,carl_tham_utbildningsminister_w
civilminister,Regeringen Branting I,Q20760558,1920-03-10,1920-07-01,Carl Svensson,man,1879-07-21,1938-07-24,Socialdemokraterna,,carl_svensson_civilminister_w
miljöminister,Regeringen Persson,Q5937929,1998-10-07,2002-10-21,Kjell Larsson,man,1943-03-26,2002-12-21,Socialdemokraterna,,kjell_larsson_miljominister_w
samfundsminister,Regeringen Persson,Q3431836,2004-09-13,2006-10-06,Lena Hallengren,kvinna,1973-12-25,,Socialdemokraterna,,lena_hallengren_samfundsminister_w
jordbruksminister,Regeringen Persson,Q547580,2002-10-21,2006-10-06,Ann-Christin Nykvist,kvinna,1948-04-04,,Socialdemokraterna,,ann-christin_nykvist_jordbruksminister_w
biståndsminister,Regeringen Persson,Q3386964,1994-10-07,1999-06-11,Pierre Schori,man,1938-10-14,,Socialdemokraterna,,pierre_schori_bistandsminister_w
integrationsminister,Regeringen Persson,Q5579495,1996-03-22,1998-03-02,Leif Blomberg,man,1941-02-15,1998-03-02,Socialdemokraterna,,leif_blomberg_integrationsminister_w
justitieminister,Regeringen Persson,Q291648,1994-10-07,2000-09-21,Laila Freivalds,kvinna,1942-06-22,,Socialdemokraterna,,laila_freivalds_justitieminister_w
handelsminister,Regeringen Persson,Q3296958,1997-02-01,2002-10-21,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_handelsminister_w
näringsminister,Regeringen Persson,Q3296958,2002-10-21,2004-10-21,Leif Pagrotsky,man,1951-10-20,,Socialdemokraterna,,leif_pagrotsky_naringsminister_w
finansminister,Regeringen Branting I,Q53637,1920-06-30,1920-10-27,Rickard Sandler,man,1884-01-29,1964-11-12,Socialdemokraterna,,rickard_sandler_finansminister_w
handelsminister,Regeringen Hansson III,Q5623378,1939-01-01,1941-01-01,Fritiof Domö,man,1889-08-30,1961-11-23,Moderaterna,,fritiof_domo_handelsminister_w
konsumentminister,Regeringen Persson,Q4961658,1998-10-07,2002-10-15,Britta Lejon,kvinna,1964-11-02,,Socialdemokraterna,,britta_lejon_konsumentminister_w
skolminister,Regeringen Persson,Q4990768,1998-10-07,2002-01-16,Ingegerd Wärnersson,kvinna,1947-01-19,,Socialdemokraterna,,ingegerd_warnersson_skolminister_w
finansminister,Regeringen Branting II,Q6209474,1921-10-13,1923-04-19,Fredrik Vilhelm Thorsson,man,1865-05-30,1925-05-05,Socialdemokraterna,Thorsson i Ystad,fredrik_vilhelm_thorsson_finansminister_w
finansminister,Regeringen Branting I,Q6209474,1918-01-05,1920-06-30,Fredrik Vilhelm Thorsson,man,1865-05-30,1925-05-05,Socialdemokraterna,Thorsson i Ystad,fredrik_vilhelm_thorsson_finansminister_w
arbetsmarknadsminister,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07,Per Ahlmark,man,1939-01-15,2018-06-08,Liberalerna,Ahlmark i Enskede,per_ahlmark_arbetsmarknadsminister_w
försvarsminister,Regeringen Erlander I,Q4731015,1945-07-31,1951-10-01,Allan Vougt,man,1895-04-28,1953-01-23,Socialdemokraterna,Vougt i Malmö,allan_vougt_forsvarsminister_w
invandrarminister,Regeringen Fälldin I,Q53733,1977-01-11,1978-03-07,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_invandrarminister_w
justitieminister,Regeringen Fälldin I,Q6077653,1976-10-08,1979-10-12,Sven Romanus,man,1906-01-19,2005-04-30,,,sven_romanus_justitieminister_w
ungdomsminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_ungdomsminister_w
justitieminister,Regeringen Fälldin II,Q6243875,1979-10-12,1981-05-05,Håkan Winberg,man,1931-07-30,,Moderaterna,,hakan_winberg_justitieminister_w
konsultativt statsråd,Regeringen Erlander I,Q354112,1945-07-31,1947-04-11,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_konsultativt_statsrad_w
konsultativt statsråd,Regeringen Erlander I,Q5616687,1944-01-01,1952-01-01,Gunnar Danielson,man,1901-08-18,1958-09-18,,,gunnar_danielson_konsultativt_statsrad_w
finansminister,Regeringen Edén,Q6209474,1918-01-05,1920-06-30,Fredrik Vilhelm Thorsson,man,1865-05-30,1925-05-05,Socialdemokraterna,Thorsson i Ystad,fredrik_vilhelm_thorsson_finansminister_w
socialminister,Regeringen Carlsson II,Q4982419,1990-01-11,1991-10-04,Ingela Thalén,kvinna,1943-10-01,,Socialdemokraterna,,ingela_thalen_socialminister_w
folkhushållningsminister,Regeringen Erlander I,Q5715273,1950-01-01,1950-06-30,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Kinna,john_ericsson_folkhushallningsminister_w
folkhushållningsminister,Regeringen Erlander I,Q5715273,1950-01-01,1950-06-30,John Ericsson,man,1907-04-06,1977-12-25,Socialdemokraterna,Ericsson i Stockholm,john_ericsson_folkhushallningsminister_w
budgetminister,Regeringen Fälldin II,Q6244910,1980-08-01,1982-10-08,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_budgetminister_w
utbildningsminister,Regeringen Fälldin II,Q6340136,1976-10-08,1982-10-08,Jan-Erik Wikström,man,1932-09-11,,Liberalerna,,jan-erik_wikstrom_utbildningsminister_w
samfundsminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_samfundsminister_w
Statsministerns ställföretädare,Regeringen Carlsson II,Q5713152,1990-02-27,1991-10-04,Odd Engström,man,1941-09-20,1998-05-18,Socialdemokraterna,,odd_engstrom_statsministerns_stallforetadare_w
jordbruksminister,Regeringen Carlsson II,Q5799722,1986-10-10,1991-10-04,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_jordbruksminister_w
näringsminister,Regeringen Carlsson II,Q5991125,1990-01-12,1991-10-04,Rune Molin,man,1931-02-11,2011-08-26,,,rune_molin_naringsminister_w
energiminister,Regeringen Carlsson II,Q5991125,1990-02-27,1991-10-04,Rune Molin,man,1931-02-11,2011-08-26,,,rune_molin_energiminister_w
folkhushållningsminister,Regeringen Erlander I,Q4959336,1948-10-29,1949-12-31,Karin Kock,kvinna,1891-07-02,1976-07-28,Socialdemokraterna,,karin_kock_folkhushallningsminister_w
handelsminister,Regeringen Fälldin I,Q5590197,1976-10-08,1978-10-18,Staffan Burenstam Linder,man,1931-09-13,2000-07-22,Moderaterna,,staffan_burenstam_linder_handelsminister_w
finansminister,Regeringen Edén,Q53620,1917-10-19,1918-01-05,Hjalmar Branting,man,1860-11-23,1925-02-24,Socialdemokraterna,Branting i Stockholm,hjalmar_branting_finansminister_w
bostadsminister,Regeringen Fälldin I,Q4971112,1976-10-08,1978-10-18,Elvy Olsson,kvinna,1923-01-10,,Centerpartiet,Olsson i Hölö,elvy_olsson_bostadsminister_w
jordbruksminister,Regeringen Fälldin I,Q4753755,1976-10-08,1978-10-18,Anders Dahlgren,man,1925-12-23,1986-03-24,Centerpartiet,Dahlgren i Valdemarsvik,anders_dahlgren_jordbruksminister_w
kulturminister,Regeringen Carlsson II,Q5780291,1982-10-08,1991-10-04,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_kulturminister_w
skolminister,Regeringen Fälldin I,Q4967758,1976-10-08,1978-10-18,Britt Mogård,kvinna,1922-11-09,2012-07-17,Moderaterna,,britt_mogard_skolminister_w
handelsminister,Regeringen Erlander I,Q152452,1945-07-31,1947-04-11,Gunnar Myrdal,man,1898-12-06,1987-05-17,Socialdemokraterna,Myrdal i Ålsten,gunnar_myrdal_handelsminister_w
handelsminister,Regeringen Fälldin II,Q6340136,1981-05-05,1981-05-22,Jan-Erik Wikström,man,1932-09-11,,Liberalerna,,jan-erik_wikstrom_handelsminister_w
utrikeshandelsminister,Regeringen Erlander I,Q1267,1951-02-06,1953-04-08,Dag Hammarskjöld,man,1905-07-29,1961-09-18,,,dag_hammarskjold_utrikeshandelsminister_w
arbetsmarknadsminister,Regeringen Fälldin II,Q6244910,1978-03-07,1980-07-31,Rolf Wirtén,man,1931-05-04,,Liberalerna,,rolf_wirten_arbetsmarknadsminister_w
finansminister,Regeringen Carlsson II,Q4730772,1990-02-27,1991-10-04,Allan Larsson,man,1938-04-03,,Socialdemokraterna,,allan_larsson_finansminister_w
socialminister,Regeringen Fälldin II,Q468538,1979-10-12,1982-10-08,Karin Söder,kvinna,1928-11-30,2015-12-19,Centerpartiet,,karin_soder_socialminister_w
jordbruksminister,Regeringen Hansson II,Q53701,1936-06-19,1945-07-31,Axel Pehrsson-Bramstorp,man,1883-08-19,1954-02-19,Centerpartiet,,axel_pehrsson-bramstorp_jordbruksminister_w
invandrarminister,Regeringen Fälldin II,Q1727737,1979-10-12,1982-10-08,Karin Andersson,kvinna,1918-10-08,2012-07-20,Centerpartiet,,karin_andersson_invandrarminister_w
folkhushållningsminister,Regeringen Erlander I,Q354112,1947-05-24,1948-10-29,Gunnar Sträng,man,1906-12-23,1992-03-07,Socialdemokraterna,Sträng i Spånga,gunnar_strang_folkhushallningsminister_w
landsbygdsminister,Regeringen Edén,Q4723287,1917-10-19,1920-03-10,Alfred Petersson,man,1860-06-25,1920-10-11,,Petersson i Påboda,alfred_petersson_landsbygdsminister_w
samfundsminister,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18,Johannes Antonsson,man,1921-11-20,1995-08-25,Centerpartiet,Antonsson i Dahla,johannes_antonsson_samfundsminister_w
jämställdhetsminister,Regeringen Fälldin II,Q1727737,1979-10-12,1982-10-08,Karin Andersson,kvinna,1918-10-08,2012-07-20,Centerpartiet,,karin_andersson_jamstalldhetsminister_w
utrikesminister,Regeringen Edén,Q5799445,1917-10-19,1920-03-10,Johannes Hellner,man,1866-04-22,1947-02-19,,,johannes_hellner_utrikesminister_w
utbildningsminister,Regeringen Carlsson II,Q5780291,1989-01-30,1991-10-04,Bengt Göransson,man,1932-07-25,2021-06-16,Socialdemokraterna,,bengt_goransson_utbildningsminister_w
biträdande socialminister,Regeringen Erlander I,Q5995142,1945-07-31,1947-07-01,Eije Mossberg,man,1908-01-21,1997-07-28,Socialdemokraterna,,eije_mossberg_bitradande_socialminister_w
biståndsminister,Regeringen Carlsson II,Q460919,1985-10-17,1991-10-04,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_bistandsminister_w
budgetminister,Regeringen Carlsson II,Q5388933,1990-02-27,1991-10-04,Erik Åsbrink,man,1947-02-01,,Socialdemokraterna,,erik_asbrink_budgetminister_w
Statsministerns ställföretädare,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07,Per Ahlmark,man,1939-01-15,2018-06-08,Liberalerna,Ahlmark i Enskede,per_ahlmark_statsministerns_stallforetadare_w
statssekreterare,Regeringen Fälldin I,Q60971016,1976-01-01,1979-01-01,Gerhard Larsson,man,1945-10-19,,,,gerhard_larsson_statssekreterare_w
bostadsminister,Regeringen Löfven I,Q4822657,2014-10-03,2016-04-18,Mehmet Kaplan,man,1971-07-18,,Miljöpartiet,,mehmet_kaplan_bostadsminister_w
ecklesiastikminister,Regeringen Edén,Q6027656,1919-11-28,1920-10-27,Olof Olsson,man,1872-06-18,1939-12-18,Socialdemokraterna,Olsson i Göteborg,olof_olsson_ecklesiastikminister_w
biträdande finansminister,Regeringen Fälldin I,Q5996964,1976-10-08,1976-11-25,Ingemar Mundebo,man,1930-10-15,2018-09-07,Liberalerna,,ingemar_mundebo_bitradande_finansminister_w
sjukvårdsminister,Regeringen Fälldin I,Q517762,1976-10-08,1978-10-18,Ingegerd Troedsson,kvinna,1929-06-05,2012-11-03,Moderaterna,,ingegerd_troedsson_sjukvardsminister_w
ecklesiastikminister,Regeringen Erlander I,Q6338909,1946-10-11,1951-03-08,Josef Weijne,man,1893-05-20,1951-03-08,,,josef_weijne_ecklesiastikminister_w
utrikesminister,Regeringen Fälldin I,Q468538,1976-10-08,1978-10-18,Karin Söder,kvinna,1928-11-30,2015-12-19,Centerpartiet,,karin_soder_utrikesminister_w
energiminister,Regeringen Fälldin II,Q3658738,1979-11-06,1981-05-22,Carl Axel Petri,man,1929-08-12,2017-12-03,,,carl_axel_petri_energiminister_w
konsultativt statsråd,Regeringen Erlander I,Q4959336,1947-04-11,1948-10-28,Karin Kock,kvinna,1891-07-02,1976-07-28,Socialdemokraterna,,karin_kock_konsultativt_statsrad_w
finansminister,Regeringen Fälldin I,Q263366,1976-10-08,1976-11-24,Gösta Bohman,man,1911-01-15,1997-08-12,Moderaterna,Bohman i Stockholm,gosta_bohman_finansminister_w
civilminister,Regeringen Carlsson II,Q5885510,1988-01-01,1991-01-01,Bengt K.Å. Johansson,man,1937-01-04,2021-09-01,Socialdemokraterna,,bengt_ka_johansson_civilminister_w
konsultativt statsråd,Regeringen Edén,Q298317,1917-10-19,1920-03-10,Östen Undén,man,1886-08-25,1974-01-14,Socialdemokraterna,,osten_unden_konsultativt_statsrad_w
kommunminister,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18,Johannes Antonsson,man,1921-11-20,1995-08-25,Centerpartiet,Antonsson i Dahla,johannes_antonsson_kommunminister_w
folkhushållningsminister,Regeringen Erlander I,Q3373681,1941-03-07,1947-05-24,Axel Gjöres,man,1889-11-11,1979-03-12,Socialdemokraterna,,axel_gjores_folkhushallningsminister_w
skolminister,Regeringen Fälldin II,Q4967758,1979-10-12,1981-05-05,Britt Mogård,kvinna,1922-11-09,2012-07-17,Moderaterna,,britt_mogard_skolminister_w
utbildningsminister,Regeringen Fälldin I,Q6340136,1976-10-08,1982-10-08,Jan-Erik Wikström,man,1932-09-11,,Liberalerna,,jan-erik_wikstrom_utbildningsminister_w
bostadsminister,Regeringen Carlsson II,Q5969868,1988-10-04,1991-10-04,Ulf Lönnqvist,man,1936-06-26,,Socialdemokraterna,,ulf_lonnqvist_bostadsminister_w
justitieminister,Regeringen Fälldin II,Q3658738,1981-05-05,1982-10-08,Carl Axel Petri,man,1929-08-12,2017-12-03,,,carl_axel_petri_justitieminister_w
lantförsvarsminister,Regeringen Edén,Q6009015,1917-10-19,1920-03-10,Erik Nilson,man,1862-02-13,1925-09-17,,Nilsson i Örebro,erik_nilson_lantforsvarsminister_w
justitieminister,Regeringen Carlsson II,Q291648,1988-10-04,1991-10-04,Laila Freivalds,kvinna,1942-06-22,,Socialdemokraterna,,laila_freivalds_justitieminister_w
utrikeshandelsminister,Regeringen Carlsson II,Q459226,1986-10-10,1991-10-04,Anita Gradin,kvinna,1933-08-12,,Socialdemokraterna,,anita_gradin_utrikeshandelsminister_w
civilminister,Regeringen Edén,Q5811763,1919-11-28,1920-03-10,Fredrik Holmquist,man,1857-09-29,1922-07-13,,,fredrik_holmquist_civilminister_w
Statsministerns ställföretädare,Regeringen Fälldin I,Q53733,1978-03-07,1978-10-18,Ola Ullsten,man,1931-06-23,2018-05-28,Folkpartiet,,ola_ullsten_statsministerns_stallforetadare_w
