role,government,wiki_id,start,end
försvarsminister,Regeringen Carl Bildt,Q490785,1991-10-04,1994-10-07
idrottsminister,Regeringen Carl Bildt,Q2448370,1991-10-04,1994-10-07
ungdomsminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07
handelsminister,Regeringen Branting III,Q53637,1924-10-18,1925-02-27
minister för nordiskt samarbete,Regeringen Carl Bildt,Q2021126,1991-10-04,1994-06-16
utrikeshandelsminister,Regeringen Carl Bildt,Q5622212,1991-10-04,1994-10-07
Statsministerns ställföretädare,Regeringen Carl Bildt,Q817241,1991-10-04,1994-10-07
arbetsmarknadsminister,Regeringen Carlsson III,Q6196549,1994-10-07,1996-03-22
utrikesminister,Regeringen Hansson III,Q1777531,1939-12-13,1945-07-31
konsumentminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
samfundsminister,Regeringen Carl Bildt,Q4944305,1991-10-04,1994-10-07
utrikesminister,Regeringen Carl Bildt,Q455820,1991-10-04,1994-10-07
justitieminister,Regeringen Hansson III,Q5572966,1943-08-30,1945-07-31
försvarsminister,Regeringen Carlsson III,Q2408431,1994-10-07,1997-02-01
utbildningsminister,Regeringen Carl Bildt,Q1830351,1991-10-04,1994-10-07
försvarsminister,Regeringen Hansson III,Q6180686,1938-12-16,1945-07-31
socialminister,Regeringen Palme II,Q4978577,1985-10-16,1989-01-29
försvarsminister,Regeringen Palme II,Q5583208,1982-12-01,1983-01-17
idrottsminister,Regeringen Carlsson III,Q3115681,1994-10-07,1996-03-22
näringsminister,Regeringen Carlsson III,Q4126210,1994-10-07,1996-02-05
arbetsmarknadsminister,Regeringen Carl Bildt,Q5005171,1991-10-04,1994-10-07
kulturminister,Regeringen Carlsson III,Q237522,1994-10-07,1996-03-22
sjukvårdsminister,Regeringen Palme II,Q4978577,1982-10-08,1985-10-16
arbetsmarknadsminister,Regeringen Fälldin II,Q5708784,1980-07-31,1982-10-08
löneminister,Regeringen Fälldin II,Q2021126,1979-10-12,1982-10-08
bostadsminister,Regeringen Ullsten,Q4916267,1978-10-18,1982-10-08
invandrarminister,Regeringen Ullsten,Q4990642,1978-10-18,1979-10-12
utrikesminister,Regeringen Fälldin II,Q53733,1979-10-12,1982-10-08
handelsminister,Regeringen Fälldin III,Q5991041,1981-05-22,1982-10-08
jordbruksminister,Regeringen Ullsten,Q5713444,1978-10-18,1979-10-12
minister för nordiskt samarbete,Regeringen Fälldin III,Q5991041,1981-05-22,1982-10-08
samfundsminister,Regeringen Fälldin III,Q5582047,1979-10-12,1982-10-08
socialminister,Regeringen Palme II,Q1346478,1982-10-08,1985-10-16
budgetminister,Regeringen Fälldin III,Q6244910,1980-08-01,1982-10-08
jämställdhetsminister,Regeringen Ullsten,Q4990642,1978-10-18,1979-10-12
utbildningsminister,Regeringen Fälldin III,Q6340136,1976-10-08,1982-10-08
energiminister,Regeringen Palme II,Q4356302,1982-10-08,1990-02-27
utrikesminister,Regeringen Ullsten,Q297275,1978-10-18,1979-10-12
skolminister,Regeringen Fälldin III,Q4982841,1981-05-22,1982-10-08
miljöminister,Regeringen Palme II,Q53740,1985-10-07,1986-02-28
justitieminister,Regeringen Ullsten,Q6077653,1976-10-08,1979-10-12
samfundsminister,Regeringen Fälldin II,Q5582047,1979-10-12,1982-10-08
kommunikationsminister,Regeringen Palme II,Q5816531,1985-10-18,1989-01-29
näringsminister,Regeringen Fälldin III,Q6255950,1979-10-12,1982-10-08
Statsministerns ställföretädare,Regeringen Palme II,Q53740,1982-10-08,1986-03-13
socialminister,Regeringen Fälldin III,Q468538,1979-10-12,1982-10-08
jordbruksminister,Regeringen Fälldin III,Q4352320,1982-10-04,1982-10-08
invandrarminister,Regeringen Fälldin III,Q1727737,1979-10-12,1982-10-08
kommunminister,Regeringen Palme II,Q887398,1982-10-08,1982-12-31
näringsminister,Regeringen Ullsten,Q5817889,1978-10-18,1979-10-12
näringsminister,Regeringen Fälldin II,Q6255950,1979-10-12,1982-10-08
jämställdhetsminister,Regeringen Fälldin III,Q1727737,1979-10-12,1982-10-08
Statsministerns ställföretädare,Regeringen Ullsten,Q6077653,1978-10-18,1979-10-12
kommunikationsminister,Regeringen Fälldin II,Q3431988,1979-10-12,1981-05-05
kommunminister,Regeringen Fälldin III,Q5582047,1979-10-12,1982-10-08
minister för nordiskt samarbete,Regeringen Fälldin II,Q6340136,1981-05-05,1981-05-22
energiminister,Regeringen Ullsten,Q6206776,1978-10-18,1979-10-12
samordningsminister,Regeringen Ullsten,Q6206776,1978-10-18,1979-10-12
Statsministerns ställföretädare,Regeringen Fälldin II,Q5996964,1979-10-12,1980-07-31
arbetsmarknadsminister,Regeringen Palme II,Q1796120,1982-10-08,1987-10-19
skolminister,Regeringen Ullsten,Q4975172,1978-10-18,1979-10-12
kommunminister,Regeringen Fälldin II,Q5582047,1979-10-12,1982-10-08
energiminister,Regeringen Fälldin III,Q5708784,1981-05-22,1982-10-08
budgetminister,Regeringen Fälldin II,Q5996964,1976-11-25,1980-07-31
Statsministerns ställföretädare,Regeringen Fälldin III,Q53733,1980-08-01,1982-10-08
jordbruksminister,Regeringen Fälldin III,Q4753755,1979-10-12,1982-10-04
justitieminister,Regeringen Palme II,Q6061623,1982-10-08,1983-11-10
kommunikationsminister,Regeringen Fälldin II,Q2021126,1981-05-05,1981-05-22
kulturminister,Regeringen Palme II,Q5780291,1982-10-08,1991-10-04
socialminister,Regeringen Ullsten,Q724410,1978-10-18,1979-10-12
justitieminister,Regeringen Palme II,Q1796120,1983-11-11,1983-11-15
jordbruksminister,Regeringen Palme II,Q5967249,1982-10-08,1986-10-09
justitieminister,Regeringen Fälldin III,Q3658738,1981-05-05,1982-10-08
ekonomiminister,Regeringen Fälldin II,Q263366,1979-10-12,1981-05-05
Statsministerns ställföretädare,Regeringen Fälldin II,Q53733,1980-08-01,1982-10-08
justitieminister,Regeringen Palme II,Q6239734,1983-01-01,1987-10-19
minister för nordiskt samarbete,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12
handelsminister,Regeringen Fälldin II,Q5590197,1979-10-12,1981-05-05
statssekreterare,Regeringen Ullsten,Q60971016,1976-01-01,1979-01-01
jordbruksminister,Regeringen Fälldin II,Q4753755,1979-10-12,1982-10-04
minister för nordiskt samarbete,Regeringen Fälldin II,Q5590197,1979-10-12,1981-05-05
invandrarminister,Regeringen Palme II,Q459226,1982-10-08,1986-10-10
ungdomsminister,Regeringen Fälldin III,Q4982841,1981-05-22,1982-10-08
kommunikationsminister,Regeringen Fälldin III,Q4352320,1981-05-22,1982-10-08
ekonomiminister,Regeringen Ullsten,Q5996964,1978-10-18,1979-10-12
konsultativt statsråd,Regeringen Fälldin III,Q2021126,1979-10-12,1982-10-08
jämställdhetsminister,Regeringen Palme II,Q459226,1982-10-08,1986-10-10
skolminister,Regeringen Palme II,Q5780291,1982-10-08,1989-01-30
löneminister,Regeringen Ullsten,Q4990079,1978-10-18,1979-10-12
utbildningsminister,Regeringen Ullsten,Q6340136,1976-10-08,1982-10-08
sjukvårdsminister,Regeringen Ullsten,Q4962326,1978-10-18,1979-10-12
finansminister,Regeringen Palme II,Q927466,1983-01-01,1990-02-16
minister för nordiskt samarbete,Regeringen Palme II,Q5967249,1982-10-08,1986-10-10
konsultativt statsråd,Regeringen Fälldin II,Q2021126,1979-10-12,1982-10-08
planminister,Regeringen Fälldin II,Q5616559,1979-10-12,1981-05-05
ekonomiminister,Regeringen Palme II,Q927466,1982-10-08,1982-12-31
biträdande industriminister,Regeringen Palme II,Q5603378,1982-10-08,1985-09-30
handelsminister,Regeringen Ullsten,Q5604013,1978-10-18,1979-10-12
arbetsmarknadsminister,Regeringen Ullsten,Q6244910,1978-03-07,1980-07-31
sjukvårdsminister,Regeringen Fälldin II,Q4954452,1979-10-12,1981-05-05
samfundsminister,Regeringen Palme II,Q887398,1982-10-08,1988-10-04
budgetminister,Regeringen Ullsten,Q5996964,1976-11-25,1980-07-31
sjukvårdsminister,Regeringen Fälldin III,Q4934607,1981-05-22,1982-10-08
kommunikationsminister,Regeringen Palme II,Q5603378,1985-07-01,1985-10-17
samfundsminister,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12
ekonomiminister,Regeringen Fälldin III,Q6244910,1981-05-05,1982-10-08
försvarsminister,Regeringen Palme II,Q5603378,1985-10-14,1991-10-04
näringsminister,Regeringen Palme II,Q2408431,1982-10-08,1988-09-30
konsumentminister,Regeringen Palme II,Q5885510,1985-10-15,1988-10-04
budgetminister,Regeringen Palme II,Q927466,1982-10-08,1982-12-31
arbetsmarknadsminister,Regeringen Fälldin III,Q5708784,1980-07-31,1982-10-08
löneminister,Regeringen Fälldin III,Q2021126,1979-10-12,1982-10-08
utrikesminister,Regeringen Palme II,Q1346478,1985-10-17,1991-10-04
utrikesminister,Regeringen Fälldin III,Q53733,1979-10-12,1982-10-08
löneminister,Regeringen Palme II,Q5885510,1985-10-15,1988-10-04
bostadsminister,Regeringen Palme II,Q5777699,1982-10-08,1988-10-04
kommunminister,Regeringen Ullsten,Q5788984,1978-10-18,1979-10-12
kommunikationsminister,Regeringen Ullsten,Q4987638,1978-10-18,1979-10-12
arbetsmarknadsminister,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07
försvarsminister,Regeringen Erlander I,Q4731015,1945-07-31,1951-10-01
invandrarminister,Regeringen Fälldin I,Q53733,1977-01-11,1978-03-07
justitieminister,Regeringen Fälldin I,Q6077653,1976-10-08,1979-10-12
ungdomsminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04
justitieminister,Regeringen Fälldin II,Q6243875,1979-10-12,1981-05-05
konsultativt statsråd,Regeringen Erlander I,Q354112,1945-07-31,1947-04-11
konsultativt statsråd,Regeringen Erlander I,Q5616687,1944-01-01,1952-01-01
finansminister,Regeringen Edén,Q6209474,1918-01-05,1920-06-30
socialminister,Regeringen Carlsson II,Q4982419,1990-01-11,1991-10-04
folkhushållningsminister,Regeringen Erlander I,Q5715273,1950-01-01,1950-06-30
budgetminister,Regeringen Fälldin II,Q6244910,1980-08-01,1982-10-08
utbildningsminister,Regeringen Fälldin II,Q6340136,1976-10-08,1982-10-08
samfundsminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04
Statsministerns ställföretädare,Regeringen Carlsson II,Q5713152,1990-02-27,1991-10-04
jordbruksminister,Regeringen Carlsson II,Q5799722,1986-10-10,1991-10-04
näringsminister,Regeringen Carlsson II,Q5991125,1990-01-12,1991-10-04
energiminister,Regeringen Carlsson II,Q5991125,1990-02-27,1991-10-04
folkhushållningsminister,Regeringen Erlander I,Q4959336,1948-10-29,1949-12-31
handelsminister,Regeringen Fälldin I,Q5590197,1976-10-08,1978-10-18
finansminister,Regeringen Edén,Q53620,1917-10-19,1918-01-05
bostadsminister,Regeringen Fälldin I,Q4971112,1976-10-08,1978-10-18
jordbruksminister,Regeringen Fälldin I,Q4753755,1976-10-08,1978-10-18
kulturminister,Regeringen Carlsson II,Q5780291,1982-10-08,1991-10-04
skolminister,Regeringen Fälldin I,Q4967758,1976-10-08,1978-10-18
handelsminister,Regeringen Erlander I,Q152452,1945-07-31,1947-04-11
handelsminister,Regeringen Fälldin II,Q6340136,1981-05-05,1981-05-22
utrikeshandelsminister,Regeringen Erlander I,Q1267,1951-02-06,1953-04-08
arbetsmarknadsminister,Regeringen Fälldin II,Q6244910,1978-03-07,1980-07-31
finansminister,Regeringen Carlsson II,Q4730772,1990-02-27,1991-10-04
socialminister,Regeringen Fälldin II,Q468538,1979-10-12,1982-10-08
jordbruksminister,Regeringen Hansson II,Q53701,1936-06-19,1945-07-31
invandrarminister,Regeringen Fälldin II,Q1727737,1979-10-12,1982-10-08
folkhushållningsminister,Regeringen Erlander I,Q354112,1947-05-24,1948-10-29
landsbygdsminister,Regeringen Edén,Q4723287,1917-10-19,1920-03-10
samfundsminister,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18
jämställdhetsminister,Regeringen Fälldin II,Q1727737,1979-10-12,1982-10-08
utrikesminister,Regeringen Edén,Q5799445,1917-10-19,1920-03-10
utbildningsminister,Regeringen Carlsson II,Q5780291,1989-01-30,1991-10-04
biträdande socialminister,Regeringen Erlander I,Q5995142,1945-07-31,1947-07-01
biståndsminister,Regeringen Carlsson II,Q460919,1985-10-17,1991-10-04
budgetminister,Regeringen Carlsson II,Q5388933,1990-02-27,1991-10-04
Statsministerns ställföretädare,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07
statssekreterare,Regeringen Fälldin I,Q60971016,1976-01-01,1979-01-01
bostadsminister,Regeringen Löfven I,Q4822657,2014-10-03,2016-04-18
ecklesiastikminister,Regeringen Edén,Q6027656,1919-11-28,1920-10-27
biträdande finansminister,Regeringen Fälldin I,Q5996964,1976-10-08,1976-11-25
sjukvårdsminister,Regeringen Fälldin I,Q517762,1976-10-08,1978-10-18
ecklesiastikminister,Regeringen Erlander I,Q6338909,1946-10-11,1951-03-08
utrikesminister,Regeringen Fälldin I,Q468538,1976-10-08,1978-10-18
energiminister,Regeringen Fälldin II,Q3658738,1979-11-06,1981-05-22
konsultativt statsråd,Regeringen Erlander I,Q4959336,1947-04-11,1948-10-28
finansminister,Regeringen Fälldin I,Q263366,1976-10-08,1976-11-24
civilminister,Regeringen Carlsson II,Q5885510,1988-01-01,1991-01-01
konsultativt statsråd,Regeringen Edén,Q298317,1917-10-19,1920-03-10
kommunminister,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18
folkhushållningsminister,Regeringen Erlander I,Q3373681,1941-03-07,1947-05-24
skolminister,Regeringen Fälldin II,Q4967758,1979-10-12,1981-05-05
utbildningsminister,Regeringen Fälldin I,Q6340136,1976-10-08,1982-10-08
bostadsminister,Regeringen Carlsson II,Q5969868,1988-10-04,1991-10-04
justitieminister,Regeringen Fälldin II,Q3658738,1981-05-05,1982-10-08
lantförsvarsminister,Regeringen Edén,Q6009015,1917-10-19,1920-03-10
justitieminister,Regeringen Carlsson II,Q291648,1988-10-04,1991-10-04
utrikeshandelsminister,Regeringen Carlsson II,Q459226,1986-10-10,1991-10-04
civilminister,Regeringen Edén,Q5811763,1919-11-28,1920-03-10
Statsministerns ställföretädare,Regeringen Fälldin I,Q53733,1978-03-07,1978-10-18
justitieminister,Regeringen Edén,Q5360742,1917-10-19,1920-03-10
arbetsmarknadsminister,Regeringen Fälldin I,Q6244910,1978-03-07,1980-07-31
miljöminister,Regeringen Carlsson II,Q4356302,1986-03-12,1991-10-04
biträdande jordbruksminister,Regeringen Erlander I,Q354112,1946-10-11,1947-04-11
försvarsminister,Regeringen Carlsson II,Q5603378,1985-10-14,1991-10-04
invandrarminister,Regeringen Carlsson II,Q4964703,1989-01-29,1991-10-04
konsumentminister,Regeringen Carlsson II,Q237522,1988-10-04,1991-10-04
digitaliseringsminister,Regeringen Löfven I,Q4822657,2014-10-03,2016-04-18
socialminister,Regeringen Fälldin I,Q5778433,1976-10-08,1978-10-18
jämställdhetsminister,Regeringen Carlsson II,Q4964703,1989-01-29,1991-10-04
budgetminister,Regeringen Fälldin I,Q5996964,1976-11-25,1980-07-31
skolminister,Regeringen Carlsson II,Q53747,1989-01-29,1991-10-04
utrikesminister,Regeringen Carlsson II,Q1346478,1985-10-17,1991-10-04
biståndsminister,Regeringen Fälldin I,Q53733,1976-10-08,1978-10-18
ecklesiastikminister,Regeringen Edén,Q6085444,1917-10-19,1919-11-28
handelsminister,Regeringen Erlander I,Q5715273,1948-10-28,1955-09-12
energiminister,Regeringen Fälldin I,Q2021126,1976-10-08,1978-10-18
invandrarminister,Regeringen Fälldin I,Q1347731,1976-10-08,1977-01-11
sjöförsvarsminister,Regeringen Edén,Q1807154,1917-10-19,1920-03-10
kommunikationsminister,Regeringen Fälldin I,Q6216923,1976-10-08,1978-10-18
inrikesminister,Regeringen Erlander I,Q5995142,1947-07-01,1951-10-01
civilminister,Regeringen Edén,Q6169057,1917-10-19,1919-11-28
idrottsminister,Regeringen Carlsson II,Q5969868,1986-10-10,1991-10-04
handelsminister,Regeringen Erlander I,Q3373681,1947-05-24,1948-09-24
invandrarminister,Regeringen Fälldin I,Q6244910,1978-03-07,1978-10-18
straffrättsminister,Regeringen Fälldin II,Q3658738,1979-11-06,1981-05-22
näringsminister,Regeringen Fälldin I,Q6255950,1976-10-08,1978-10-18
arbetsmarknadsminister,Regeringen Carlsson II,Q231413,1990-01-11,1991-10-04
jämställdhetsminister,Regeringen Fälldin I,Q6244910,1978-03-07,1978-10-18
jämställdhetsminister,Regeringen Fälldin I,Q1347731,1976-10-08,1978-03-07
minister för nordiskt samarbete,Regeringen Fälldin I,Q3742570,1976-10-08,1978-10-18
bostadsminister,Regeringen Fälldin I,Q4916267,1978-10-18,1982-10-08
konsultativt statsråd,Regeringen Erlander I,Q5715273,1945-07-31,1948-10-28
ekonomiminister,Regeringen Fälldin I,Q263366,1976-11-25,1978-10-18
infrastrukturminister,Regeringen Löfven I,Q4956893,2014-10-03,2017-07-27
utrikesminister,Regeringen Palme I,Q953952,1973-11-03,1976-10-08
miljöminister,Regeringen Löfven I,Q271230,2014-10-03,2016-05-25
samfundsminister,Regeringen Palme I,Q5777699,1973-11-03,1976-10-08
samfundsminister,Regeringen Palme I,Q5777713,1973-11-03,1976-10-08
civilminister,Regeringen Löfven II,Q4967237,2019-10-01,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven I,Q237522,2014-10-03,2019-09-10
folkhushållningsminister,Regeringen Hansson II,Q5716548,1939-10-15,1941-03-07
kommunikationsminister,Regeringen Palme I,Q6017016,1969-07-01,1976-10-08
utrikesminister,Regeringen Erlander I,Q298317,1945-07-31,1962-09-19
inrikesminister,Regeringen Löfven I,Q5887217,2017-07-27,2019-01-21
civilminister,Regeringen Erlander I,Q5959211,1950-07-01,1954-11-29
utrikesminister,Regeringen Hansson II,Q53637,1936-09-28,1939-12-13
justitieminister,Regeringen Erlander I,Q6252055,1945-07-31,1957-09-20
näringsminister,Regeringen Palme I,Q3376192,1969-01-01,1971-06-30
finansmarknadsminister,Regeringen Löfven II,Q5581337,2014-10-03,2021-02-05
biståndsminister,Regeringen Löfven I,Q241208,2014-10-03,2019-01-21
konsultativt statsråd,Regeringen Hansson II,Q5716548,1938-09-01,1939-10-14
kommunikationsminister,Regeringen Hansson II,Q6192576,1938-12-16,1939-12-13
arbetsmarknadsminister,Regeringen Palme I,Q707581,1974-01-01,1976-10-08
minister för nordiskt samarbete,Regeringen Löfven I,Q4972535,2014-10-03,2016-05-25
migrationsminister,Regeringen Löfven I,Q4949040,2017-07-27,2019-01-21
handelsminister,Regeringen Palme I,Q927466,1970-10-09,1975-10-27
EU-minister,Regeringen Löfven I,Q18243775,2016-05-25,2019-01-21
samordningsminister,Regeringen Palme I,Q5950208,1975-01-01,1975-11-01
justitieminister,Regeringen Löfven I,Q5887217,2014-10-03,
näringsminister,Regeringen Palme I,Q5887636,1971-06-30,1976-10-08
kommunikationsminister,Regeringen Hansson II,Q4710223,1936-09-28,1938-12-16
idrottsminister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27
inrikesminister,Regeringen Palme I,Q707581,1973-11-03,1973-12-31
jordbruksminister,Regeringen Palme I,Q5967249,1973-11-03,1976-10-08
jämställdhetsminister,Regeringen Löfven I,Q3431836,2018-03-08,2019-01-21
finansminister,Regeringen Erlander I,Q6180686,1949-10-21,1955-09-12
finansminister,Regeringen Löfven I,Q4935873,2014-10-03,2021-11-30
löneminister,Regeringen Palme I,Q5969341,1969-10-14,1975-11-01
Statsministerns ställföretädare,Regeringen Palme I,Q354112,1975-01-01,1976-10-08
jordbruksminister,Regeringen Erlander I,Q6180686,1945-07-31,1948-10-29
konsultativt statsråd,Regeringen Erlander I,Q953952,1948-10-28,1951-10-01
inrikesminister,Regeringen Löfven I,Q3375050,2014-10-03,2017-07-27
utbildningsminister,Regeringen Palme I,Q6250583,1973-11-03,1976-10-08
civilminister,Regeringen Palme I,Q5967249,1969-07-01,1973-11-03
minister för nordiskt samarbete,Regeringen Palme I,Q927466,1970-10-03,1976-10-08
migrationsminister,Regeringen Löfven I,Q5887217,2014-10-03,2017-07-27
biståndsminister,Regeringen Palme I,Q4978577,1973-11-03,1976-10-08
samordningsminister,Regeringen Erlander I,Q6180686,1948-10-28,1949-10-21
minister för nordiskt samarbete,Regeringen Löfven I,Q237522,2016-05-25,2019-01-21
samordningsminister,Regeringen Löfven I,Q3055916,2016-05-25,2019-01-21
inrikesminister,Regeringen Palme I,Q2345137,1969-01-25,1973-11-03
socialminister,Regeringen Erlander I,Q4570928,1939-12-13,1951-10-01
handelsminister,Regeringen Palme I,Q5950208,1975-11-10,1976-10-08
socialminister,Regeringen Hansson II,Q4570928,1936-09-28,1938-12-16
jordbruksminister,Regeringen Erlander I,Q354112,1948-10-30,1951-10-01
samordningsminister,Regeringen Palme I,Q2408431,1975-11-01,1976-10-08
ecklesiastikminister,Regeringen Erlander I,Q4970543,1951-03-17,1951-10-01
kommunikationsminister,Regeringen Erlander I,Q241035,1945-07-31,1951-10-01
utrikesminister,Regeringen Palme I,Q3376192,1971-06-30,1973-11-03
näringsminister,Regeringen Löfven I,Q3372917,2014-10-03,2019-01-21
invandrarminister,Regeringen Palme I,Q4970788,1967-01-09,1973-11-03
kommunminister,Regeringen Palme I,Q5777699,1974-01-01,1976-10-08
socialminister,Regeringen Hansson II,Q4710223,1938-12-16,1939-12-13
justitieminister,Regeringen Hansson II,Q4353489,1936-09-28,1943-08-30
handelsminister,Regeringen Hansson II,Q6180686,1936-09-28,1938-12-16
socialförsäkringsminister,Regeringen Löfven I,Q4980750,2014-10-03,2019-10-01
bostadsminister,Regeringen Löfven I,Q5581337,2016-04-18,2016-05-25
finansminister,Regeringen Palme I,Q354112,1955-09-12,1976-10-08
handelsminister,Regeringen Hansson II,Q4570928,1938-12-16,1939-12-13
bostadsminister,Regeringen Löfven I,Q470630,2016-05-25,2019-01-21
försvarsminister,Regeringen Palme I,Q2345137,1973-01-01,1976-01-01
handelsminister,Regeringen Löfven I,Q18243775,2016-05-25,2019-09-10
civilminister,Regeringen Löfven I,Q4787806,2014-10-03,2019-09-30
miljöminister,Regeringen Löfven I,Q4979119,2016-05-25,2019-01-21
socialminister,Regeringen Palme I,Q5561426,1962-09-19,1976-10-08
skolminister,Regeringen Palme I,Q5989925,1967-09-29,1973-11-03
miljöminister,Regeringen Löfven II,Q5581337,2021-02-05,2021-11-30
justitieminister,Regeringen Palme I,Q2130664,1969-10-14,1976-10-08
konsumentminister,Regeringen Löfven I,Q5581337,2014-10-03,2019-01-21
utbildningsminister,Regeringen Palme I,Q53740,1969-10-14,1973-11-02
finansmarknadsminister,Regeringen Löfven I,Q5581337,2014-10-03,2021-02-05
finansminister,Regeringen Erlander I,Q5783838,1949-07-01,1949-10-17
jordbruksminister,Regeringen Palme I,Q707581,1969-01-25,1973-11-02
handelsminister,Regeringen Palme I,Q6146893,1955-09-12,1970-10-09
socialminister,Regeringen Löfven I,Q4980750,2017-07-27,2019-01-21
invandrarminister,Regeringen Palme I,Q1796120,1973-11-03,1976-10-08
bostadsminister,Regeringen Palme I,Q53740,1974-01-01,1976-10-08
utrikesminister,Regeringen Löfven I,Q237522,2014-10-03,2019-09-10
energiminister,Regeringen Löfven I,Q3055916,2014-10-03,2019-01-21
idrottsminister,Regeringen Löfven I,Q24018140,2019-01-21,2021-11-30
jämställdhetsminister,Regeringen Palme I,Q1796120,1973-11-03,1976-10-08
försvarsminister,Regeringen Palme I,Q953952,1957-03-22,1973-10-31
landsbygdsminister,Regeringen Löfven II,Q4563096,2019-01-21,2021-06-30
försvarsminister,Regeringen Hansson II,Q6180686,1938-12-16,1945-07-31
digitaliseringsminister,Regeringen Löfven I,Q5581337,2016-04-18,2016-05-25
ungdomsminister,Regeringen Palme I,Q4970788,1969-10-14,1973-11-03
digitaliseringsminister,Regeringen Löfven I,Q470630,2016-05-25,2019-01-21
konsultativt statsråd,Regeringen Erlander I,Q5959211,1950-01-04,1950-07-01
konsultativt statsråd,Regeringen Palme I,Q5950208,1969-10-14,1974-12-31
samfundsminister,Regeringen Palme I,Q152437,1969-10-14,1973-11-03
civilminister,Regeringen Löfven III,Q4967237,2019-10-01,2021-11-30
utrikesminister,Regeringen Palme I,Q241035,1962-09-19,1971-06-30
löneminister,Regeringen Palme I,Q927466,1975-11-01,1976-10-08
minister för nordiskt samarbete,Regeringen Löfven II,Q18243775,2019-01-21,2019-09-10
socialförsäkringsminister,Regeringen Löfven II,Q4980750,2014-10-03,2019-10-01
biståndsminister,Regeringen Löfven II,Q19977122,2021-02-05,2021-11-30
kulturminister,Regeringen Löfven III,Q24018140,2019-01-21,2021-11-30
handelsminister,Regeringen Löfven II,Q18243775,2016-05-25,2019-09-10
civilminister,Regeringen Löfven II,Q4787806,2014-10-03,2019-09-30
socialförsäkringsminister,Regeringen Löfven III,Q4787806,2019-10-01,
skolminister,Regeringen Andersson,Q23915324,2021-11-30,
infrastrukturminister,Regeringen Löfven II,Q5711551,2017-07-27,
arbetsmarknadsminister,Regeringen Löfven I,Q3369258,2014-10-03,2019-09-10
integrationsminister,Regeringen Löfven I,Q3369258,2016-05-25,2019-01-21
kulturminister,Regeringen Löfven II,Q24018140,2019-01-21,2021-11-30
infrastrukturminister,Regeringen Andersson,Q5711551,2017-07-27,
demokratiminister,Regeringen Löfven III,Q24018140,2019-01-21,2021-11-30
bostadsminister,Regeringen Löfven III,Q64524335,2021-02-05,2021-11-30
socialförsäkringsminister,Regeringen Löfven II,Q4787806,2019-10-01,
ungdomsminister,Regeringen Löfven I,Q18176335,2014-10-03,2016-08-15
socialförsäkringsminister,Regeringen Andersson,Q4787806,2019-10-01,
ungdomsminister,Regeringen Löfven I,Q4953463,2016-08-15,2016-09-13
sjukvårdsminister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27
demokratiminister,Regeringen Löfven II,Q24018140,2019-01-21,2021-11-30
samfundsminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21
bostadsminister,Regeringen Löfven II,Q64524335,2021-02-05,2021-11-30
utbildningsminister,Regeringen Löfven III,Q4946204,2019-01-21,
bostadsminister,Regeringen Löfven II,Q5581337,2019-01-21,2021-02-05
arbetsmarknadsminister,Regeringen Löfven III,Q4970111,2019-09-10,
inrikesminister,Regeringen Löfven III,Q3372917,2019-01-21,2021-11-30
näringsminister,Regeringen Löfven III,Q3055916,2019-01-21,2021-11-30
jämställdhetsminister,Regeringen Löfven III,Q64524335,2021-02-05,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven III,Q5887217,2019-09-10,2021-11-30
utbildningsminister,Regeringen Löfven II,Q4946204,2019-01-21,
EU-minister,Regeringen Löfven III,Q5615474,2021-07-09,
energiminister,Regeringen Löfven III,Q3375050,2019-01-21,2021-11-30
jämställdhetsminister,Regeringen Löfven I,Q18177071,2014-10-03,2018-03-08
arbetsmarknadsminister,Regeringen Löfven II,Q4970111,2019-09-10,
inrikesminister,Regeringen Löfven II,Q3372917,2019-01-21,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven II,Q237522,2014-10-03,2019-09-10
högskoleminister,Regeringen Löfven I,Q4953463,2014-10-03,2019-01-21
utbildningsminister,Regeringen Andersson,Q4946204,2019-01-21,
näringsminister,Regeringen Löfven II,Q3055916,2019-01-21,2021-11-30
arbetsmarknadsminister,Regeringen Löfven II,Q3369258,2014-10-03,2019-09-10
arbetsmarknadsminister,Regeringen Andersson,Q4970111,2019-09-10,
jämställdhetsminister,Regeringen Löfven II,Q64524335,2021-02-05,2021-11-30
Statsministerns ställföretädare,Regeringen Löfven II,Q5887217,2019-09-10,2021-11-30
energiminister,Regeringen Löfven II,Q3375050,2019-01-21,2021-11-30
