name,title,start,end
Ivar Nordberg,Industriminister,1988-10-04,1990-01-11
Rune Molin,Industriminister,1990-01-11,1990-02-27
Hans Gustafsson,Bostadsminister,1986-03-12,1988-10-04
Ulf Lönnqvist,Bostads- och idrottsminister,1988-10-04,1990-02-27
Anna-Greta Leijon,Arbetsmarknadsminister,1986-03-12,1987-10-19
Ingela Thalén,Arbetsmarknadsminister,1987-10-19,1990-01-11
Mona Sahlin,Arbetsmarknadsminister,1990-01-11,1990-02-27
Anita Gradin,Jämställdhetsminister,1986-03-12,1986-10-10
Anna-Greta Leijon,Jämställdhetsminister,1986-10-10,1987-10-19
Ingela Thalén,Jämställdhetsminister,1987-10-19,1989-01-29
Maj-Lis Lööw,Jämställdhetsminister,1989-01-29,1990-02-27
Anita Gradin,Invandrarminister,1986-03-12,1986-10-10
Georg Andersson,Invandrarminister,1986-10-10,1989-01-29
Maj-Lis Lööw,Invandrarminister,1989-01-29,1990-02-27
Sven Hulterström,Kommunikationsminister,1986-03-12,1989-01-29
Georg Andersson,Kommunikationsminister,1989-01-29,1990-02-27
Bo Holmberg,Civilminister,1986-03-12,1988-10-04
Bengt KÅ Johansson,Civilminister,1988-10-04,1990-02-27
Bo Holmberg,Kyrkominister,1986-03-12,1988-10-04
Margot Wallström,Kyrkominister,1988-10-04,1990-02-27
Margot Wallström,Konsument- och ungdomsminister,1988-10-04,1990-02-27
Tage Erlander,Statsminister,1957-10-31,1969-10-14
Ingvar Lindell,Justitieminister,1957-10-31,1959-12-01
Herman Kling,Justitieminister,1959-12-01,1969-10-14
Östen Undén,Utrikesminister,1957-10-31,1962-09-20
Torsten Nilsson,Utrikesminister,1962-09-20,1969-10-14
Sven Andersson,Försvarsminister,1957-10-31,1969-10-14
Torsten Nilsson,Socialminister,1957-10-31,1962-09-20
Sven Aspling,Socialminister,1962-09-20,1969-10-14
Gösta Skoglund,Kommunikationsminister,1957-10-31,1965-11-25
Olof Palme,Kommunikationsminister,1965-11-25,1967-09-29
Svante Lundkvist,Kommunikationsminister,1967-09-29,1969-07-01
Bengt Norling,Kommunikationsminister,1969-07-01,1969-10-14
Gunnar Sträng,Finansminister,1957-10-31,1969-10-14
Ragnar Edenman,Ecklesiastikminister,1957-10-31,1967-09-29
Olof Palme,Utbildningsminister,1967-09-29,1969-10-14
Gösta Netzén,Jordbruksminister,1957-10-31,1961-11-25
Eric Holmqvist,Jordbruksminister,1961-11-25,1969-01-25
Ingemund Bengtsson,Jordbruksminister,1969-01-25,1969-10-14
Gunnar Lange,Handelsminister,1957-10-31,1969-10-14
