role,wiki_id,start,end,name,gender,born,dead,party,alias,id
andra kammarens talman,Q4894168,1928-01-01,1932-01-01,Bernhard Eriksson,man,1878-04-19,1952-04-18,Socialdemokraterna,,ak_talman_bernhard_eriksson_w
första kammarens talman,Q6010694,1937-01-01,1955-01-01,Johan Nilsson,man,1873-08-21,1963-03-15,,,fk_talman_johan_nilsson_w
andra kammarens talman,Q1606431,1969-01-01,1970-01-01,Henry Allard,man,1911-11-21,1996-10-23,Socialdemokraterna,Allard i Örebro,ak_talman_henry_allard_w
andra kammarens talman,Q18246296,1958-06-18,1960-07-17,Patrik Svensson,man,1895-10-12,1960-07-17,Socialdemokraterna,,ak_talman_patrik_svensson_w
Sveriges riksdags talman,Q3369220,2014-09-29,2018-09-24,Urban Ahlin,man,1964-11-13,,Socialdemokraterna,,talman_urban_ahlin_w
första kammarens vice talman,Q6022267,1916-01-01,1918-01-01,Theodor Odelberg,man,1847-12-21,1938-02-15,,Odelberg i Enskede,fk_vice_talman_theodor_odelberg_w
första kammarens vice talman,Q5748259,1875-01-01,,Olof Fåhræus,man,1796-03-23,1884-05-28,,Fåhræus i Stockholm,fk_vice_talman_olof_fahrus_w
andra kammarens talman,Q525663,1867-01-01,1872-01-01,Anton Niklas Sundberg,man,1818-05-27,1900-02-01,,Sundberg i Karlstad,ak_talman_anton_niklas_sundberg_w
andra kammarens talman,Q525663,1867-01-01,1872-01-01,Anton Niklas Sundberg,man,1818-05-27,1900-02-01,,Sundberg i Uppsala,ak_talman_anton_niklas_sundberg_w
första kammarens talman,Q1555429,1881-01-01,1891-01-01,Gustaf Lagerbjelke,man,1817-10-06,1895-03-06,,,fk_talman_gustaf_lagerbjelke_w
Sveriges riksdags talman,Q4356302,1994-10-03,2002-09-30,Birgitta Dahl,kvinna,1937-09-20,,Socialdemokraterna,Dahl i Uppsala,talman_birgitta_dahl_w
andra kammarens vice talman,Q5616733,1897-01-01,1897-01-01,Anders Danielsson,man,1839-12-01,1897-12-18,,Danielson i Dyestad,ak_vice_talman_anders_danielsson_w
andra kammarens vice talman,Q3893038,1918-01-01,1918-01-01,Herman Lindqvist,man,1863-07-09,1932-05-29,Socialdemokraterna,Lindqvist i Stockholm,ak_vice_talman_herman_lindqvist_w
andra kammarens vice talman,Q53292,1909-01-01,1910-01-01,Karl Staaff,man,1860-01-21,1915-10-04,,Staaff i Stockholm,ak_vice_talman_karl_staaff_w
andra kammarens talman,Q6199757,1903-01-01,1912-01-01,Axel Swartling,man,1840-03-18,1918-09-15,,Swartling i Norrköping,ak_talman_axel_swartling_w
andra kammarens vice talman,Q5975041,1867-01-01,1872-01-01,Carl Axel Mannerskantz,man,1809-11-27,1888-01-05,,Mannerskantz i Värnanäs,ak_vice_talman_carl_axel_mannerskantz_w
andra kammarens talman,Q3893038,1918-01-01,1921-01-01,Herman Lindqvist,man,1863-07-09,1932-05-29,Socialdemokraterna,Lindqvist i Stockholm,ak_talman_herman_lindqvist_w
första kammarens vice talman,Q5359581,1891-01-01,1895-01-01,Gustaf Sparre,man,1834-05-31,1914-09-04,,Sparre af Söfdeborg i Almenäs,fk_vice_talman_gustaf_sparre_w
