name,party,district,chamber,start,end,occupation,gender,id,party_abbrev,twittername
Carl Boberg,Högerpartiet,Kalmar läns norra och södra landstingsområden samt Gotlands län,Första kammaren,1919,1925,,man,carl_boberg_0b8e52,M,
Carl Carlsson,Liberalerna,Gävleborgs län med Gävle stad,Första kammaren,1919,1925,,man,carl_carlsson_26654c,L,
Carl Eriksson,Socialdemokraterna,Gävleborgs län med Gävle stad,Första kammaren,1919,1925,,man,carl_eriksson_91aa39,S,
Carl Gustaf Ekman,Liberalerna,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,carl_gustaf_ekman_6a4b5e,L,
Carl Hederstierna,Högerpartiet,Stockholms stad,Första kammaren,1919,1925,,man,carl_hederstierna_4b166d,M,
Carl Johan Gustaf Swartz,Högerpartiet,Östergötlands län med Norrköpings stad,Första kammaren,1919,1925,,man,carl_johan_gustaf_swartz_90c2e0,M,
Carl Johansson,Socialdemokraterna,Malmöhus län med Malmö stad och Helsingborgs stad,Första kammaren,1919,1925,,man,carl_johansson_406ffe,S,
Carl O. Olsson,Bondeförbundet,Blekinge län och Kristianstads län,Första kammaren,1919,1925,,man,carl_o_olsson_d94bcb,C,
Carl Schedin,Bondeförbundet,Kopparbergs län,Första kammaren,1919,1925,,man,carl_schedin_829434,C,
Carl Svensson,Socialdemokraterna,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,man,carl_svensson_7c7965,S,
Carl Winberg,Unknown k,Västerbottens län och Norrbottens län,Första kammaren,1919,1925,,man,carl_winberg_4a82dc,,
Carl-Axel Reuterskiöld,Bondeförbundet,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,carl-axel_reuterskiold_a49515,C,
Charles Lindley,Socialdemokraterna,Stockholms stad,Första kammaren,1919,1925,,man,charles_lindley_1cd23d,S,
Daniel Alfred Petrén,Socialdemokraterna,Kopparbergs län,Första kammaren,1919,1925,,man,daniel_alfred_petren_6bd931,S,
Edvard Björnsson,Socialdemokraterna,Älvsborgs län,Första kammaren,1919,1925,,man,edvard_bjornsson_e6e2d8,S,
Edvard Hagfält,Socialdemokraterna,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,edvard_hagfalt_0f8eb1,S,
Edward Larson,Liberalerna,Skaraborgs län,Första kammaren,1919,1925,,man,edward_larson_4dcb60,L,
Einar Thulin,Socialdemokraterna,Östergötlands län med Norrköpings stad,Första kammaren,1919,1925,,man,einar_thulin_a9b3fb,S,
Eliel Löfgren,Liberalerna,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,eliel_lofgren_f793b1,L,
Elof Andersson,Liberalerna,Blekinge län och Kristianstads län,Första kammaren,1919,1925,,man,elof_andersson_f18593,L,
Eric Hallin,Högerpartiet,Göteborgs och Bohus län,Första kammaren,1919,1925,,man,eric_hallin_993d20,M,
Erik Abrahamsson,,Jönköpings län,Första kammaren,1919,1925,,man,erik_abrahamsson_7a0777,,
Erik Anderson,Högerpartiet,Kalmar läns norra och södra landstingsområden samt Gotlands län,Första kammaren,1919,1925,,man,erik_anderson_4e780d,M,
Erik August Enhörning,Högerpartiet,Västernorrlands län och Jämtlands län,Första kammaren,1919,1925,,man,erik_august_enhorning_7d7360,M,
Erik Dalberg,Socialdemokraterna,Kopparbergs län,Första kammaren,1919,1925,,man,erik_dalberg_0cc2a1,S,
Erik Vrang,Högerpartiet,Skaraborgs län,Första kammaren,1919,1925,,man,erik_vrang_fd994b,M,
Ernst Klefbeck,Socialdemokraterna,Stockholms stad,Första kammaren,1919,1925,,man,ernst_klefbeck_ccd05a,S,
Ernst Lyberg,Liberalerna,Kopparbergs län,Första kammaren,1919,1925,,man,ernst_lyberg_0c86d6,L,
Ernst Svensson,Bondeförbundet,Skaraborgs län,Första kammaren,1919,1925,,man,ernst_svensson_7b6ca9,C,
Ernst Trygger,Högerpartiet,Stockholms stad,Första kammaren,1919,1925,,man,ernst_trygger_a7f175,M,
Ernst Wigforss,Socialdemokraterna,Göteborgs stad,Första kammaren,1919,1925,,man,ernst_wigforss_ef9fdb,S,
Ernst Åström,Unknown v-s,Kopparbergs län,Första kammaren,1919,1925,,man,ernst_astrom_ec917c,,
Frits Gustav Möller,Socialdemokraterna,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,frits_gustav_moller_6e5c96,S,
Frits Leander Lindquist,Socialdemokraterna,Västernorrlands län och Jämtlands län,Första kammaren,1919,1925,,man,frits_leander_lindquist_d5f3d6,S,
Gerhard Halfred von Koch,Liberalerna,Örebro län,Första kammaren,1919,1925,,man,gerhard_halfred_von_koch_f2e2ea,L,
Gustaf A. Wahl,Socialdemokraterna,Stockholms stad,Första kammaren,1919,1925,,man,gustaf_a_wahl_c5e4b6,S,
Gustaf Anton Larsén,Socialdemokraterna,Kronobergs och Hallands län,Första kammaren,1919,1925,,man,gustaf_anton_larsen_0d3664,S,
Gustaf Barthelson,Högerpartiet,Skaraborgs län,Första kammaren,1919,1925,,man,gustaf_barthelson_23720a,M,
Gustaf Boman,Högerpartiet,Göteborgs stad,Första kammaren,1919,1925,,man,gustaf_boman_c4f72b,M,
Gustaf H. Malmberg,Socialdemokraterna,Kalmar läns norra och södra landstingsområden samt Gotlands län,Första kammaren,1919,1925,,man,gustaf_h_malmberg_52da10,S,
Gustaf Lagerbjelke,Högerpartiet,Stockholms län och Uppsala län,Första kammaren,1919,1925,,man,gustaf_lagerbjelke_144f0d,M,
Gustaf Nilsson,Socialdemokraterna,Blekinge län och Kristianstads län,Första kammaren,1919,1925,,man,gustaf_nilsson_82ab49,S,
Gustaf Sederholm,Högerpartiet,Södermanlands och Västmanlands län,Första kammaren,1919,1925,,man,gustaf_sederholm_dffc65,M,
Gustaf Strömberg,Socialdemokraterna,Värmlands län,Första kammaren,1919,1925,,man,gustaf_stromberg_975b70,S,
Gustav Rosén,Liberalerna,Västerbottens län och Norrbottens län,Första kammaren,1919,1925,,man,gustav_rosen_d23c88,L,
Henrik Öhngren,Liberalerna,Västernorrlands län och Jämtlands län,Första kammaren,1919,1925,,man,henrik_ohngren_660087,L,
