wiki_id,alias,name
Q111660706,Söderbom i Gröndal,Vilhelm Söderbom
Q111664215,Andersson i Saxtorp,Arvid Andersson
Q111664215,Gustaf Arvid Andersson,Arvid Andersson
Q111665128,Andersson Härrklättan,Axel Andersson
Q111665128,Axel Konrad Andersson,Axel Andersson
Q111665305,Andersson i Mejstad,Birger Andersson
Q111665305,Birger Magnus Gudmund Andersson,Birger Andersson
Q111665806,Andersson i Skurup,Ingvar Andersson
Q111665806,Olof Ingvar Andersson,Ingvar Andersson
Q111665825,Andersson i Fredriksberg,Ivar Andersson
Q111665991,Berg i Munkfors,Nils A:son Berg
Q111665991,Nils Andersson Berg,Nils A:son Berg
Q111667664,Berglund i Kramfors,Johan Emil Berglund
Q111667664,Berglund i Sollefteå,Johan Emil Berglund
Q111668422,Birath i Stockholm,Bror Birath
Q111668422,Bror Karl Birath,Bror Birath
Q111672359,Janson i Frändesta,Stig Janson
Q111678652,Björkman i Länghem,Carl Albin Björkman
Q111692389,Jonsson i Mörbylånga,Einar Jonsson
Q111692389,Karl Einar Edvin Jonsson,Einar Jonsson
Q111696386,Canell i Koppoms bruk,Fredrik Canell
Q111696386,Per Fredrik Canell,Fredrik Canell
Q111701888,Carlsson i Läperud,Erik Carlsson
Q111709613,Gädda i Svarteborg,Octo Gädda
Q111709613,Octo Emanuel Gädda,Octo Gädda
Q111722133,C Wilhelm Jönsson,Wilhelm Jönsson
Q111722133,Carl Wilhelm Jönsson,Wilhelm Jönsson
Q111722133,Jönsson i Mårdslycke,Wilhelm Jönsson
Q111722285,Persson i Västervik,Jöns Persson
Q111722319,,Per Gabrielsson
Q111793135,Lilly Maria Ottilia Ohlsson,Lilly Ohlsson
Q111793135,Lilly Maria Ottilia Palmgren,Lilly Ohlsson
Q111793135,Ohlsson i Klagstorp,Lilly Ohlsson
Q111795764,Hans Edvin Svensson,Edvin Svensson
Q111795764,Svensson i Landskrona,Edvin Svensson
Q111796971,Dahlberg i Mölndal,Robert Dahlberg
Q111796971,Gustaf Robert Dahlberg,Robert Dahlberg
Q111797206,Bror Gunnar Leopold Dahlgren,Gunnar Dahlgren
Q111797206,Dahlgren i Göteborg,Gunnar Dahlgren
Q111802611,John Evert Konrad Frankenberg,Evert Frankenberg
Q111802667,Nordström i Karlstad,Kalixtus Nordström
Q111802667,Oskar Malkolm Kalixtus Nordström,Kalixtus Nordström
Q111805044,Hellberg i Ljungskile,Wilhelm Hellberg
Q111805044,Lars Henrik Wilhelm Hellberg,Wilhelm Hellberg
Q111817832,H. Nordqvist,Helmer Nordqvist
Q111817832,Nordqvist i Karlskoga,Helmer Nordqvist
Q111817832,Olof Helmer Nordqvist,Helmer Nordqvist
Q1145662,Ernst Johannes Wigforss,Ernst Wigforss
Q1145662,Wigforss i Göteborg,Ernst Wigforss
Q116916,"Wetterstedt, Gustaf af",Gustaf af Wetterstedt
Q12006677,,Tomas Nilsson
Q1232072,Jan Olov Karlsson,Jan O. Karlsson
Q1253889,Otto Fredrik Ström,Fredrik Ström
Q1253889,Ström i Stockholm,Fredrik Ström
Q1253889,Ström i Ulvsunda,Fredrik Ström
Q1253889,Ström i Äppelviken,Fredrik Ström
Q1267,Dag Hjalmar Agne Carl Hammarskjöld,Dag Hammarskjöld
Q1291317,Carleson i Stockholm,Edvard Carleson
Q1291317,"Carleson, Edvard",Edvard Carleson
Q1291317,Eduard Carleson,Edvard Carleson
Q1291317,Edvard Henrik Carleson,Edvard Carleson
Q1333150,"Ericsson, Elof",Elof Ericsson
Q1333150,Johan Elof Ericsson,Elof Ericsson
Q1346478,Andersson i Stockholm,Sten Andersson
Q1346478,Sten Andersson i Stockholm,Sten Andersson
Q1346478,Sten Sture Andersson,Sten Andersson
Q1347731,Ahlmark i Enskede,Per Ahlmark
Q1347731,Per Axel Ahlmark,Per Ahlmark
Q1347810,Karl Kihlbom,Karl Kilbom
Q1347810,Kilbom,Karl Kilbom
Q1347810,Kilbom i Stockholm,Karl Kilbom
Q1348997,Henric Reuterdahl,Henrik Reuterdahl
Q1348997,"Reuterdahl, Henrik",Henrik Reuterdahl
Q1353856,Brandt i Söderby,Erik Brandt
Q1353856,"Brandt, Erik",Erik Brandt
Q1353856,E.G.C. Brandt,Erik Brandt
Q1353856,EGC Brandt,Erik Brandt
Q1353856,Erik Gottfrid Christian Brandt,Erik Brandt
Q1353856,Erik brandt,Erik Brandt
Q1357206,Hökmark,Gunnar Hökmark
Q1358123,Ernst Fredrik Vilhelm Meyer,Ernst Meyer
Q1358123,Ernst Fredrik Wilhelm Meyer,Ernst Meyer
Q1358123,Ernst Meyer (politiker),Ernst Meyer
Q1358123,Meyer i Karlshamn,Ernst Meyer
Q1358123,"Meyer, Ernst",Ernst Meyer
Q1360952,Ernst Mattias Peter von Vegesack,Ernst von Vegesack
Q1360952,"Vegesack, Ernst von",Ernst von Vegesack
Q1368035,Gustaf Richard Yngve Larsson,Yngve Larsson
Q1375199,Per Erik Gunnar Westerberg,Per Westerberg
Q1383695,Persson i Helsingborg,Nils Persson
Q1388588,Gunnar Wennerberg d.y.,Gunnar Wennerberg
Q1388588,Gunnar Wennerberg den yngre,Gunnar Wennerberg
Q1388588,Wennerberg i Växjö,Gunnar Wennerberg
Q1388885,Fahlbeck,Pontus Fahlbeck
Q1388885,Fahlbeck i Djursholm,Pontus Fahlbeck
Q1388885,Fahlbeck i Lund,Pontus Fahlbeck
Q1388885,Pontus Erland Andersson Fahlbeck,Pontus Fahlbeck
Q1388885,Pontus Erland Fahlbeck,Pontus Fahlbeck
Q1448829,Rönn-Christiansson,Solveig Rönn-Christiansson
Q1448829,Solveig Rönn,Solveig Rönn-Christiansson
Q1511698,G. H. von Koch,Halfred von Koch
Q1511698,Gerard Halfred von Koch,Halfred von Koch
Q1511698,Gerhard Halfred von Koch,Halfred von Koch
Q1511698,"Koch, Gerard Halfred von",Halfred von Koch
Q1511698,von Koch i Djursholm,Halfred von Koch
Q1511698,von Koch i Stockholm,Halfred von Koch
Q152437,Alva Myrdahl,Alva Myrdal
Q152437,Alva Reimer,Alva Myrdal
Q152437,Myrdal i Stockholm,Alva Myrdal
Q152452,Karl Gunnar Myrdal,Gunnar Myrdal
Q152452,Myrdal i Äppelviken,Gunnar Myrdal
Q152452,Myrdal i Ålsten,Gunnar Myrdal
Q152452,"Myrdal, Gunnar",Gunnar Myrdal
Q1528357,Olsson i Helsingborg,Petter Olsson
Q1554742,Gunnar Edvard Heckscher,Gunnar Heckscher
Q1554742,Heckscher i Stockholm,Gunnar Heckscher
Q1554742,"Heckscher, Gunnar",Gunnar Heckscher
Q1555406,Andersson i Falun,Gustaf Henning Andersson
Q1555406,Andersson i Rasjön,Gustaf Henning Andersson
Q1555406,Gustaf Andersson (folkpartiledare),Gustaf Henning Andersson
Q1555406,Gustaf Andersson i Rasjön,Gustaf Henning Andersson
Q1555406,Gustaf Henning Andersson,Gustaf Henning Andersson
Q1555406,Gustaf Henning Andersson (F),Gustaf Henning Andersson
Q1555424,Gustaf Fredrik Steffen,Gustaf Steffen
Q1555424,"Steffen, Gustaf",Gustaf Steffen
Q1555429,Gustaf Lagerbjelke (1817–1895),Gustaf Lagerbjelke
Q1555429,Gustaf Lagerbjelke (född 1817),Gustaf Lagerbjelke
Q1555429,Lagerbjelke i Älvsjö,Gustaf Lagerbjelke
Q156749,A. E. Nordenskiöld,Adolf Erik Nordenskiöld
Q156749,A.E. Nordenskiöld,Adolf Erik Nordenskiöld
Q156749,Nils Adolf Erik Nordenskiold,Adolf Erik Nordenskiöld
Q156749,Nils Adolf Erik Nordenskiöld,Adolf Erik Nordenskiöld
Q156749,Nordenskiöld i Stockholm,Adolf Erik Nordenskiöld
Q156749,"Nordenskiöld, Adolf Erik",Adolf Erik Nordenskiöld
Q156797,K. A. Wallenberg,Knut Agathon Wallenberg
Q156797,K.A. Wallenberg,Knut Agathon Wallenberg
Q156797,Knut Wallenberg,Knut Agathon Wallenberg
Q156797,Wallenberg,Knut Agathon Wallenberg
Q156797,Wallenberg i Stockholm,Knut Agathon Wallenberg
Q15713809,,Johan Johansson i Boden
Q1581082,Hans Gustav Linde,Hans Linde
Q1581082,"Linde, Hans",Hans Linde
Q15845397,,Axel Nordström
Q1593545,,Olof Lavesson
Q15963975,,Adam Marttinen
Q15992158,Carl Linus Bylund,Linus Bylund
Q15997528,Eric Oscar Öhman,Oscar Öhman
Q15997528,Öhman i Sundsvall,Oscar Öhman
Q16008322,Andersson i Brämhult,Torsten Andersson
Q1606431,Allard i Örebro,Henry Allard
Q1606431,"Allard, Henry",Henry Allard
Q16084072,Carsten Walfrid Thunborg,Carsten Thunborg
Q16084072,Thunborg i Skärholmen,Carsten Thunborg
Q16162546,,Paula Bieler
Q16165736,,Gösta Andersson
Q16165766,Kerstin Andersson i Hjärtum,Kerstin Andersson
Q16165766,Kerstin Gudrun Andersson,Kerstin Andersson
Q1635136,"Hegeland, Hugo",Hugo Hegeland
Q1635136,Hugo Oscar Hegeland,Hugo Hegeland
Q16594543,,Cecilia Dalman Eek
Q16595341,,Nina Jarlbäck
Q16595953,Lina Maria Palm Nordquist,Lina Nordquist
Q16596143,Magda Mo Karna Maria Rasmusson,Magda Rasmusson
Q16596188,,Christina Rogestam
Q16616153,Kristina Marie Yngwe,Kristina Yngwe
Q16616217,,Karin Östring Bergman
Q16623762,Kristina Eva Martina Winberg,Kristina Winberg
Q16633048,Karl Hannes Sanh Furuhagen Hervieu,Hannes Hervieu
Q16633140,,Niklas Karlsson
Q16633210,,Mats Lindberg
Q16633235,,Peter Lundgren
Q16633319,,Edip Noyan
Q16633339,,Mattias Ottosson
Q16633513,Lorentz Andreas Tovatt,Lorentz Tovatt
Q1663473,"Svensson, Ingvar",Ingvar Svensson
Q16649068,Carl Israel Carlsson,Carl Carlsson i Norra Smedstorp
Q16649068,Carlsson i Norra Smedstorp,Carl Carlsson i Norra Smedstorp
Q16649121,Arendt Allon Lorentz de Jounge,Arendt de Jounge
Q16649165,,Magnus Ekström
Q16649189,Eric Josef Natanael Ericsson,Eric Josef Ericsson
Q16649189,Ericsson i Åtvidaberg,Eric Josef Ericsson
Q16649189,Erik Josef Ericsson,Eric Josef Ericsson
Q16649279,,Edvin Gilje
Q16649394,Carl Fredrik Lotharius Hochschild,Carl Fredrik Hochschild
Q16649394,Carl Hochschild,Carl Fredrik Hochschild
Q16649394,Hochschild i Bellinga,Carl Fredrik Hochschild
Q16649506,Knut Brynolf Martin Johansson,Knut Johansson
Q16649624,Larsson i Stockholm,Viktor Larsson
Q16649624,Larsson i Västerås,Viktor Larsson
Q16650205,,Johan Christer Emil Richert
