wiki_id,location,person_id
Q5574139,Sveg,Q5574139
Q5582355,Helsingborg,Q5582355
Q6169069,Nyköping,Q6169069
Q4069879,Stockholm,Q4069879
Q6298643,Gäre,Q6298643
Q6186314,Hudiksvall,Q6186314
Q16649068,Norra Smedstorp,Q16649068
Q18246424,Stockholm,Q18246424
Q6199190,Krokstorp,Q6199190
Q6327765,Bodaryd,Q6327765
Q4573469,Luleå,Q4573469
Q4691677,Stockholm,Q4691677
Q18237084,Elleholm,Q18237084
Q4934282,Ulvsunda,Q4934282
Q4946028,Huvudsta,Q4946028
Q6062836,Stockholm,Q6062836
Q6187218,Gävle,Q6187218
Q6187218,Hudiksvall,Q6187218
Q6224947,Mamre,Q6224947
Q6224947,Vigelsbo,Q6224947
Q6314748,Espö,Q6314748
Q6314748,Äspö,Q6314748
Q104889010,Tingsryd,Q104889010
Q10540434,Midsommarkransen,Q10540434
Q105046955,Önnerud,Q105046955
Q105105468,Ystad,Q105105468
Q104889739,Blekan,Q104889739
Q104904121,Åsen,Q104904121
Q105067206,Gärstad,Q105067206
Q6198941,Långelanda,Q6198941
Q5573288,Skidsta,Q5573288
Q5726518,Malmö,Q5726518
Q5718571,Östnor,Q5718571
Q5777410,Stockholm,Q5777410
Q5554719,Bringåsen,Q5554719
Q5553930,Smedbyn,Q5553930
Q5553934,Torp,Q5553934
Q5553957,Nyckelby,Q5553957
Q5554264,Björnlunda,Q5554264
Q5554264,Skeenda,Q5554264
Q5555399,Löfhult,Q5555399
Q5555399,Lövhult,Q5555399
Q5555674,Höör,Q5555674
Q5565912,Riddarhyttan,Q5565912
Q5570343,Borås,Q5570343
Q5580297,Hjo,Q5580297
Q5588966,Mölnbacka,Q5588966
Q5590427,Nedertorneå,Q5590427
Q5591493,Stockholm,Q5591493
Q5608366,Södertälje,Q5608366
Q5714592,Rånnum,Q5714592
Q5715009,Karlskoga,Q5715009
Q5715009,Östra Kärne,Q5715009
Q5600515,Vråen,Q5600515
Q5630040,Fällersta,Q5630040
Q5775203,Berte,Q5775203
Q5553964,Helgesta,Q5553964
Q5555851,Vistena,Q5555851
Q5591679,Harrbäcken,Q5591679
Q5591628,Näsbyn,Q5591628
Q5598581,Bodbyn,Q5598581
Q5901685,Mo,Q5901685
Q5879567,Saxhyttan,Q5879567
Q5896056,Kvarnberga,Q5896056
Q5936646,Tönnersa,Q5936646
Q5995113,Blomma,Q5995113
Q5778040,Stockholm,Q5778040
Q5781989,Östhammar,Q5781989
Q5784915,Viskafors,Q5784915
Q5795804,Göteborg,Q5795804
Q5802988,Stålbo,Q5802988
Q5885103,Huskvarna,Q5885103
Q5885751,Olstorp,Q5885751
Q5887257,Brånalt,Q5887257
Q5902419,Lummelunda,Q5902419
Q5956462,Gävle,Q5956462
Q5957397,Kosta,Q5957397
Q5998465,Nedertorneå,Q5998465
Q6150099,Örebro,Q6150099
Q4953847,Stockholm,Q4953847
Q6045007,Karlskrona,Q6045007
Q5992208,Rottneros,Q5992208
Q369044,Stockholm,Q369044
Q384847,Nolhaga,Q384847
Q384847,Stockholm,Q384847
Q4753813,Vinstorp,Q4753813
Q4753813,Lomma,Q4753813
Q6241030,Karlstad,Q6241030
Q6083558,Västervik,Q6083558
Q6001508,Djursholm,Q6001508
Q6021073,Bjästa,Q6021073
Q6011634,Kärra,Q6011634
Q6043453,Svensköp,Q6043453
Q6077509,Östersund,Q6077509
Q6172122,Stockholm,Q6172122
Q55955,Stockholm,Q55955
Q55955,Äppelviken,Q55955
Q55955,Ålsten,Q55955
Q6256023,Degerfors,Q6256023
Q6198963,Malmberget,Q6198963
Q6203671,Fånö,Q6203671
Q5977935,Oskar-Fredriksborg,Q5977935
Q6011642,Råby,Q6011642
Q6052397,Visby,Q6052397
Q6026493,Tyllered,Q6026493
Q6011309,Östra Äspinge,Q6011309
Q6085588,Visby,Q6085588
Q6178458,Motala,Q6178458
Q6201132,Hörby,Q6201132
Q6009712,Lönsboda,Q6009712
Q6158754,Ättersta,Q6158754
Q6093486,Lidköping,Q6093486
Q6045499,Runtorp,Q6045499
Q6043480,Landafors,Q6043480
Q6043112,Tidaholm,Q6043112
Q6017706,Karlstad,Q6017706
Q6075847,Göteborg,Q6075847
Q5625211,Stockholm,Q5625211
Q5629799,Hösterum,Q5629799
Q5629799,Visby,Q5629799
Q5709034,Fagared,Q5709034
Q5630560,Lesjöfors,Q5630560
Q5735299,Storvik,Q5735299
Q5782765,Härnösand,Q5782765
Q5816232,Umeå,Q5816232
Q5879652,Ellenö,Q5879652
Q5885088,Vännäs,Q5885088
Q5891546,Fors,Q5891546
Q5897318,Karlstad,Q5897318
Q5901677,Göteborg,Q5901677
Q5930919,Stockholm,Q5930919
Q5936294,Halmstad,Q5936294
Q5945227,Åkerö,Q5945227
Q6045461,Leksand,Q6045461
Q6020654,Luleå,Q6020654
Q5820161,Björstorp,Q5820161
