wiki_id,start,end,party,party_id
Q115198538,2022-11-14,,Socialdemokraterna,Q105112
Q115564925,2023-01-16,,Moderaterna,Q110843
Q116141921,2023-01-09,,Vänsterpartiet,Q110837
Q116149882,1982-10-04,1983-04-10,Vänsterpartiet,Q110837
Q116149882,1985-02-25,1985-06-20,Vänsterpartiet,Q110837
Q116256367,2023-01-18,,Sverigedemokraterna,Q504069
Q116482970,2023-01-30,,Moderaterna,Q110843
Q116866668,2022-03-20,,Centerpartiet,Q110832
Q116996454,2023-03-06,,Socialdemokraterna,Q105112
Q117309775,1983-10-11,1983-11-11,Vänsterpartiet,Q110837
Q12006677,2011-11-23,2012-05-01,Socialdemokraterna,Q105112
Q12006677,2013-08-15,2014-02-15,Socialdemokraterna,Q105112
Q1346478,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q1346478,1974-01-10,1976-05-02,Socialdemokraterna,Q105112
Q1346478,1976-06-05,1976-10-04,Socialdemokraterna,Q105112
Q1346478,1976-10-04,1979-05-08,Socialdemokraterna,Q105112
Q1346478,1979-06-10,1979-10-01,Socialdemokraterna,Q105112
Q1346478,1979-10-01,1980-04-22,Socialdemokraterna,Q105112
Q1346478,1980-06-12,1981-04-30,Socialdemokraterna,Q105112
Q1346478,1981-06-11,1982-02-28,Socialdemokraterna,Q105112
Q1346478,1982-10-04,1982-10-08,Socialdemokraterna,Q105112
Q1346478,1985-09-30,1985-09-30,Socialdemokraterna,Q105112
Q1346478,1988-10-03,1988-10-03,Socialdemokraterna,Q105112
Q1346478,1991-10-05,1993-04-30,Socialdemokraterna,Q105112
Q1346478,1993-06-01,1994-10-03,Socialdemokraterna,Q105112
Q1347731,1971-01-11,1974-01-10,Liberalerna,Q110857
Q1347731,1974-01-10,1976-10-04,Liberalerna,Q110857
Q1347731,1976-10-04,1976-10-10,Liberalerna,Q110857
Q1357206,1982-10-04,1985-09-30,Moderaterna,Q110843
Q1357206,1985-09-30,1988-10-03,Moderaterna,Q110843
Q1357206,1988-10-03,1991-09-30,Moderaterna,Q110843
Q1357206,1991-09-30,1994-10-03,Moderaterna,Q110843
Q1357206,1994-10-03,1998-10-05,Moderaterna,Q110843
Q1357206,1998-10-05,2002-09-30,Moderaterna,Q110843
Q1357206,2002-09-30,2004-07-19,Moderaterna,Q110843
Q1375199,1977-03-01,1977-04-15,Moderaterna,Q110843
Q1375199,1978-04-20,1978-05-23,Moderaterna,Q110843
Q1375199,1978-11-14,1978-12-15,Moderaterna,Q110843
Q1375199,1979-10-01,1982-10-04,Moderaterna,Q110843
Q1375199,1982-10-04,1985-09-30,Moderaterna,Q110843
Q1375199,1985-09-30,1988-10-03,Moderaterna,Q110843
Q1375199,1988-10-03,1991-09-30,Moderaterna,Q110843
Q1375199,1991-09-30,1991-10-04,Moderaterna,Q110843
Q1375199,1994-10-08,1998-10-05,Moderaterna,Q110843
Q1375199,1998-10-05,2002-09-30,Moderaterna,Q110843
Q1375199,2002-09-30,2006-10-02,Moderaterna,Q110843
Q1375199,2006-10-02,2006-10-02,Moderaterna,Q110843
Q1375199,2010-10-04,2010-10-04,Moderaterna,Q110843
Q1375199,2014-09-29,2014-12-30,Moderaterna,Q110843
Q15695147,2022-09-26,2022-10-11,Moderaterna,Q110843
Q15713809,2011-03-07,2014-09-29,Moderaterna,Q110843
Q1581082,2006-10-02,2010-10-04,Vänsterpartiet,Q110837
Q1581082,2010-10-04,2014-09-29,Vänsterpartiet,Q110837
Q1581082,2014-09-29,2017-06-07,Vänsterpartiet,Q110837
Q1593545,2006-10-02,2010-10-04,Moderaterna,Q110843
Q1593545,2010-10-04,2014-09-29,Moderaterna,Q110843
Q1593545,2014-09-29,2018-09-24,Moderaterna,Q110843
Q15963975,2013-05-02,2013-08-25,Sverigedemokraterna,Q504069
Q15963975,2014-09-29,2018-09-24,Sverigedemokraterna,Q504069
Q15963975,2018-09-24,2022-09-26,Sverigedemokraterna,Q504069
Q15963975,2022-09-26,,Sverigedemokraterna,Q504069
Q15992158,2014-09-29,2018-09-24,Sverigedemokraterna,Q504069
Q1606431,1971-01-11,1974-01-10,Socialdemokraterna,Q105112
Q1606431,1974-01-10,1974-02-15,Socialdemokraterna,Q105112
Q1606431,1976-10-04,1976-10-04,Socialdemokraterna,Q105112
Q16160202,2022-09-26,2022-09-26,Socialdemokraterna,Q105112
Q16162546,2014-09-29,2016-10-18,Sverigedemokraterna,Q504069
Q16162546,2016-12-24,2018-09-24,Sverigedemokraterna,Q504069
Q16162546,2018-09-24,2020-02-28,Sverigedemokraterna,Q504069
Q16165736,1971-01-11,1974-01-10,Centerpartiet,Q110832
Q16165736,1974-01-10,1976-10-04,Centerpartiet,Q110832
Q16165736,1976-10-04,1979-10-01,Centerpartiet,Q110832
Q16165736,1979-10-01,1982-10-04,Centerpartiet,Q110832
Q16165736,1982-10-04,1983-12-31,Centerpartiet,Q110832
Q16165736,1984-03-01,1985-09-30,Centerpartiet,Q110832
Q16165736,1985-09-30,1986-11-10,Centerpartiet,Q110832
Q16165736,1986-12-14,1988-10-03,Centerpartiet,Q110832
