wiki_id,start,end,district,role,party,source,chamber,government,born,dead,gender,riksdagen_id,location,name,primary_name,party_abbrev,person_id
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,gustaf sparre,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,gustaf sparre,True,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1891-01-01,1895-12-31,,vice talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,gustaf sparre,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,gustaf sparre,True,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almenäs,sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,gustaf sparre,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,gustaf sparre,True,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Almnäs,sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,gustaf sparre,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,gustaf sparre,True,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Mariedal,sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,gustaf sparre,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,gustaf sparre,True,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,nils gustaf alexander sparre af söfdeborg,False,,Q5359581
Q5359581,1896-01-01,1908-12-31,,talman,,speaker,1,,1834-05-31,1914-09-04,man,,Stockholm,sparre af söfdeborg,False,,Q5359581
