Location, Year
Kungälvs, 1985
Ljung, 1985
Malmö, 1985
Värmdö, 1985
Alfredshem, 1943
Alingsås, 1943
Alsen, 1943
Bakeröd, 1943
Bogla, 1943
Dahl, 1943
Degerfors, 1943
Doverstorp, 1943
Eskilstuna, 1943
Falkenberg, 1943
Falla, 1943
Fjäle, 1943
Frägsta, 1943
Frändesta, 1943
Gisselås, 1943
Grönvik, 1943
Gävle, 1943
Göingegården, 1943
Göteborg, 1943
Haverö, 1943
Hedensbyn, 1943
Hällbacken, 1943
Hällefors, 1943
Hälsingborg, 1943
Igelboda, 1943
Kalix, 1943
Karlstad, 1943
Kastanjegården, 1943
Kastlösa, 1943
Kinna, 1943
Kristinehamn, 1943
Kullenbergstorp, 1943
Landskrona, 1943
Lekåsa, 1943
Ljungskile, 1943
Luleå, 1943
Löbbo, 1943
Malmö, 1943
Mellerud, 1943
Mölndal, 1943
Norrby, 1943
Norregård, 1943
Norrlångträsk, 1943
Ovanmyra, 1943
Prästbol, 1943
Rosta, 1943
Rubbestad, 1943
Rådom, 1943
Sandby, 1943
Skediga, 1943
Skedsbygd, 1943
Skövde, 1943
Spånstad, 1943
Steneberg, 1943
Stockholm, 1943
Södergård, 1943
Sörsjön, 1943
Tidaholm, 1943
Torp, 1943
Tungelsta, 1943
Umeå, 1943
Uppsala, 1943
Vigelsbo, 1943
Vikmanshyttan, 1943
Vimmerby, 1943
Vännäsby, 1943
Västerås, 1943
Växjö, 1943
Åtvidaberg, 1943
Öckerö, 1943
Östersund, 1943
Arlöv, 1976
Arvika, 1976
Edane, 1976
Göteborg, 1976
Heby, 1976
Heden, 1976
Hjärtum, 1976
Hofors, 1976
Hultsfred, 1976
Husum, 1976
Hållsta, 1976
Järfälla, 1976
Kramfors, 1976
Ljung, 1976
Lund, 1976
Lycksele, 1976
Malmö, 1976
Malung, 1976
Motala, 1976
Nacka, 1976
Norge, 1976
Norrköping, 1976
Nässjö, 1976
Skara, 1976
Skärstad, 1976
Stockholm, 1976
Sösdala, 1976
Täby, 1976
Uddevalla, 1976
Uppsala, 1976
Visby, 1976
Zaire, 1976
Örebro, 1976
Östersund, 1976
Borlänge, 1974
Borås, 1974
Mora, 1974
Trollhättan, 1974
Tyresö, 1974
Kastanjegården, 1948
Norregård, 1948
Skedsbygd, 1948
Stockholm, 1948
Antnäs, 1934
Blädinge, 1934
Boxholm, 1934
Bramstorp, 1934
Bro, 1934
Broaryd, 1934
Dahl, 1934
Digernäs, 1934
Dunker, 1934
Eskilstuna, 1934
Falkenberg, 1934
Falla, 1934
Falun, 1934
Fritorp, 1934
Gahns, 1934
Golvvasta, 1934
Grimbo, 1934
Grytterud, 1934
Grängesberg, 1934
Grängseberg, 1934
Grönvik, 1934
Gävle, 1934
Göteborg, 1934
Hallagården, 1934
Hultsfred, 1934
