swerik_id;surname;first_name;iort
i-MsTWNfk2y9tBwJNXWxrzWR;Andersson;E Gustaf;Eskilstuna
i-MsTWNfk2y9tBwJNXWxrzWR;Andersson;E Gustaf;Nyköping
i-57VtU3DUgS6ebh11mtUQes;Andersson;Gustaf H;Rasjön
i-57VtU3DUgS6ebh11mtUQes;Andersson;Gustaf H;Falun
i-Ww8VV8hxCYiEXY5qDTZs5Z;Andersson;Gustav E;Södergården
i-Ww8VV8hxCYiEXY5qDTZs5Z;Andersson;Gustav E;Löbbo
i-BbiLJyQjTgGoxdGRDLvnDo;Andersson;E Gösta;Luleå
i-G3LJegyEUATYSx1EYywRfd;Andersson;H Gösta;Kolstad
i-PJ95RBBNwg7dza9xBXoQMV;Andersson;Gösta L;Mölndal
i-CDR3CxvefYeeomKACi2qKN;Andersson;Hans;Bringåsen
i-DaGNzDugnyRMkYYfAo2AZy;Andersson;Hans;Västra Nöbbelöv
i-DaGNzDugnyRMkYYfAo2AZy;Andersson;Hans;Skivarp
i-AsKctAWx6ZcmMUPi7YHKuw;Andersson;C O Harald;Dunker
i-8jhSvbLs5Xp6gskAn1e2qR;Andersson;Henrik;Boda
i-5c9mfR236xt4zVBBWJTpNn;Andersson;Herman T;Grimbo
i-Xq1ek9t1ap72cEWhNzJAtr;Andersson;G Ingemar;Linköping
i-Kt5jXNgPHrNXaZpEyBixrL;Andersson;O Ingvar;Skurup
i-TEXdMFr5R5hvaQAhJoGaid;Andersson;Ivar;Fredriksberg
i-KNV1hybYvNRYW3UQKiyrP8;Andersson;Jan;Jönvik
i-PCcpfQ2aH6sUUsvz9gDFxo;Andersson;Johan;Altofta
i-8aihZN7cw4opEHkSafGqrr;Andersson;Johan;Raklösen
i-xndsKG7q4nTaU7AV5iyuf;Andersson;Johan;Stärte
i-XnS7fqeXfiQQG94B2iCtBm;Andersson;A Johan;Gävle
i-AAGtAmKub2DD5pa6CPqaxW;Andersson;L Johan;Sjöberg
i-Ru4m7PwPngedWP65bhXJgu;Andersson;N Johan;Baggböle
i-EUAjUsDS5Ei6t11ZAdx9dV;Andersson;Johannes;Baltorp
i-QMTFCSUSN2Q2UCGk1ku63M;Andersson;Johannes;Grude
i-NUhYXK95cGgsUQKDX1AbRY;Andersson;Johannes;Knarrevik
i-MrkPkjQgtHMzFsjcTe6mh9;Andersson;Johannes;Lysvik
i-H4GvhyePmFmPxED8c5StVx;Andersson;Johannes;Ryssby
i-Pkno8c8jnQPNmPbEpJZYaQ;Andersson;K John B;Alfredshem
i-XCDrG8sm2g5BfsBE2XuVXB;Andersson;Jonas;Hedsta
i-UufiS2i98AwXQtnsgsgAjQ;Andersson;Jonas;Hoberg
i-D1LmR9xTHCTZDEgatPAWW2;Andersson;Jonas;Häckenäs
i-Gdqu4mLmf7kpjnNy3obPZy;Andersson;Jonas;Varpnäs
i-DUV7vwAqp6nrUh7BWLFiKm;Andersson;Jonas;Ölsund
i-8nZWeqDZ1EQukJx25JyrWc;Andersson;Jones Erik;Ovanmyra
i-52bSM4tiSqWkoUtHhzwXPv;Andersson;Jöns;Fränninge
i-HhawACVG6q8u5qJ9brg5nM;Andersson;Jöns;Örstorp
i-AM9FiHBfEfHmx9V5MLBTSB;Andersson;Karl A;Björkäng
i-AM9FiHBfEfHmx9V5MLBTSB;Andersson;Karl A;Lindesberg
i-J2XMMheFYn2HnPhL5mPhfx;Andersson;Karl A;Fiskebäckskil
i-J2XMMheFYn2HnPhL5mPhfx;Andersson;Karl A;Stockholm
i-J2XMMheFYn2HnPhL5mPhfx;Andersson;Karl A;Stocksund
i-J2XMMheFYn2HnPhL5mPhfx;Andersson;Karl A;Djursholm
i-Fm5wCs4qyiLgbEJmwnvC5K;Andersson;Karl E;Eliantorp
i-QKqEEq3em3nEHAn7AXK6rz;Andersson;Karl H;Rixö
i-NzZ2Ac6u7JyPToGuko7BuS;Andersson;Karl T;Katrineholm
i-63YisRvQLe9EokAsFsa8Zt;Andersson;Karl-Gustav;Storfors
i-WsSYRNyvrHGqpbtNPRGG1m;Andersson;Karl Magnus;Milsmaden
i-8yrd8fXpNiYeshuJ9CBor8;Andersson;Lars;Nora
i-JJCPJnwfJuBRGkbg2TgEs2;Andersson;Lars D;Utterud
i-4pbAgoLV1BB3FE92CBZsfH;Andersson;Lars E;Hedensbyn
i-FbsJjajC2NS2vEr6XTq5ft;Andersson;Lars P;Halmstad
i-DMh3exABdyie4FuycG7Nae;Andersson;Lennart F H;Södertälje
i-DkwxHBjUQFnnMjSrmuYw9H;Andersson;O Linus;Lindome
i-DS8CrcdMywGfGy5nhRKmEd;Andersson;Magnus;Gripenberg
i-W4CQQjfFa1XC2imjwztLq7;Andersson;Magnus;Lövhult
i-N6Keb2NhChtqLkNGdsJVHC;Andersson;Magnus;Stigen
i-NkVGh5tNcR8q8HeUHVc5qM;Andersson;C W Martin;Igelboda
i-ARPckKnLjiLq7mJ1r6Psod;Andersson;Nils;Bävik
i-ARPckKnLjiLq7mJ1r6Psod;Andersson;Nils;Prästbol
i-THw9pKzV2yEXewVmJfXFkS;Andersson;Nils;Pettersborg
i-77xsVL4yRqtqFFbpBtKz2Y;Andersson;Nils;Öllsjö gård
i-PPkBrVcWDXzrNGbQM8yTDH;Andersson;Nils A;Östersund
i-3h4JLudD4ghwrTDYsHbDm4;Andersson;Ola;Nordanå
i-3h4JLudD4ghwrTDYsHbDm4;Andersson;Ola;Burlöv
i-3h4JLudD4ghwrTDYsHbDm4;Andersson;Ola;Malmö
i-T9ebxLt4zxBYuV5MRmidj2;Andersson;Olof;Höör
