wiki_id;surname_iort;first_name;born;references
Q6219889;Unger i Henriksholm; Adolf F;1838-04-30; 4:278
Q6219947;Unger i Nor; Jonas B;1834-02-05; 4:447
Q6219963;Unger i Nora; E Magnus;1832-11-26; 4:519
Q6220222;Uppström i Härnösand; Carl-David T;1846-08-05; 5:263
Q6220738;Utbult i Öckerö; K Birger;1884-10-06; 4:165
Q6215672;Wachtmeister af Johannishus i Trolle-Ljungby; Axel K;1812-03-13; 3:154
Q6228048;Wachtmeister af Johannishus i Johannishus senare Västeråkra; Hugo H:son;1867-04-24; 3:83
Q6228302;Waern i Gävle; Lennart M;1812-10-09; 5:177
Q6228578;Wahl i Stockholm; Gustaf A;1878; 1:184
Q6229126;Wahlund i Stockholm senare Uppsala; Sten G W;1901; 1:336, 4:355
Q6229360;Walberg i Alingsås; S Peter;1826-09-24; 4:279
Q6230047;Wall i Rottneros; G Adolf;1821-06-23; 4:447
Q6230364;Wallbom i Fredriksberg; Carl F;1849-05-05; 1:460
Q6230443;Wallén i Nyebro; A M Gullick;1805-08-08; 2:405
Q6230500;Wallén i Sånga-Säby; Otto A;1885-11-27; 1:272
Q4990136;Wallentheim i Nacka senare Tyresö o Stockholm; Annie E E;1902-04-02; 1:273
Q4990153;Wallin i Skutskär; Eivor L;1904-10-16; 1:337
Q6231399;Wallmark i Södertälje; Gunnar S;1917-05-22; 1:274
Q6338311;Walter i Mörsil; Olof;1851-08-02; 5:314
Q6232151;Wangson i Göteborg; Otto R;1893-05-09; 4:168
Q6232158;Wanhainen i Erkheikki; Y Lennart;1914-03-23; 5:444
Q4992875;Warburg i Stockholm; Karl J;1852-11-23; 1:187
Q6233448;Wawrinsky i Saltsjöbaden; Richard A;1852-01-15; 1:275
Q6233956;Weckman i Kila; J Adolf;1840-01-21; 1:400
Q6233985;Wedberg i Eskilstuna senare Stockholm; Jacob W;1827-10-17; 1:401
Q6234071;Wedin i Borgenhill; Aron Julius;1876-07-01; 5:315
Q1360952;von Vegesack i Visby; Ernst M P;1820-06-18; 2:348
Q6234316;Wehtje i Malmö; Ernst J;1891-07-17; 3:286
Q6338918;Weiland i Nässjö; K Hjalmar T;1887-07-22; 2:189
Q6234611;Weinberg i Stora Levene; August F;1848-11-06; 4:357
Q6236316;Werbro i Halmstad; Wiking E;1913-06-08; 2:405
Q105115301;Werner i Stockholm; C P B Feodor;1836-02-29; 1:189
Q6236669;Werner i Höjen; Oscar E;1889-02-02; 4:448
Q6237369;Westblad i Husby; Lars Erik;1811-02-08; 1:338 A:son,  3:83
Q6237468;Wester i Ängelholm; Wilhelm R;1830-04-26; 2:405,  3:155
Q6237552;Westerberg i Göteborg; Johan August;1836-10-28; 4:168
Q6237483;Westerberg i Falköping; A Peter;1828-11-30; 4:358
Q6238287;Westman i Växjö; Adolph P;1809-07-21; 2:243
Q6240086;Widén i Östersund; A Martin;1902-08-21; 5:316
Q6240391;Widner i Kolsva; Gustafv;1893-10-14; 1:460
Q6240442;Widström i Stockholm; C Ulric;1833-06-19; 1:190
Q6240742;Wigarth i Byarum; Axel W;1819; 2:190
Q6240968;Wijk i Göteborg; Hjalmar;1877-03-10; 4:172
Q6241092;Wijkmark i Torp; Knut;1849-10-14; 4:358
Q6241165;Wikberg i Gåxsjö; J Axel;1918-06-16; 5:317
Q6241396;Wiklund i Öjebyn; Olof W;1902-04-12; 5:445
Q6241339;Wiklund i Ulvsunda; E Olof;1885-01-15; 1:191
Q6241475;Wikstén i Öjebyn; Johan Eric;1848-07-28; 5:446
Q94645211;Wikström i Karlskrona; Helmer L;1898; 3:84
Q6241615;Wikström i Torp; Johan Magnus;1818-05-05; 4:174
Q6241664;Wikström i Sundsvall; Olof;1826-11-15; 5:267
Q6243024;Williamson i Järlövsgård; T Archibald;1838-02-25; 2:406
Q6225637;Winborg i Åna; R Abel;1835-09-17; 4:359
Q6243918;Winborg i Stockholm; J Theodor;1832-02-04; 1:192
Q6243983;Windahl i Falun; Gustaf J;1860-12-28; 5:99
Q6244387;Winkrans i Göteborg; Carl Fredrik;1826-07-06; 4:174
Q6248294;Wästfelt i Umeå senare Stockholm; Axel G;1821-04-07; 5:380
Q6250579;Zachrison i Vänersborg; J Mats G;1841-05-24; 4:282
Q6252124;Zetterberg i Spånga senare Stockholm; K Åke H;1908-08-30; 1:194
Q6254167;von Zweigbergk i Stockholm; Otto F;1863-05-23; 3:156
Q6254790;Ågren i Malung; Johan Ö;1910-08-26; 5:99
Q6254949;Åhman i Storbol; F Hjalmar;1892-12-03; 1:278
Q6255044;Åkerberg i Värö; C Fredrik O;1837-12-15; 2:406
Q6255102;Åkerblom i Göteborg; Fredrik;1839-06-09; 4:176
Q104889258;Åkerhielm af Margretelund i Landskrona; B C Alexander B;1830-07-07; 3:292
Q6255141;Åkerhielm af Margretelund i Örebro; J Carl;1807-07-21; 4:522
Q4830390;Örbom i Stockholm; C G Axel;1836-07-29; 1:197
Q208591;Lindh i Uppsala, senare Grillby; Y Anna M;1957-06-19; 1:224
Q26211952;Persson i Bromma; E Margareta;1950-12-28; 1:101
