date,type,swerik_id
1871-04-17,END,i-MzbTf7mmhN8rbHKxerPa4n
1908-04-12,END,i-YSW8Kg6NVNWR81nXxwY7Pw
1922-01-07,START,i-Y3KDvt8APMXFLxTKEtZKku
1937-11-27,END,i-3D7Cfk47LUcjbeGff3k8fV
1920-10-11,END,i-SSfsoXw9GLxGZJpSxs9qgb
1920-12-12,END,i-UhB1gDKkgGxWyzaT1HmDUZ
1927-10-21,END,i-5hYyedyScwSwawm74j5rdZ
1954-07-02,END,i-4EKvBce4QrJSEUT16a1JxT
1948-05-29,END,i-QeGwUQTQLjJkCPXi6rv7E7
1956-01-21,END,i-f4u5Yi8ZSYc6qWukd6X6t
1881-04-09,END,i-TdDp8Rr8zkiE5zKKR8Ty37
1943-11-18,START,i-RMxSbAQFAxcJ8ziatxo1eY
1948-05-01,END,i-RMxSbAQFAxcJ8ziatxo1eY
1951-04-20,END,i-5s7YXBTShAS1URa4H7hvPB
1919-01-18,END,i-BmmCknnFJ7aPP89K4ZvaFq
1898-06-22,END,i-MyRyxBwYYjFVeCgKEEPeNf
1928-03-05,START,i-D6FoJiygfdxtz5puDj2NkN
1928-12-31,END,i-D6FoJiygfdxtz5puDj2NkN
1898-04-22,END,i-G9cByTDJLkqh3qYPdKEbAV
1950-06-19,END,i-1vkisNNG3HdqJbKySSxUp
