wiki_id,author,date,subject,title,url
Q107065593,http://www.wikidata.org/entity/Q30035697,2021-05-20,vindkraft,Buller från vindkraftverk,http://data.riksdagen.se/dokumentstatus/H810752
Q107065593,http://www.wikidata.org/entity/Q30035697,2021-05-20,vindkraft,Buller från vindkraftverk,http://data.riksdagen.se/fil/7CBE3252-FA5F-4C98-8CC8-2F9ADB30F562
Q107065601,http://www.wikidata.org/entity/Q70592245,2021-05-18,mervärdesskatt,Importmoms och inlåsningseffekt,http://data.riksdagen.se/dokument/H810741
Q107065601,http://www.wikidata.org/entity/Q70592245,2021-05-18,mervärdesskatt,Importmoms och inlåsningseffekt,http://data.riksdagen.se/dokumentstatus/H810741
Q107065601,http://www.wikidata.org/entity/Q70592245,2021-05-18,mervärdesskatt,Importmoms och inlåsningseffekt,http://data.riksdagen.se/fil/E58C4053-4B75-4DE9-A6FA-F658C44725DE
Q107065605,http://www.wikidata.org/entity/Q4766168,2021-05-17,bensinstation,Bensinmackarnas överlevnad i landet,http://data.riksdagen.se/dokument/H810737
Q107065605,http://www.wikidata.org/entity/Q4766168,2021-05-17,bensinstation,Bensinmackarnas överlevnad i landet,http://data.riksdagen.se/dokumentstatus/H810737
Q107065605,http://www.wikidata.org/entity/Q4766168,2021-05-17,bensinstation,Bensinmackarnas överlevnad i landet,http://data.riksdagen.se/fil/0C8BDA14-A5BC-4121-9D3D-76D63BA0DA14
Q107065609,http://www.wikidata.org/entity/Q19977128,2021-05-17,trafiksäkerhet,Åtgärder för ökad trafiksäkerhet för jakthundar,http://data.riksdagen.se/dokument/H810734
Q107065609,http://www.wikidata.org/entity/Q19977128,2021-05-17,trafiksäkerhet,Åtgärder för ökad trafiksäkerhet för jakthundar,http://data.riksdagen.se/dokumentstatus/H810734
Q107065609,http://www.wikidata.org/entity/Q19977128,2021-05-17,trafiksäkerhet,Åtgärder för ökad trafiksäkerhet för jakthundar,http://data.riksdagen.se/fil/E8F5A634-C942-4437-8C5B-E803F5A4297B
Q107065610,http://www.wikidata.org/entity/Q30035697,2021-05-17,vindkraft,Vindkraftens påverkan på djurlivet,http://data.riksdagen.se/dokument/H810733
Q107065610,http://www.wikidata.org/entity/Q30035697,2021-05-17,vindkraft,Vindkraftens påverkan på djurlivet,http://data.riksdagen.se/dokumentstatus/H810733
Q107065610,http://www.wikidata.org/entity/Q30035697,2021-05-17,vindkraft,Vindkraftens påverkan på djurlivet,http://data.riksdagen.se/fil/64E7CA51-F17B-4BE3-9B8C-BAC65D70623A
Q107065625,http://www.wikidata.org/entity/Q30035697,2021-05-11,vindkraft,Vindkraft och spridning av mikroplaster,http://data.riksdagen.se/dokument/H810718
Q107065625,http://www.wikidata.org/entity/Q30035697,2021-05-11,vindkraft,Vindkraft och spridning av mikroplaster,http://data.riksdagen.se/dokumentstatus/H810718
Q107065625,http://www.wikidata.org/entity/Q30035697,2021-05-11,vindkraft,Vindkraft och spridning av mikroplaster,http://data.riksdagen.se/fil/492C69E4-7C29-4CCE-90DC-3CA5FB3C5CC2
Q107065628,http://www.wikidata.org/entity/Q5596130,2021-05-11,Boverket,Boverkets hantering av lagen om bostadsanpassningsbidrag,http://data.riksdagen.se/dokument/H810717
Q107065628,http://www.wikidata.org/entity/Q5596130,2021-05-11,Boverket,Boverkets hantering av lagen om bostadsanpassningsbidrag,http://data.riksdagen.se/dokumentstatus/H810717
Q107065628,http://www.wikidata.org/entity/Q5596130,2021-05-11,Boverket,Boverkets hantering av lagen om bostadsanpassningsbidrag,http://data.riksdagen.se/fil/79133F8B-B495-47F9-847E-24C47C5EA765
Q107065650,http://www.wikidata.org/entity/Q5572155,2021-04-29,Naturvårdsverket,Naturvårdsverkets implementering av vapendirektivet,http://data.riksdagen.se/dokument/H810694
Q107065650,http://www.wikidata.org/entity/Q5572155,2021-04-29,Naturvårdsverket,Naturvårdsverkets implementering av vapendirektivet,http://data.riksdagen.se/dokumentstatus/H810694
Q107065650,http://www.wikidata.org/entity/Q5572155,2021-04-29,Naturvårdsverket,Naturvårdsverkets implementering av vapendirektivet,http://data.riksdagen.se/fil/8BEC24B9-95D6-4661-8F68-441262F95179
Q107065660,http://www.wikidata.org/entity/Q4724776,2021-04-28,Arbetsförmedlingen,Reformeringen av Arbetsförmedlingen,http://data.riksdagen.se/dokument/H810687
