,name,title,start,end,id,specifier
273,Pierre Schori,Biståndsminister,1994-10-07,1996-03-22,pierre_schori_minister_1994,
274,Mats Hellström,Europa- och utrikeshandelsministersamt minister för nordiskt samarbete,1994-10-07,1996-03-22,mats_hellström_minister_1994,
275,Thage G Peterson,Försvarsminister,1994-10-07,1996-03-22,thage_g_peterson_minister_1994,
276,Ingela Thalén,Socialminister,1994-10-07,1996-03-22,ingela_thalén_minister_1994,
277,Anna Hedborg,Sjukförsäkringsminister,1994-10-07,1996-03-22,anna_hedborg_minister_1994,
278,Göran Persson,Finansminister,1994-10-07,1996-03-22,göran_persson_minister_1994,
279,Carl Tham,Utbildningsminister,1994-10-07,1996-03-22,carl_tham_minister_1994,
280,Ylva Johansson,Skolminister,1994-10-07,1996-03-22,ylva_johansson_minister_1994,
281,Margareta Winberg,Jordbruksminister,1994-10-07,1996-03-22,margareta_winberg_minister_1994,
282,Anna Lindh,Miljöminister,1994-10-07,1996-03-22,anna_lindh_minister_1994,
283,Sten Heckscher,Näringsminister,1994-10-07,1996-02-05,sten_heckscher_minister_1994,
284,Jörgen Andersson,Näringsminister,1996-02-05,1996-03-22,jörgen_andersson_minister_1996,
285,Jörgen Andersson,Bostads- och energiminister,1994-10-07,1996-03-22,jörgen_andersson_minister_1994,
286,Margot Wallström,Kulturminister,1994-10-07,1996-03-22,margot_wallström_minister_1994,
287,Anders Sundström,Arbetsmarknadsminister,1994-10-07,1996-03-22,anders_sundström_minister_1994,
288,Leif Blomberg,Invandrar- och arbetsrättsminister,1994-10-07,1996-03-22,leif_blomberg_minister_1994,
289,Ines Uusmann,Kommunikationsminister,1994-10-07,1996-03-22,ines_uusmann_minister_1994,
290,Marita Ulvskog,Civil- kyrko- idrotts- jämställdhets- ungdoms- och konsumentminister,1994-10-07,1996-03-22,marita_ulvskog_minister_1994,
291,Carl Bildt,Statsminister,1991-10-04,1994-10-07,carl_bildt_minister_1991,
292,Gun Hellsvik,Justitieminister,1991-10-04,1994-10-07,gun_hellsvik_minister_1991,
293,Reidunn Laurén,Biträdande justitieminister,1991-10-04,1994-10-07,reidunn_laurén_minister_1991,
294,Margaretha af Ugglas,Utrikesminister,1991-10-04,1994-10-07,margaretha_af_ugglas_minister_1991,
295,Alf Svensson,Biståndsminister,1991-10-04,1994-10-07,alf_svensson_minister_1991,
296,Ulf Dinkelspiel,Europa- och utrikeshandelsminister,1991-10-04,1994-10-07,ulf_dinkelspiel_minister_1991,
297,Anders Björck,Försvarsminister,1991-10-04,1994-10-02,anders_björck_minister_1991,
298,Per Unckel,Försvarsminister,1994-10-03,1994-10-07,per_unckel_minister_1994,
299,Bengt Westerberg,Socialminister och vice statsminister,1991-10-04,1994-10-07,bengt_westerberg_minister_1991,
300,Bengt Westerberg,Jämställdhetsminister,1993-08-24,1994-10-07,bengt_westerberg_minister_1993,
301,Bo Könberg,Sjukvårds- och socialförsäkringsminister,1991-10-04,1994-10-07,bo_könberg_minister_1991,
302,Mats Odell,Kommunikationsminister,1991-10-04,1994-10-07,mats_odell_minister_1991,
303,Anne Wibble,Finansminister,1991-10-04,1994-10-07,anne_wibble_minister_1991,
304,Bo Lundgren,Skatte- och idrottsminister,1991-10-04,1994-10-07,bo_lundgren_minister_1991,
305,Per Unckel,Utbildningsminister,1991-10-04,1994-10-07,per_unckel_minister_1991,
306,Beatrice Ask,Skolminister,1991-10-04,1994-10-07,beatrice_ask_minister_1991,
307,Karl Erik Olsson,Jordbruksminister,1991-10-04,1994-10-07,karl_erik_olsson_minister_1991,
308,Börje Hörnlund,Arbetsmarknadsminister,1991-10-04,1994-10-07,börje_hörnlund_minister_1991,
309,Börje Hörnlund,Minister för nordiskt samarbete,1994-06-16,1994-10-07,börje_hörnlund_minister_1994,
310,Per Westerberg,Industri- och energiminister,1991-10-04,1991-10-21,per_westerberg_minister_1991,
311,Per Westerberg,Närings- och energiminister,1991-10-21,1994-10-07,per_westerberg_minister_1991,
312,Inger Davidson,Civil- konsument- kyrko- och ungdomsminister,1991-10-04,1994-10-07,inger_davidson_minister_1991,
313,Olof Johansson,Miljöminister,1991-10-04,1994-06-16,olof_johansson_minister_1991,
314,Görel Thurdin,Miljöminister,1994-06-16,1994-10-03,görel_thurdin_minister_1994,
315,Karl Erik Olsson,Miljöminister,1994-10-03,1994-10-07,karl_erik_olsson_minister_1994,
316,Görel Thurdin,Planminister,1991-10-04,1994-06-16,görel_thurdin_minister_1991,
317,Olof Johansson,Minister för nordiskt samarbete,1991-10-04,1994-06-16,olof_johansson_minister_1991,
318,Birgit Friggebo,Bostadsminister,1991-10-04,1991-11-30,birgit_friggebo_minister_1991,
319,Birgit Friggebo,Kultur- och invandrarminister,1991-12-01,1994-10-07,birgit_friggebo_minister_1991,
320,Birgit Friggebo,Jämställdhetsminister,1991-12-01,1993-08-24,birgit_friggebo_minister_1991,
321,Hjalmar Branting,Statsminister,1921-10-13,1923-04-19,hjalmar_branting_minister_1921,
322,Assar Åkerman,Justitieminister,1921-10-13,1923-04-19,assar_åkerman_minister_1921,
323,Hjalmar Branting,Utrikesminister,1921-10-13,1923-04-19,hjalmar_branting_minister_1921,
324,Per Albin Hansson,Försvarsminister,1921-10-13,1923-04-19,per_albin_hansson_minister_1921,
325,Herman Lindqvist,Socialminister,1921-10-13,1923-04-19,herman_lindqvist_minister_1921,
326,Anders Örne,Kommunikationsminister,1921-10-13,1923-04-19,anders_örne_minister_1921,
327,Fredrik Vilhelm Thorsson,Finansminister,1921-10-13,1923-04-19,fredrik_vilhelm_thorsson_minister_1921,
328,Olof Olsson,Ecklesiastikminister,1921-10-13,1923-04-19,olof_olsson_minister_1921,
329,Sven Linders,Jordbruksminister,1921-10-13,1923-04-19,sven_linders_minister_1921,
330,Carl Svensson,Handelsminister,1921-10-13,1923-04-19,carl_svensson_minister_1921,
331,Rickard Sandler,Konsultativt statsråd,1921-10-13,1923-04-19,rickard_sandler_minister_1921,
332,Torsten Nothin,Konsultativt statsråd,1921-10-13,1923-04-19,torsten_nothin_minister_1921,
333,Karl Schlyter,Konsultativt statsråd,1921-10-13,1923-04-19,karl_schlyter_minister_1921,
334,Louis De Geer,Statsminister,1920-10-27,1921-02-23,louis_de_geer_minister_1920,
335,Birger Ekeberg,Justitieminister,1920-10-27,1921-02-23,birger_ekeberg_minister_1920,
336,Herman Wrangel,Utrikesminister,1920-10-27,1921-02-23,herman_wrangel_minister_1920,
337,Carl-Gustaf Hammarskjöld,Försvarsminister,1920-10-27,1921-02-23,carl-gustaf_hammarskjöld_minister_1920,
338,Henning Elmquist,Socialminister,1920-10-27,1921-02-23,henning_elmquist_minister_1920,
339,Walter Murray,Kommunikationsminister,1920-10-27,1921-02-23,walter_murray_minister_1920,
340,Henric Tamm,Finansminister,1920-10-27,1921-02-23,henric_tamm_minister_1920,
341,Bengt Bergqvist,Ecklesiastikminister,1920-10-27,1921-02-23,bengt_bergqvist_minister_1920,
342,Nils Hansson,Jordbruksminister,1920-10-27,1921-02-23,nils_hansson_minister_1920,
343,Gösta Malm,Handelsminister,1920-10-27,1921-02-23,gösta_malm_minister_1920,
344,Knut Dahlberg,Konsultativt statsråd,1920-10-27,1921-02-23,knut_dahlberg_minister_1920,
345,Emil Mårten Ericsson,Konsultativt statsråd,1920-10-27,1921-02-23,emil_mårten_ericsson_minister_1920,
346,Ingvar Carlsson,Statsminister,1986-03-12,1990-02-27,ingvar_carlsson_minister_1986,
347,Sten Wickbom,Justitieminister,1986-03-12,1987-10-19,sten_wickbom_minister_1986,
348,Anna-Greta Leijon,Justitieminister,1987-10-19,1988-06-07,anna-greta_leijon_minister_1987,
349,Thage G Peterson,Justitieminister,1988-06-07,1988-09-30,thage_g_peterson_minister_1988,
350,Ingvar Carlsson,Justitieminister,1988-09-30,1988-10-04,ingvar_carlsson_minister_1988,
351,Laila Freivalds,Justitieminister,1988-10-04,1990-02-27,laila_freivalds_minister_1988,
352,Sten Andersson,Utrikesminister,1986-03-12,1990-02-27,sten_andersson_minister_1986,
353,Lena Hjelm-Wallén,Biståndsminister,1986-03-12,1990-02-27,lena_hjelm-wallén_minister_1986,
354,Mats Hellström,Utrikeshandelsminister,1986-03-12,1986-10-10,mats_hellström_minister_1986,
355,Anita Gradin,Utrikeshandelsminister,1986-10-10,1990-02-27,anita_gradin_minister_1986,
356,Roine Carlsson,Försvarsminister,1986-03-12,1990-02-27,roine_carlsson_minister_1986,
357,Gertrud Sigurdsen,Socialminister,1986-03-12,1989-01-29,gertrud_sigurdsen_minister_1986,
358,Sven Hulterström,Socialminister,1989-01-29,1990-01-11,sven_hulterström_minister_1989,
359,Ingela Thalén,Socialminister,1990-01-11,1990-02-27,ingela_thalén_minister_1990,
360,Bengt Lindqvist,Familje- och handikappminister,1986-03-12,1990-02-27,bengt_lindqvist_minister_1986,
361,Kjell-Olof Feldt,Finansminister,1986-03-12,1990-02-16,kjell-olof_feldt_minister_1986,
362,Odd Engström,Finansminister,1990-02-16,1990-02-27,odd_engström_minister_1990,
363,Bengt KÅ Johansson,Löne- och konsumentminister,1986-03-12,1988-10-04,bengt_kå_johansson_minister_1986,
364,Odd Engström,Budgetminister,1988-10-04,1990-02-16,odd_engström_minister_1988,
365,Lennart Bodström,Utbildningsminister,1986-03-12,1989-01-29,lennart_bodström_minister_1986,
366,Bengt Göransson,Utbildningsminister,1989-01-29,1990-02-27,bengt_göransson_minister_1989,
367,Bengt Göransson,Skolmininster,1986-03-12,1989-01-29,bengt_göransson_minister_1986,
368,Göran Persson,Skolmininster,1989-01-29,1990-02-27,göran_persson_minister_1989,
369,Bengt Göransson,Kulturminister,1986-03-12,1990-02-27,bengt_göransson_minister_1986,
370,Svante Lundkvist,Jordbruksminister,1986-03-12,1986-10-10,svante_lundkvist_minister_1986,
371,Mats Hellström,Jordbruksminister,1986-10-10,1990-02-27,mats_hellström_minister_1986,
372,Ulf Lönnqvist,Idrotts- turism- och ungdomsminister,1986-10-10,1988-10-04,ulf_lönnqvist_minister_1986,
373,Svante Lundkvist,Minister för nordiskt samarbete,1986-03-12,1986-10-10,svante_lundkvist_minister_1986,
374,Ulf Lönnqvist,Minister för nordiskt samarbete,1986-10-10,1988-10-04,ulf_lönnqvist_minister_1986,
375,Mats Hellström,Minister för nordiskt samarbete,1988-10-04,1990-02-27,mats_hellström_minister_1988,
376,Birgitta Dahl,Miljö- och energiminister,1986-03-13,1990-02-27,birgitta_dahl_minister_1986,
377,Thage G Peterson,Industriminister,1986-03-12,1988-09-30,thage_g_peterson_minister_1986,
378,Ingvar Carlsson,Industriminister,1988-09-30,1988-10-04,ingvar_carlsson_minister_1988,
379,Ivar Nordberg,Industriminister,1988-10-04,1990-01-11,ivar_nordberg_minister_1988,
380,Rune Molin,Industriminister,1990-01-11,1990-02-27,rune_molin_minister_1990,
381,Hans Gustafsson,Bostadsminister,1986-03-12,1988-10-04,hans_gustafsson_minister_1986,
382,Ulf Lönnqvist,Bostads- och idrottsminister,1988-10-04,1990-02-27,ulf_lönnqvist_minister_1988,
383,Anna-Greta Leijon,Arbetsmarknadsminister,1986-03-12,1987-10-19,anna-greta_leijon_minister_1986,
384,Ingela Thalén,Arbetsmarknadsminister,1987-10-19,1990-01-11,ingela_thalén_minister_1987,
385,Mona Sahlin,Arbetsmarknadsminister,1990-01-11,1990-02-27,mona_sahlin_minister_1990,
386,Anita Gradin,Jämställdhetsminister,1986-03-12,1986-10-10,anita_gradin_minister_1986,
387,Anna-Greta Leijon,Jämställdhetsminister,1986-10-10,1987-10-19,anna-greta_leijon_minister_1986,
388,Ingela Thalén,Jämställdhetsminister,1987-10-19,1989-01-29,ingela_thalén_minister_1987,
389,Maj-Lis Lööw,Jämställdhetsminister,1989-01-29,1990-02-27,maj-lis_lööw_minister_1989,
390,Anita Gradin,Invandrarminister,1986-03-12,1986-10-10,anita_gradin_minister_1986,
391,Georg Andersson,Invandrarminister,1986-10-10,1989-01-29,georg_andersson_minister_1986,
392,Maj-Lis Lööw,Invandrarminister,1989-01-29,1990-02-27,maj-lis_lööw_minister_1989,
393,Sven Hulterström,Kommunikationsminister,1986-03-12,1989-01-29,sven_hulterström_minister_1986,
394,Georg Andersson,Kommunikationsminister,1989-01-29,1990-02-27,georg_andersson_minister_1989,
395,Bo Holmberg,Civilminister,1986-03-12,1988-10-04,bo_holmberg_minister_1986,
396,Bengt KÅ Johansson,Civilminister,1988-10-04,1990-02-27,bengt_kå_johansson_minister_1988,
397,Bo Holmberg,Kyrkominister,1986-03-12,1988-10-04,bo_holmberg_minister_1986,
398,Margot Wallström,Kyrkominister,1988-10-04,1990-02-27,margot_wallström_minister_1988,
399,Margot Wallström,Konsument- och ungdomsminister,1988-10-04,1990-02-27,margot_wallström_minister_1988,
400,Tage Erlander,Statsminister,1957-10-31,1969-10-14,tage_erlander_minister_1957,
401,Ingvar Lindell,Justitieminister,1957-10-31,1959-12-01,ingvar_lindell_minister_1957,
402,Herman Kling,Justitieminister,1959-12-01,1969-10-14,herman_kling_minister_1959,
403,Östen Undén,Utrikesminister,1957-10-31,1962-09-20,östen_undén_minister_1957,
404,Torsten Nilsson,Utrikesminister,1962-09-20,1969-10-14,torsten_nilsson_minister_1962,
405,Sven Andersson,Försvarsminister,1957-10-31,1969-10-14,sven_andersson_minister_1957,
406,Torsten Nilsson,Socialminister,1957-10-31,1962-09-20,torsten_nilsson_minister_1957,
407,Sven Aspling,Socialminister,1962-09-20,1969-10-14,sven_aspling_minister_1962,
408,Gösta Skoglund,Kommunikationsminister,1957-10-31,1965-11-25,gösta_skoglund_minister_1957,
409,Olof Palme,Kommunikationsminister,1965-11-25,1967-09-29,olof_palme_minister_1965,
410,Svante Lundkvist,Kommunikationsminister,1967-09-29,1969-07-01,svante_lundkvist_minister_1967,
411,Bengt Norling,Kommunikationsminister,1969-07-01,1969-10-14,bengt_norling_minister_1969,
412,Gunnar Sträng,Finansminister,1957-10-31,1969-10-14,gunnar_sträng_minister_1957,
413,Ragnar Edenman,Ecklesiastikminister,1957-10-31,1967-09-29,ragnar_edenman_minister_1957,
414,Olof Palme,Utbildningsminister,1967-09-29,1969-10-14,olof_palme_minister_1967,
415,Gösta Netzén,Jordbruksminister,1957-10-31,1961-11-25,gösta_netzén_minister_1957,
416,Eric Holmqvist,Jordbruksminister,1961-11-25,1969-01-25,eric_holmqvist_minister_1961,
417,Ingemund Bengtsson,Jordbruksminister,1969-01-25,1969-10-14,ingemund_bengtsson_minister_1969,
418,Gunnar Lange,Handelsminister,1957-10-31,1969-10-14,gunnar_lange_minister_1957,
419,Rune B Johansson,Inrikesminister,1957-10-31,1969-01-25,rune_b_johansson_minister_1957,
420,Eric Holmqvist,Inrikesminister,1969-01-25,1969-10-14,eric_holmqvist_minister_1969,
421,Sigurd Lindholm,Civilminister,1957-10-31,1965-09-16,sigurd_lindholm_minister_1957,
422,Hans Gustafsson,Civilminister,1965-09-16,1969-07-01,hans_gustafsson_minister_1965,
423,Svante Lundkvist,Civilminister,1969-07-01,1969-10-14,svante_lundkvist_minister_1969,
424,Krister Wickman,Industriminister,1969-01-01,1969-10-14,krister_wickman_minister_1969,
425,Herman Kling,Juristkonsult,1957-10-31,1959-12-01,herman_kling_minister_1957,
426,Carl Henrik Nordlander,Juristkonsult,1959-12-01,1960-10-25,carl_henrik_nordlander_minister_1959,
427,Rune Hermansson,Juristkonsult,1960-10-25,1966-12-09,rune_hermansson_minister_1960,
428,Lennart Geijer,Juristkonsult,1966-12-09,1969-10-14,lennart_geijer_minister_1966,
429,Björn Kjellin,Juristkonsult,1957-10-31,1958-08-29,björn_kjellin_minister_1957,
430,Sven af Geijerstam,Juristkonsult och kyrko- och ungdomsminister,1958-08-29,1963-04-19,sven_af_geijerstam_minister_1958,
431,Olof Palme,Ungdomsminister,1963-04-19,1965-11-25,olof_palme_minister_1963,
432,Sven-Eric Nilsson,Juristkonsult,1964-04-29,1969-10-14,sven-eric_nilsson_minister_1964,
433,Ulla Lindström,Konsument- och biståndsminister,1957-10-31,1966-12-28,ulla_lindström_minister_1957,
434,Svante Lundkvist,Kommun- och landstingsminister,1965-11-25,1967-09-29,svante_lundkvist_minister_1965,
435,Alva Myrdal,Nedrustningsminister,1966-12-28,1969-10-14,alva_myrdal_minister_1966,
436,Camilla Odhnoff,Familje- och invandrarminister,1967-01-09,1969-10-14,camilla_odhnoff_minister_1967,
437,Krister Wickman,Bitr finansminister,1967-02-28,1968-12-31,krister_wickman_minister_1967,
438,Sven Moberg,Undervisningsminister,1967-09-29,1969-10-14,sven_moberg_minister_1967,
439,Bertil Löfberg,Löneminister,1969-01-25,1969-10-14,bertil_löfberg_minister_1969,
440,Rickard Sandler,Statsminister,1925-01-24,1926-06-07,rickard_sandler_minister_1925,
441,Östen Undén,Utrikesminister,1925-01-24,1926-06-07,östen_undén_minister_1925,
442,Torsten Nothin,Justitieminister,1925-01-24,1926-06-07,torsten_nothin_minister_1925,
443,Per Albin Hansson,Försvarsminister,1925-01-24,1926-06-07,per_albin_hansson_minister_1925,
444,Gustav Möller,Socialminister,1925-01-24,1926-06-07,gustav_möller_minister_1925,
445,Viktor Larsson,Kommunikationsminister,1925-01-24,1926-06-07,viktor_larsson_minister_1925,
446,Fredrik Vilhelm Thorsson,Finansminister,1925-01-24,1925-05-05,fredrik_vilhelm_thorsson_minister_1925,
447,Ernst Wigforss,Finansminister,1925-05-08,1926-06-07,ernst_wigforss_minister_1925,
448,Olof Olsson,Ecklesiastikminister,1925-01-24,1926-06-07,olof_olsson_minister_1925,
449,Sven Linders,Jordbruksminister,1925-01-24,1926-06-07,sven_linders_minister_1925,
450,Rickard Sandler,Handelsminister,1925-01-24,1925-02-27,rickard_sandler_minister_1925,
451,Carl Svensson,Handelsminister,1925-02-27,1926-06-07,carl_svensson_minister_1925,
452,Karl Levinson,Konsultativt statsråd,1925-01-24,1926-06-07,karl_levinson_minister_1925,
453,Ernst Wigforss,Konsultativt statsråd,1925-01-24,1925-05-08,ernst_wigforss_minister_1925,
454,Karl Schlyter,Konsultativt statsråd,1925-05-08,1926-06-07,karl_schlyter_minister_1925,
455,Ingvar Carlsson,Statsminister,1990-02-27,1991-10-04,ingvar_carlsson_minister_1990,
456,Odd Engström,Vice statsminister,1990-02-27,1991-10-04,odd_engström_minister_1990,
457,Laila Freivalds,Justitieminister,1990-02-27,1991-10-04,laila_freivalds_minister_1990,
458,Sten Andersson,Utrikesminister,1990-02-27,1991-10-04,sten_andersson_minister_1990,
459,Lena Hjelm-Wallén,Biståndsminister,1990-02-27,1991-10-04,lena_hjelm-wallén_minister_1990,
460,Anita Gradin,Utrikeshandelsminister,1990-02-27,1991-10-04,anita_gradin_minister_1990,
461,Roine Carlsson,Försvarsminister,1990-02-27,1991-10-04,roine_carlsson_minister_1990,
462,Ingela Thalén,Socialminister,1990-02-27,1991-10-04,ingela_thalén_minister_1990,
463,Bengt Lindqvist,Familje- och handikappminister,1990-02-27,1991-10-04,bengt_lindqvist_minister_1990,
464,Allan Larsson,Finansminister,1990-02-27,1991-10-04,allan_larsson_minister_1990,
465,Erik Åsbrink,Budgetminister,1990-02-27,1991-10-04,erik_åsbrink_minister_1990,
466,Bengt Göransson,Kultur- och utbildningsminister,1990-02-27,1991-10-04,bengt_göransson_minister_1990,
467,Göran Persson,Skolminister,1990-02-27,1991-10-04,göran_persson_minister_1990,
468,Mats Hellström,Jordbruksminister och minister för nordiskt samarbete,1990-02-27,1991-10-04,mats_hellström_minister_1990,
469,Birgitta Dahl,Miljöminister,1990-02-27,1991-10-04,birgitta_dahl_minister_1990,
470,Rune Molin,Industriminister,1990-10-27,1991-10-04,rune_molin_minister_1990,
471,Rune Molin,Energiminister,1990-02-27,1991-10-04,rune_molin_minister_1990,
472,Ulf Lönnqvist,Bostads- och idrottsminister,1990-02-27,1991-10-04,ulf_lönnqvist_minister_1990,
473,Mona Sahlin,Arbetsmarknadsminister,1990-02-27,1991-10-04,mona_sahlin_minister_1990,
474,Maj-Lis Lööw,Invandrar- och jämställdhetsminister,1990-02-27,1991-10-04,maj-lis_lööw_minister_1990,
475,Georg Andersson,Kommunikationsminister,1990-02-27,1991-10-04,georg_andersson_minister_1990,
476,Bengt K Å Johansson,Civilminister,1990-02-27,1991-10-04,bengt_k_å_johansson_minister_1990,
477,Margot Wallström,Konsument- kyrko- och ungdomsminister,1990-02-27,1991-10-04,margot_wallström_minister_1990,
478,Per Albin Hansson,Statsminister,1932-09-24,1936-06-19,per_albin_hansson_minister_1932,
479,Ernst Wigforss,Finansminister,1932-09-24,1936-06-19,ernst_wigforss_minister_1932,
480,Rickard Sandler,Utrikesminister,1932-09-24,1936-06-19,rickard_sandler_minister_1932,
481,Karl Schlyter,Justitieminister,1932-09-24,1936-06-19,karl_schlyter_minister_1932,
482,Ivar Vennerström,Försvarsminister,1932-09-24,1936-06-19,ivar_vennerström_minister_1932,
483,Gustav Möller,Socialminister,1932-09-24,1936-06-19,gustav_möller_minister_1932,
484,Henning Leo,Kommunikationsminister,1932-09-24,1936-06-19,henning_leo_minister_1932,
485,Arthur Engberg,Ecklesiastikminister,1932-09-24,1936-06-19,arthur_engberg_minister_1932,
486,Per Edvin Sköld,Jordbruksminister,1932-09-24,1936-06-19,per_edvin_sköld_minister_1932,
487,Fritjof Ekman,Handelsminister,1932-09-24,1936-06-19,fritjof_ekman_minister_1932,
488,Östen Undén,Konsultativt statsråd,1932-09-24,1936-06-19,östen_undén_minister_1932,
489,Torsten Nothin,Konsultativt statsråd,1932-09-24,1933-09-16,torsten_nothin_minister_1932,
490,Karl Levinson,Konsultativt statsråd,1933-09-16,1936-06-19,karl_levinson_minister_1933,
491,Hjalmar Branting,Statsminister,1920-03-10,1920-10-27,hjalmar_branting_minister_1920,
492,Östen Undén,Justitieminister,1920-03-10,1920-06-30,östen_undén_minister_1920,
493,Assar Åkerman,Justitieminister,1920-06-30,1920-10-27,assar_åkerman_minister_1920,
494,Erik Palmstierna,Utrikesminister,1920-03-10,1920-10-27,erik_palmstierna_minister_1920,
495,Per Albin Hansson,Krigsminister,1920-03-10,1920-07-01,per_albin_hansson_minister_1920,
496,Bernhard Eriksson,Sjöminister,1920-03-10,1920-07-01,bernhard_eriksson_minister_1920,
497,Per Albin Hansson,Försvarsminister,1920-07-01,1920-10-27,per_albin_hansson_minister_1920,
498,Bernhard Eriksson,Socialminister,1920-07-01,1920-10-27,bernhard_eriksson_minister_1920,
499,Carl Svensson,Kommunikationsminister,1920-07-01,1920-10-27,carl_svensson_minister_1920,
500,Fredrik Vilhelm Thorsson,Finansminister,1918-01-05,1920-06-30,fredrik_vilhelm_thorsson_minister_1918,
501,Rickard Sandler,Finansminister,1920-06-30,1920-10-27,rickard_sandler_minister_1920,
502,Olof Olsson,Ecklesiastikminister,1919-11-28,1920-10-27,olof_olsson_minister_1919,
503,Olof Nilsson,Jordbruksminister,1920-03-10,1920-10-27,olof_nilsson_minister_1920,
504,Fredrik Vilhelm Thorsson,Handelsminister,1920-06-30,1920-10-27,fredrik_vilhelm_thorsson_minister_1920,
505,Carl Svensson,Civilminister,1920-03-10,1920-07-01,carl_svensson_minister_1920,
506,Rickard Sandler,Konsultativa statsråd,1920-03-10,1920-06-30,rickard_sandler_minister_1920,
507,William Linder,Konsultativa statsråd,1920-06-30,1920-10-27,william_linder_minister_1920,
508,Torsten Nothin,Konsultativa statsråd,1920-03-10,1920-10-27,torsten_nothin_minister_1920,
509,Ernst Trygger,Statsminister,1923-04-19,1924-10-18,ernst_trygger_minister_1923,
510,Birger Ekeberg,Justitieminister,1923-04-19,1924-10-18,birger_ekeberg_minister_1923,
511,Carl Hederstierna,Utrikesminister,1923-04-19,1923-11-11,carl_hederstierna_minister_1923,
512,Erik Marks von Würtemberg,Utrikesminister,1923-11-11,1924-10-18,erik_marks_von_würtemberg_minister_1923,
513,Carl Malmroth,Försvarsminister,1923-04-19,1924-10-18,carl_malmroth_minister_1923,
514,Gösta Malm,Socialminister,1923-04-19,1924-10-18,gösta_malm_minister_1923,
515,Sven Lübeck,Kommunikationsminister,1923-04-19,1924-10-18,sven_lübeck_minister_1923,
516,Jacob Beskow,Finansminister,1923-04-19,1924-10-18,jacob_beskow_minister_1923,
517,Sam Clason,Ecklesiastikminister,1923-04-19,1924-10-18,sam_clason_minister_1923,
518,David Pettersson,Jordbruksminister,1923-04-19,1924-10-18,david_pettersson_minister_1923,
519,Nils Wohlin,Handelsminister,1923-04-19,1924-10-18,nils_wohlin_minister_1923,
520,Bror Hasselrot,Konsultativt statsråd,1923-04-19,1924-10-18,bror_hasselrot_minister_1923,
521,Erik Stridsberg,Konsultativt statsråd,1923-04-19,1924-10-18,erik_stridsberg_minister_1923,
522,Tage Erlander,Statsminister,1951-10-01,1957-10-31,tage_erlander_minister_1951,
523,Östen Undén,Utrikesminister,1951-10-01,1957-10-31,östen_undén_minister_1951,
524,Herman Zetterberg,Justitieminister,1951-10-01,1957-09-20,herman_zetterberg_minister_1951,
525,Ingvar Lindell,Justitieminister,1957-09-20,1957-10-31,ingvar_lindell_minister_1957,
526,Per Edvin Sköld,Finansminister,1951-10-01,1955-09-12,per_edvin_sköld_minister_1951,
527,Gunnar Sträng,Finansminister,1955-09-12,1957-10-31,gunnar_sträng_minister_1955,
528,Torsten Nilsson,Försvarsminister,1951-10-01,1957-03-22,torsten_nilsson_minister_1951,
529,Sven Andersson,Försvarsminister,1957-03-22,1957-10-31,sven_andersson_minister_1957,
530,Gunnar Sträng,Socialminister,1951-10-01,1955-09-12,gunnar_sträng_minister_1951,
531,John Ericsson,Socialminister,1955-09-12,1957-03-22,john_ericsson_minister_1955, i Kinna
532,Torsten Nilsson,Socialminister,1957-03-22,1957-10-31,torsten_nilsson_minister_1957,
533,Sven Andersson,Kommunikationsminister,1951-10-01,1957-03-22,sven_andersson_minister_1951,
534,Sture Henriksson,Kommunikationsminister,1957-03-22,1957-04-22,sture_henriksson_minister_1957,
535,Gösta Skoglund,Kommunikationsminister,1957-04-26,1957-10-31,gösta_skoglund_minister_1957,
536,Ivar Persson,Ecklesiastikminister,1951-10-01,1957-10-31,ivar_persson_minister_1951, i Skabersjö
537,Sam Norup,Jordbruksminister,1951-10-01,1957-02-01,sam_norup_minister_1951,
538,Bernhard Näsgård,Jordbruksminister,1957-02-01,1957-07-08,bernhard_näsgård_minister_1957,
539,Nils G Hansson,Jordbruksminister,1957-07-29,1957-10-31,nils_g_hansson_minister_1957,
540,John Ericsson,Handelsminister,1951-10-01,1955-09-12,john_ericsson_minister_1951, i Kinna
541,Gunnar Lange,Handelsminister,1955-09-12,1957-10-31,gunnar_lange_minister_1955,
542,Gunnar Hedlund,Inrikesminister,1951-10-01,1957-10-31,gunnar_hedlund_minister_1951,
543,John Lingman,Civilminister,1951-10-01,1954-11-29,john_lingman_minister_1951,
544,Gunnar Lange,Civilminister,1954-11-29,1955-09-12,gunnar_lange_minister_1954,
545,Sigurd Lindholm,Civilminister,1955-09-12,1957-10-31,sigurd_lindholm_minister_1955,
546,Nils Quensel,Juristkonsult,1951-10-01,1951-10-31,nils_quensel_minister_1951,
547,Ingvar Lindell,Juristkonsult,1951-11-01,1957-09-20,ingvar_lindell_minister_1951,
548,Ragnar Edenman,Juristkonsult,1957-10-01,1957-10-31,ragnar_edenman_minister_1957,
549,Gunnar Danielson,Juristkonsult,1951-10-01,1952-03-31,gunnar_danielson_minister_1951,
550,Allan Nordenstam,Juristkonsult,1952-04-01,1957-02-01,allan_nordenstam_minister_1952,
551,Herman Kling,Juristkonsult,1957-02-01,1957-10-31,herman_kling_minister_1957,
552,Dag Hammarskjöld,Utrikeshandelsminister,1951-10-01,1953-04-08,dag_hammarskjöld_minister_1951,
