name,replacer,party,district,start,end,note,chamber,id,party_abbrev,gender
Ethel Duvskog,Hans Gustafsson,Socialdemokraterna,Blekinge län,1988,1991,,Enkammarriksdagen,ethel_duvskog_e4aa37,S,woman
Yngve Wernersson,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,1988,1991,,Enkammarriksdagen,yngve_wernersson_acd524,S,man
Sven-Åke Nygårds,Sten Andersson,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,sven-ake_nygards_2d6628,S,man
Anneli Hulthén,Bengt Göransson,Socialdemokraterna,Göteborgs kommun,1988,1991,,Enkammarriksdagen,anneli_hulthen_1e86e4,S,woman
Stig Gustafsson,Anita Gradin,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,stig_gustafsson_ae548e,S,man
Barbro Andersson,Birgitta Dahl,Socialdemokraterna,Uppsala län,1988,1991,,Enkammarriksdagen,barbro_andersson_ba7444,S,woman
Lisbeth Staaf-Igelström,Roine Carlsson,Socialdemokraterna,Värmlands län,1988,1991,,Enkammarriksdagen,lisbeth_staaf-igelstrom_6e6fd5,S,woman
Barbro Nilsson,Bo Holmberg,Socialdemokraterna,Västernorrlands län,1988,1991,,Enkammarriksdagen,barbro_nilsson_0a6e21,S,woman
Margareta Persson,Mats Hellström,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,margareta_persson_36a7db,S,woman
Marianne Carlström,Sven Hulterström,Socialdemokraterna,Göteborgs kommun,1988,1991,,Enkammarriksdagen,marianne_carlstrom_05c8c8,S,woman
Erkki Tammenoksa,Bengt Lindqvist,Socialdemokraterna,Stockholms kommun,1988,1991,,Enkammarriksdagen,erkki_tammenoksa_d10864,S,man
Eivor Husing,Georg Andersson,Socialdemokraterna,Västerbottens län,1988,1991,,Enkammarriksdagen,eivor_husing_bdf9bc,S,woman
Åke Wictorsson,Ulf Lönnqvist,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,ake_wictorsson_012dab,S,man
Christina Pettersson,Ingela Thalén,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,christina_pettersson_9078d1,S,woman
Sylvia Pettersson,Thage G. Peterson,Socialdemokraterna,Stockholms län,1988,1991,,Enkammarriksdagen,sylvia_pettersson_bdecfb,S,woman
Christina Axelsson,Pierre Schori,Socialdemokraterna,"Stockholms län, plats 45",1994,1998,,Enkammarriksdagen,christina_axelsson_c0d67a,S,woman
Cinnika Beiming,Pär Nuder,Socialdemokraterna,"Stockholms län, plats 61",1994,1998,,Enkammarriksdagen,cinnika_beiming_d7fe0e,S,woman
Mats Berglind,Thomas Östros,Socialdemokraterna,"Uppsala län, plats 74",1994,1998,,Enkammarriksdagen,mats_berglind_0bb48c,S,man
Agneta Brendt,Ulrica Messing,Socialdemokraterna,"Gävleborgs län, plats 307",1994,1998,,Enkammarriksdagen,agneta_brendt_324099,S,woman
Björn Ericson,Ines Uusmann,Socialdemokraterna,"Stockholms län, plats 43",1994,1998,,Enkammarriksdagen,bjorn_ericson_c6b798,S,man
Christer Erlandsson,Björn von Sydow,Socialdemokraterna,"Stockholms län, plats 60",1994,1998,,Enkammarriksdagen,christer_erlandsson_ff7542,S,man
Hans Hoff,Ingegerd Sahlström,Socialdemokraterna,"Hallands län, plats 184",1994,1998,,Enkammarriksdagen,hans_hoff_76eb03,S,man
Elisebeht Markström,Göran Persson,Socialdemokraterna,"Södermanlands län, plats 79",1994,1998,,Enkammarriksdagen,elisebeht_markstrom_c10dd5,S,woman
Majvi Andersson,Nalin Pekgul,Socialdemokraterna,"Stockholms kommun, plats 26",1994,1998,,Enkammarriksdagen,majvi_andersson_6e130d,S,woman
Jörgen Persson,Margareta Winberg,Socialdemokraterna,"Jämtlands län, plats 323",1994,1998,,Enkammarriksdagen,jorgen_persson_818509,S,man
Marina Pettersson,Bo Finnkvist,Socialdemokraterna,"Värmlands län, plats 253",1994,1998,,Enkammarriksdagen,marina_pettersson_a5dd10,S,woman
Berndt Sköldestig,Maj-Inger Klingvall,Socialdemokraterna,"Östergötlands län, plats 95",1994,1998,,Enkammarriksdagen,berndt_skoldestig_a99c6b,S,man
Åsa Stenberg,Thage G Peterson,Socialdemokraterna,"Stockholms län, plats 28",1994,1998,,Enkammarriksdagen,asa_stenberg_3922b5,S,woman
Lennart Thörnlund,Eva Persson Sellin,Socialdemokraterna,"Norrbottens län, plats 346",1994,1998,,Enkammarriksdagen,lennart_thornlund_c0d285,S,man
Tone Tingsgård,Birgitta Dahl,Socialdemokraterna,"Uppsala län, plats 63",1994,1998,,Enkammarriksdagen,tone_tingsgard_3d94f0,S,woman
Mariann Ytterberg,Lena Hjelm-Wallén,Socialdemokraterna,"Västmanlands län, plats 275",1994,1998,,Enkammarriksdagen,mariann_ytterberg_ccfbc6,S,woman
Alexandra Anstrell,Hillevi Engström,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,alexandra_anstrell_9d17db,M,woman
Gulan Avci,Maria Arnholm,Liberalerna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,gulan_avci_1b8bf8,L,Gulan Avci
Erik Bengtzboe,Ulf Kristersson,Moderaterna,Södermanlands län,2014-09-29,2014-10-03,,Enkammarriksdagen,erik_bengtzboe_a963e6,M,man
Gustav Blix,Beatrice Ask,Moderaterna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,gustav_blix_64ca04,M,man
Staffan Danielsson,Lena Ek,Centerpartiet,Östergötlands län,2014-09-29,2014-10-03,,Enkammarriksdagen,staffan_danielsson_66e289,C,man
Erik Ezelius,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,2014-09-29,2015-10-11,,Enkammarriksdagen,erik_ezelius_6095da,S,man
Rene Francis,Elisabeth Svantesson,Moderaterna,Örebro län,2014-09-29,2014-10-03,,Enkammarriksdagen,rene_francis_31ca16,M,woman
Carl B. Hamilton,Jan Björklund,Liberalerna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,carl_b_hamilton_f3c379,L,man
Isabella Hökmark,Karin Enström,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,isabella_hokmark_048e70,M,woman
Karin Karlsbro,Erik Ullenhag,Liberalerna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,karin_karlsbro_190bdf,L,woman
Dag Klackenberg,Fredrik Reinfeldt,Moderaterna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,dag_klackenberg_856dcd,M,man
Göran Lindell,Annie Lööf,Centerpartiet,Jönköpings län,2014-09-29,2014-10-03,,Enkammarriksdagen,goran_lindell_5999dc,C,man
Nina Lundström,Birgitta Ohlsson,Liberalerna,Stockholms kommun,2014-09-29,2014-10-03,,Enkammarriksdagen,nina_lundstrom_25ca36,L,woman
Karin Nilsson,Eskil Erlandsson,Centerpartiet,Kronobergs län,2014-09-29,2014-10-03,,Enkammarriksdagen,karin_nilsson_1c1da6,C,woman
Erik Ottoson,Ewa Björling,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,erik_ottoson_799427,M,man
Fredrik Schulte,Catharina Elmsäter-Svärd,Moderaterna,Stockholms län,2014-09-29,2014-10-03,,Enkammarriksdagen,fredrik_schulte_ffd40c,M,man
Larry Söder,Göran Hägglund,Kristdemokraterna,Hallands län,2014-09-29,2014-10-03,,Enkammarriksdagen,larry_soder_153bed,KD,man
Agneta Karlsson,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2014-10-03,2014-10-13,,Enkammarriksdagen,agneta_karlsson_c4638c,S,woman
Patrik Engström,Peter Hultqvist,Socialdemokraterna,Dalarnas län,2014-10-03,2017-03-31,,Enkammarriksdagen,patrik_engstrom_a910e5,S,man
Sanne Lennström[n 24],Ardalan Shekarabi,Socialdemokraterna,Uppsala län,2014-10-03,2017-04-23,,Enkammarriksdagen,sanne_lennstrom[n_24]_bba31b,S,woman
Shadiye Heydari,Anna Johansson,Socialdemokraterna,Göteborgs kommun,2014-10-03,2017-07-27,,Enkammarriksdagen,shadiye_heydari_7563ae,S,woman
Ida Karkiainen,Sven-Erik Bucht,Socialdemokraterna,Norrbottens län,2014-10-03,2015-08-31,,Enkammarriksdagen,ida_karkiainen_4de97d,S,woman
Elisabet Knutsson,Gustav Fridolin,Miljöpartiet,Skåne läns norra och östra,2014-10-03,2018-09-24,,Enkammarriksdagen,elisabet_knutsson_4a30bb,MP,woman
Serkan Köse,Magdalena Andersson,Socialdemokraterna,Stockholms län,2014-10-03,2017-03-31,,Enkammarriksdagen,serkan_kose_3d44f0,S,man
Teres Lindberg,Ylva Johansson,Socialdemokraterna,Stockholms kommun,2014-10-03,2015-09-30,,Enkammarriksdagen,teres_lindberg_590c93,S,woman
Stefan Nilsson,Per Bolund,Miljöpartiet,Stockholms kommun,2014-10-03,2016-06-06,,Enkammarriksdagen,stefan_nilsson_eb06dd,MP,man
Marianne Pettersson,Morgan Johansson,Socialdemokraterna,Skåne läns södra,2014-10-03,2018-09-24,,Enkammarriksdagen,marianne_pettersson_a7591e,S,woman
Lawen Redar,Stefan Löfven,Socialdemokraterna,Stockholms kommun,2014-10-03,2015-09-30,,Enkammarriksdagen,lawen_redar_dbb8e6,S,woman
Azadeh Rojhan Gustafsson,Mikael Damberg,Socialdemokraterna,Stockholms län,2014-10-03,2016-08-09,,Enkammarriksdagen,azadeh_rojhan_gustafsson_2c1e7e,S,
Pernilla Stålhammar,Åsa Romson,Miljöpartiet,Stockholms kommun,2014-10-03,2016-06-06,,Enkammarriksdagen,pernilla_stalhammar_e5056d,MP,woman
Börje Vestlund,Anders Ygeman,Socialdemokraterna,Stockholms kommun,2014-10-03,2015-09-30,,Enkammarriksdagen,borje_vestlund_9e56c6,S,man
Jakop Dalunde,Per Olsson,Miljöpartiet,Stockholms kommun,2014-10-14,2015-05-17,,Enkammarriksdagen,jakop_dalunde_c2c93c,MP,man
Mathias Tegnér,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2014-10-14,2015-10-31,,Enkammarriksdagen,mathias_tegner_4c96fa,S,man
Fredrik Eriksson,Jimmie Åkesson,Sverigedemokraterna,Jönköpings län,2014-10-22,2014-12-21,,Enkammarriksdagen,fredrik_eriksson_09dbb4,SD,man
Lars Püss,Jenny Petersson,Moderaterna,Hallands län,2014-11-03,2015-03-29,,Enkammarriksdagen,lars_puss_a07802,M,man
Nina Lundström,Birgitta Ohlsson,Liberalerna,Stockholms kommun,2014-11-17,2015-07-03,,Enkammarriksdagen,nina_lundstrom_fe0f5b,L,woman
Gunnar Hedberg,Ulrika Karlsson,Moderaterna,Uppsala län,2014-12-01,2015-05-30,,Enkammarriksdagen,gunnar_hedberg_60c8a7,M,man
Heidi Karlsson[n 25],Jimmie Åkesson,Sverigedemokraterna,Jönköpings län,2014-12-22,2015-03-31,,Enkammarriksdagen,heidi_karlsson[n_25]_140ec2,SD,woman
Crister Spets,Jeff Ahl,Sverigedemokraterna,Hallands län,2015-02-03,2015-03-10,,Enkammarriksdagen,crister_spets_8e7da1,SD,man
Monica Tedestam Berglöw,Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra,2015-02-05,2015-03-10,,Enkammarriksdagen,monica_tedestam_berglow_18284f,SD,woman
Crister Spets,Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra,2015-03-11,2015-03-31,,Enkammarriksdagen,crister_spets_1243c0,SD,man
Heidi Karlsson,Margareta Larsson,Sverigedemokraterna,Västra Götalands läns östra,2015-04-01,2015-05-15,,Enkammarriksdagen,heidi_karlsson_6a0b2a,SD,woman
Torbjörn Björlund,Linda Snecker,Vänsterpartiet,Östergötlands län,2015-04-07,2015-06-21,,Enkammarriksdagen,torbjorn_bjorlund_8de3fd,V,man
Jakop Dalunde,Maria Ferm,Miljöpartiet,Stockholms kommun,2015-05-18,2015-12-17,,Enkammarriksdagen,jakop_dalunde_dc90bd,MP,man
