decade,name,born,municipality,district,chamber,year,id,gender,party,start,end
ea_2077_62800_1_1920,Oscar Ulrik Bernhardin Olsson,1877,,,,1920,oscar_ulrik_bernhardin_olsson_2add22,man,,1920,1920
ea_2077_62800_1_1920,Richert Gerard Halfred Koch,1872,,,,1920,richert_gerard_halfred_koch_da4399,man,,1920,1920
ea_2077_62800_1_1920,Adolf Hjalmar Sydow,1862,,,,1920,adolf_hjalmar_sydow_8b79dd,man,,1920,1920
ea_2077_62800_1_1920,Anders Örne,1881,,,,1920,anders_orne_0a4667,man,,1920,1920
ea_2077_62800_1_1920,Axel Vindahl,1866,,,,1920,axel_vindahl_c865af,man,,1920,1920
ea_2077_62800_1_1920,Ivar Jonas Pettersson,1876,,,,1920,ivar_jonas_pettersson_6d00c1,man,,1920,1920
ea_2077_62800_1_1920,Johan Peter Johansson,1874,,,,1920,johan_peter_johansson_dfb69a,man,,1920,1920
ea_2077_62800_1_1920,Östersund Hornsberg,1853,,,,1920,ostersund_hornsberg_2c55ea,,,1920,1920
ea_2077_62800_1_1920,Carl Adolf Grewesmiihl,1877,,,,1920,carl_adolf_grewesmiihl_9efc0c,man,,1920,1920
ea_2077_62800_1_1920,Tillberga Lycksta,1860,,,,1920,tillberga_lycksta_cf5b4e,,,1920,1920
ea_2077_62800_1_1920,Axel Herman Georg Rogberg,1865,,Kopparbergs län,,1920,axel_herman_georg_rogberg_4ee90e,man,,1920,1920
ea_2077_62800_1_1920,Carl Fredrik Holmquist,1857,,,,1920,carl_fredrik_holmquist_9a2e55,man,,1920,1920
ea_2077_62800_1_1920,Nils Johan Fredrik Amkvist,1867,,,,1920,nils_johan_fredrik_amkvist_002cfc,man,,1920,1920
ea_2077_62800_1_1920,Åhlmans Olof Olsson,1866,,,,1920,ahlmans_olof_olsson_f36c97,,,1920,1920
ea_2077_62800_1_1920,Anders Pers,1860,,,,1920,anders_pers_477b6f,man,,1920,1920
ea_2077_62800_1_1920,Carl Winberg,1867,,,,1920,carl_winberg_dc6fc1,man,,1920,1920
ea_2077_62800_1_1920,Erik Dalberg,1869,,,,1920,erik_dalberg_b8c29c,man,,1920,1920
ea_2077_62800_1_1920,Olof Bergqvist,1862,,Gävleborgs län,,1920,olof_bergqvist_0353e0,man,,1920,1920
ea_2077_62800_1_1920,Paul Hellström,1866,,,,1920,paul_hellstrom_0308d5,man,,1920,1920
ea_2077_62800_1_1920,Carl Gustaf Teodor Wickman,1856,,,,1920,carl_gustaf_teodor_wickman_2f62a9,man,,1920,1920
ea_2077_62800_1_1920,Jonas Otto Ödlund,1874,,,,1920,jonas_otto_odlund_ba34bc,man,,1920,1920
ea_2077_62800_1_1920,Per Norin,1863,,,,1920,per_norin_dedd2c,man,,1920,1920
ea_2077_62800_1_1920,Karl Hjalmar Branting,1860,,,,1920,karl_hjalmar_branting_59601f,man,,1920,1920
ea_2077_62800_1_1920,Landsorganisationens Möbelsnickare,1863,,Västernorrlands län,,1920,landsorganisationens_mobelsnickare_8617ab,,,1920,1920
ea_2077_62800_1_1920,Salomon Arvid Achates Lindman,1862,,,,1920,salomon_arvid_achates_lindman_36e228,man,,1920,1920
ea_2077_62800_1_1920,Emil Oskar Hagman,1880,,,,1920,emil_oskar_hagman_fbfec2,man,,1920,1920
ea_2077_62800_1_1920,Knut Erik Ossian Kjellberg,1867,,,,1920,knut_erik_ossian_kjellberg_999f13,man,,1920,1920
ea_2077_62800_1_1920,Tmo Direktör,1885,,,,1920,tmo_direktor_7db15a,,,1920,1920
ea_2077_62800_1_1920,Wiktor Emanuel Karlsson,1881,,,,1920,wiktor_emanuel_karlsson_05b1a4,man,,1920,1920
ea_2077_62800_1_1920,Karl Edvard Johansson,1919,,,,1920,karl_edvard_johansson_6af488,man,,1920,1920
ea_2077_62800_1_1920,Rickard Johannes Sandler,1884,,,,1920,rickard_johannes_sandler_c14e8b,man,,1920,1920
ea_2077_62800_1_1920,Svante Herman Kvarnzelius,1864,,,,1920,svante_herman_kvarnzelius_3eb94b,man,,1920,1920
ea_2077_62800_1_1920,Erik August Enhörning,1860,,,,1920,erik_august_enhorning_546ab4,man,,1920,1920
ea_2077_62800_1_1920,Janne Gustaf Walles,1871,,,,1920,janne_gustaf_walles_fdcf36,,,1920,1920
