Namn,Namn,Parti,"Valkrets, plats"
,Elver Jonsson,Folkpartiet liberalerna,"Älvsborgs läns norra, plats 222"
,Göte Jonsson,Moderata samlingspartiet,"Jönköpings län, plats 104"
,Ingemar Josefsson,Socialdemokraterna,"Stockholms kommun, plats 22"
,Håkan Juholt,Socialdemokraterna,"Kalmar län, plats 131"
,Thomas Julin,Miljöpartiet de Gröna,"Gävleborgs län, plats 309"
,Henrik S. Järrel,Moderata samlingspartiet,"Stockholms kommun, plats 4"
,Anita Jönsson,Socialdemokraterna,"Malmöhus läns södra, plats 176"
,Marianne Jönsson,Socialdemokraterna,"Kristianstads län, plats 150"
,Björn Kaaling,Socialdemokraterna,"Uppsala län, plats 66"
,Hans Karlsson,Socialdemokraterna,"Örebro län, plats 268"
,Ola Karlsson,Moderata samlingspartiet,"Örebro län, plats 269"
,Rinaldo Karlsson,Socialdemokraterna,"Västerbottens län, plats 331"
,Sonia Karlsson,Socialdemokraterna,"Östergötlands län, plats 94"
,Rolf Kenneryd,Centerpartiet,"Hallands län, plats 183"
,Ulf Kero,Socialdemokraterna,"Norrbottens län, plats 347"
,Arne Kjörnsberg,Socialdemokraterna,"Älvsborgs läns södra, plats 234"
,Lena Klevenås,Socialdemokraterna,"Älvsborgs läns norra, plats 229"
,Maj-Inger Klingvall,Socialdemokraterna,"Östergötlands län, plats 95"
,Lennart Klockare,Socialdemokraterna,"Norrbottens län, plats 344"
,Göthe Knutson,Moderata samlingspartiet,"Värmlands län, plats 251"
,Inger Koch,Moderata samlingspartiet,"Stockholms län, plats 36"
,Ronny Korsberg,Miljöpartiet de Gröna,"Jönköpings län, plats 113"
,Ulf Kristersson,Moderata samlingspartiet,"Stockholms kommun, plats 17"
,Kerstin Kristiansson Karlstedt,Socialdemokraterna,"Västernorrlands län, plats 315"
,Bengt Kronblad,Socialdemokraterna,"Kalmar län, plats 122"
,Kenneth Kvist,Vänsterpartiet,"Stockholms kommun, plats 23"
,Bo Könberg,Folkpartiet liberalerna,"Stockholms kommun, plats 9"
,Per Lager,Miljöpartiet de Gröna,"Bohuslän, plats 220"
,Jarl Lander,Socialdemokraterna,"Värmlands län, plats 256"
,Henrik Landerholm,Moderata samlingspartiet,"Södermanlands län, plats 80"
,Ewa Larsson,Miljöpartiet de Gröna,"Stockholms kommun, plats 24"
,Kaj Larsson,Socialdemokraterna,"Kristianstads län, plats 146"
,Lena Larsson,Socialdemokraterna,"Malmöhus läns norra, plats 167"
,Roland Larsson,Centerpartiet,"Östergötlands län, plats 93"
,Frank Lassen,Socialdemokraterna,"Värmlands län, plats 255"
,Lars Leijonborg,Folkpartiet liberalerna,"Stockholms län, plats 38"
,Sören Lekberg,Socialdemokraterna,"Stockholms län, plats 33"
,Göran Lennmarker,Moderata samlingspartiet,"Stockholms län, plats 46"
,Lars Lilja,Socialdemokraterna,"Västerbottens län, plats 328"
,Mats Lindberg,Socialdemokraterna,"Västerbottens län, plats 330"
,Gullan Lindblad,Moderata samlingspartiet,"Värmlands län, plats 252"
,Tanja Linderborg,Vänsterpartiet,"Västmanlands län, plats 281"
,Sylvia Lindgren,Socialdemokraterna,"Stockholms kommun, plats 18"
,Olle Lindström,Moderata samlingspartiet,"Norrbottens län, plats 343"
,Gudrun Lindvall,Miljöpartiet de Gröna,"Stockholms län, plats 55"
,Agneta Lundberg,Socialdemokraterna,"Västernorrlands län, plats 321"
,Carin Lundberg,Socialdemokraterna,"Västerbottens län, plats 332"
,Inger Lundberg,Socialdemokraterna,"Örebro län, plats 266"
,Sven Lundberg,Socialdemokraterna,"Västernorrlands län, plats 311"
,Bo Lundgren,Moderata samlingspartiet,"Kristianstads län, plats 142"
,Ulla Löfgren,Moderata samlingspartiet,"Västerbottens län, plats 336"
,Berit Löfstedt,Socialdemokraterna,"Östergötlands län, plats 88"
,Johan Lönnroth,Vänsterpartiet,"Göteborgs kommun, plats 201"
,Lars-Erik Lövdén,Socialdemokraterna,"Malmö kommun, plats 153"
,Göran Magnusson,Socialdemokraterna,"Västmanlands län, plats 278"
,Leif Marklund,Socialdemokraterna,"Norrbottens län, plats 340"
,Jerry Martinger,Moderata samlingspartiet,"Stockholms län, plats 39"
,Ulf Melin,Moderata samlingspartiet,"Jönköpings län, plats 108"
,Ulrica Messing,Socialdemokraterna,"Gävleborgs län, plats 307"
,Maggi Mikaelsson,Vänsterpartiet,"Västerbottens län, plats 333"
,Carina Moberg,Socialdemokraterna,"Stockholms län, plats 62"
,Anders Nilsson,Socialdemokraterna,"Skaraborgs län, plats 241"
,Annika Nilsson,Socialdemokraterna,"Malmöhus läns norra, plats 169"
,Bo Nilsson,Socialdemokraterna,"Malmöhus läns norra, plats 161"
,Börje Nilsson,Socialdemokraterna,"Kristianstads län, plats 140"
,Carl G. Nilsson,Moderata samlingspartiet,"Östergötlands län, plats 92"
,Christin Nilsson,Socialdemokraterna,"Malmöhus läns norra, plats 163"
,Helena Nilsson,Centerpartiet,"Malmöhus läns norra, plats 168"
,Lennart Nilsson,Socialdemokraterna,"Bohuslän, plats 208"
,Martin Nilsson,Socialdemokraterna,"Jönköpings län, plats 109"
,Margareta E. Nordenvall,Moderata samlingspartiet,"Stockholms län, plats 57"
,Annika Nordgren Christensen,Miljöpartiet de Gröna,"Skaraborgs län, plats 250"
,Kjell Nordström,Socialdemokraterna,"Skaraborgs län, plats 243"
,Kristina Nordström,Socialdemokraterna,"Stockholms kommun, plats 8"
,Patrik Norinder,Moderata samlingspartiet,"Gävleborgs län, plats 305"
,Pär Nuder,Socialdemokraterna,"Stockholms län, plats 61"
,Sven-Åke Nygårds,Socialdemokraterna,"Stockholms kommun, plats 10"
,Elizabeth Nyström,Moderata samlingspartiet,"Älvsborgs läns norra, plats 226"
,Ingrid Näslund,Kristdemokraterna,"Göteborgs kommun, plats 200"
,Mats Odell,Kristdemokraterna,"Stockholms län, plats 50"
,Mikael Odenberg,Moderata samlingspartiet,"Stockholms kommun, plats 15"
,Ronny Olander,Socialdemokraterna,"Malmöhus läns södra, plats 181"
,Bengt Harding Olson,Folkpartiet liberalerna,"Kristianstads län, plats 145"
,Karin Olsson,Socialdemokraterna,"Blekinge län, plats 138"
,Kent Olsson,Moderata samlingspartiet,"Bohuslän, plats 216"
,Berit Oscarsson,Socialdemokraterna,"Västmanlands län, plats 276"
,Roy Ottosson,Miljöpartiet de Gröna,"Västernorrlands län, plats 320"
,Sverre Palm,Socialdemokraterna,"Bohuslän, plats 209"
,Nikos Papadopoulos,Socialdemokraterna,"Stockholms kommun, plats 1"
,Nalin Pekgul,Socialdemokraterna,"Stockholms kommun, plats 26"
,Anita Persson,Socialdemokraterna,"Södermanlands län, plats 76"
,Bertil Persson,Moderata samlingspartiet,"Malmö kommun, plats 158"
,Catherine Persson,Socialdemokraterna,"Malmöhus läns södra, plats 178"
,Göran Persson,Socialdemokraterna,"Södermanlands län, plats 79"
,Karl-Erik Persson,Vänsterpartiet,"Örebro län, plats 265"
,Leo Persson,Socialdemokraterna,"Kopparbergs län, plats 289"
