Plats,Ledamot,Anmärkning,Parti,Valkrets
103,Bengt Berg,Personvald,V,Värmlands län
346,Christina Höj Larsen,,V,Västernorrlands län
262,Eva Olofsson,,V,Göteborgs kommun
297,Hans Linde,,V,Göteborgs kommun
57,Jacob Johnson,Ersattes av Emma Wallrup 2012-01-18 – 2012-04-09[4],V,Uppsala län
316,Jens Holm,,V,Stockholms kommun
202,Jonas Sjöstedt,PersonvaldPartiledare fr.o.m. 6 januari 2012,V,Västerbottens län
208,Josefin Brink,,V,Stockholms kommun
235,Kent Persson,,V,Västmanlands län
54,Lars Ohly,PersonvaldPartiledare t.o.m. 6 januari 2012,V,Stockholms län
48,Lena Olsson,,V,Dalarnas län
37,Marianne Berg,,V,Malmö kommun
341,Mia Sydow Mölleby,,V,Örebro län
194,Rossana Dinamarca,Personvald,V,Västra Götalands läns norra
205,Siv Holma,,V,Norrbottens län
59,Torbjörn Björlund,,V,Östergötlands län
107,Ulla Andersson,,V,Gävleborgs län
69,Wiwi-Anne Johansson,,V,Västra Götalands läns västra
255,Anders Andersson,Personvald,KD,Kalmar län
168,Anders Sellström,Personvald,KD,Västerbottens län
226,Annelie Enochson,Personvald,KD,Göteborgs kommun
161,Annika Eclund,Personvald,KD,Västra Götalands läns östra
115,Désirée Pethrus,Tidigare efternamn: Pethrus Engström[5],KD,Stockholms län
247,Emma Henriksson,,KD,Stockholms län
50,Göran Hägglund(ersatt av Caroline Szyber),Personvald,KD,Stockholms kommun
67,Lars Gustafsson,,KD,Hallands län
305,Lars-Axel Nordell,Personvald,KD,Örebro län
216,Maria Larsson(ersatt av Irene Oskarsson),Personvald,KD,Jönköpings län
4,Mats Odell,Statsråd t.o.m. 5 oktober 2010,KD,Stockholms län
28,Mikael Oscarsson,Personvald,KD,Uppsala län
258,Magnus Sjödahl,Fr.o.m. 21 februari 2013,KD,Skåne läns södra
265,Penilla Gunther,,KD,Västra Götalands läns norra
315,Robert Halef,,KD,Stockholms kommun
129,Roland Utbult,Personvald,KD,Västra Götalands läns västra
181,Stefan Attefall(ersatt av Andreas Carlson),,KD,Jönköpings län
15,Tuve Skånberg,Personvald,KD,Skåne läns norra och östra
8,Yvonne Andersson,,KD,Östergötlands län

