Plats,Namn,Namn,Parti,Valkrets
41,,Ola Rask,Socialdemokraterna,Stockholms län
39,,Fredrik Reinfeldt,Moderata samlingspartiet,Stockholms län
221,,Inger René,Moderata samlingspartiet,Västra Götalands läns västra
38,,Stig Rindborg,Moderata samlingspartiet,Stockholms län
134,,Agneta Ringman,Socialdemokraterna,Kalmar län
245,,Jonas Ringqvist,Vänsterpartiet,Västra Götalands läns södra
232,,Fanny Rizell,Kristdemokraterna,Västra Götalands läns norra
252,,Per Rosengren,Vänsterpartiet,Västra Götalands läns östra
224,,Rosita Runegrund,Kristdemokraterna,Västra Götalands läns västra
9,,Yvonne Ruwaida,Miljöpartiet de Gröna,Stockholms kommun
291,,Bengt-Ola Ryttar,Socialdemokraterna,Dalarnas län
265,,Jan-Evert Rådhström,Moderata samlingspartiet,Värmlands län
187,,Ingegerd Sahlström,Socialdemokraterna,Hallands län
233,,Marianne Samuelsson,Miljöpartiet de Gröna,Jönköpings län
329,,Lena Sandlin-Hedman,Socialdemokraterna,Västerbottens län
233,,Stig Sandström,Vänsterpartiet,Västra Götalands läns norra
336,,Åke Sandström,Centerpartiet,Västerbottens län
0,,Birger Schlaug,Miljöpartiet de Gröna,Södermanlands län
7,,Pierre Schori,Socialdemokraterna,Stockholms kommun
33,,Gudrun Schyman,Vänsterpartiet,Stockholms län
8,,Inger Segelström,Socialdemokraterna,Stockholms kommun
317,,Birgitta Sellén,Centerpartiet,Västernorrlands län
208,,Anita Sidén,Moderata samlingspartiet,Göteborgs kommun
152,,Bengt Silfverstrand,Socialdemokraterna,Skåne läns västra
335,,Anders Sjölund,Moderata samlingspartiet,Västerbottens län
182,,Sven-Erik Sjöstrand,Vänsterpartiet,Skåne läns norra och östra
140,,Christer Skoog,Socialdemokraterna,Blekinge län
180,,Tuve Skånberg,Kristdemokraterna,Skåne läns norra och östra
1,,Carl-Erik Skårman,Moderata samlingspartiet,Stockholms kommun
216,,Kenth Skårvik,Folkpartiet liberalerna,Västra Götalands läns västra
326,,Camilla Sköld Jansson,Vänsterpartiet,Jämtlands län
96,,Berndt Sköldestig,Socialdemokraterna,Östergötlands län
257,,Lisbeth Staaf-Igelström,Socialdemokraterna,Värmlands län
160,,Tasso Stafilidis,Vänsterpartiet,Skåne läns västra
295,,Kerstin-Maria Stalin,Miljöpartiet de Gröna,Dalarnas län
312,,Hans Stenberg,Socialdemokraterna,Västernorrlands län
71,,Rigmor Stenmark,Centerpartiet,Uppsala län
323,,Claes Stockhaus,Vänsterpartiet,Västernorrlands län
62,,Inger Strömbom,Kristdemokraterna,Stockholms län
325,,Ola Sundell,Moderata samlingspartiet,Jämtlands län
345,,Anders Sundström,Socialdemokraterna,Norrbottens län
170,,Karin Svensson Smith,Vänsterpartiet,Skåne läns södra
110,,Alf Svensson,Kristdemokraterna,Jönköpings län
48,,Ingvar Svensson,Kristdemokraterna,Stockholms län
307,,Per-Olof Svensson,Socialdemokraterna,Gävleborgs län
42,,Björn von Sydow,Socialdemokraterna,Stockholms län
141,,Willy Söderdahl,Vänsterpartiet,Blekinge län
234,,Nils-Erik Söderqvist,Socialdemokraterna,Västra Götalands läns norra
173,,Ewa Thalén Finné,Moderata samlingspartiet,Skåne läns södra
32,,Ingela Thalén,Socialdemokraterna,Stockholms län
334,,Gunilla Tjernberg,Kristdemokraterna,Västerbottens län
29,,Lars Tobisson,Moderata samlingspartiet,Stockholms län
272,,Sten Tolgfors,Moderata samlingspartiet,Örebro län
225,,Åsa Torstensson,Centerpartiet,Västra Götalands läns västra
296,,Marita Ulvskog,Socialdemokraterna,Dalarnas län
92,,Per Unckel,Moderata samlingspartiet,Östergötlands län
318,,Gunilla Wahlén,Vänsterpartiet,Västernorrlands län
117,,Göte Wahlström,Socialdemokraterna,Jönköpings län
51,,Tommy Waidelich,Socialdemokraterna,Stockholms län
149,,Maj-Britt Wallhorn,Kristdemokraterna,Malmö kommun
183,,Gunnel Wallin,Centerpartiet,Skåne läns norra och östra
125,,Lars Wegendal,Socialdemokraterna,Kronobergs län
161,,Karin Wegestål,Socialdemokraterna,Skåne läns södra
181,,Ulla Wester,Socialdemokraterna,Skåne läns norra och östra
81,,Per Westerberg,Moderata samlingspartiet,Södermanlands län
3,,Barbro Westerholm,Folkpartiet liberalerna,Stockholms kommun
191,,Majléne Westerlund Panke,Socialdemokraterna,Hallands län
52,,Henrik Westman,Moderata samlingspartiet,Stockholms län
322,,Margareta Winberg,Socialdemokraterna,Jämtlands län
138,,Lilian Virgin,Socialdemokraterna,Gotlands län
102,,Carlinge Wisberg,Vänsterpartiet,Östergötlands län
8,,Birgitta Wistrand,Moderata samlingspartiet,Stockholms kommun
206,,Siw Wittgren-Ahl,Socialdemokraterna,Göteborgs kommun
189,,Liselotte Wågö,Moderata samlingspartiet,Hallands län
344,,Erling Wälivaara,Kristdemokraterna,Norrbottens län
236,,Ingemar Vänerlöv,Kristdemokraterna,Västra Götalands läns norra
123,,Lennart Värmby,Vänsterpartiet,Kronobergs län
179,,Ingegerd Wärnersson,Socialdemokraterna,Skåne läns norra och östra
12,,Anders Ygeman,Socialdemokraterna,Stockholms kommun
285,,Mariann Ytterberg,Socialdemokraterna,Västmanlands län
5,,Eva Zetterberg,Vänsterpartiet,Stockholms kommun
14,,Rolf Åbjörnsson,Kristdemokraterna,Stockholms kommun
318,,Jan Erik Ågren,Kristdemokraterna,Västernorrlands län
154,,Anna Åkerhielm,Moderata samlingspartiet,Skåne läns västra
54,,Lars Ångström,Miljöpartiet de Gröna,Stockholms län
332,,Yvonne Ångström,Folkpartiet liberalerna,Västerbottens län
310,,Erik Åsbrink,Socialdemokraterna,Gävleborgs län
114,,Alice Åström,Vänsterpartiet,Jönköpings län
95,,Conny Öhman,Socialdemokraterna,Östergötlands län
341,,Monica Öhman,Socialdemokraterna,Norrbottens län
131,,Krister Örnfjäder,Socialdemokraterna,Kalmar län
284,,Sven-Erik Österberg,Socialdemokraterna,Västmanlands län
74,,Thomas Östros,Socialdemokraterna,Uppsala län

