Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
William Björk,trädgårdsmästare,,Socialdemokraterna,Malmöhus län,
Gunnar Oscarsson,kapten,,Moderata samlingspartiet,Hallands län,
Johannes Antonsson,hemmansägare,,Centerpartiet,Hallands län,
Axel Kristiansson,lantbrukare,,Centerpartiet,Hallands län,
Alvar Andersson (politiker),lantbrukare,,Centerpartiet,Hallands län,
Karl Bengtsson,verkmästare,,Folkpartiet,Hallands län,
Ingemund Bengtsson,statsråd,,Socialdemokraterna,Hallands län,
Gösta Josefsson,förste inspektör,,Socialdemokraterna,Hallands län,
Erik Mossberger,ombudsman,,Socialdemokraterna,Hallands län,
Ove Nordstrandh,lektor,,Moderata samlingspartiet,Göteborg stad,
Paul Brundin,direktör,,Moderata samlingspartiet,Göteborg stad,
Rune Torwald,personalchef,,Centerpartiet,Göteborg stad,
"Bengt Bengtsson, f. 1920",partiombudsman,,Centerpartiet,Göteborg stad,
Sven Gustafson,bankkamrer,,Folkpartiet,Göteborg stad,
Ingegärd Fraenkel,studierektor,,Folkpartiet,Göteborg stad,
Thorvald Källstad,rektor,,Folkpartiet,Göteborg stad,
Björn Molin,docent,,Folkpartiet,Göteborg stad,
Nils Hörberg,försäkringstjänsteman,,Folkpartiet,Göteborg stad,
Birger Möller,universitetslärare,,Folkpartiet,Göteborg stad,
Tage Erlander,f.d. statsminister,,Socialdemokraterna,Göteborg stad,
Per Bergman,direktör,,Socialdemokraterna,Göteborg stad,
Valter Kristensson,metallarbetare,,Socialdemokraterna,Göteborg stad,
Lisa Mattsson,redaktör,,Socialdemokraterna,Göteborg stad,
Kaj Björk,redaktör,,Socialdemokraterna,Göteborg stad,
Kurt Hugosson,byråchef,,Socialdemokraterna,Göteborg stad,
Doris Håvik,assistent,,Socialdemokraterna,Göteborg stad,
Jan Bergqvist,universitetslärare,,Socialdemokraterna,Göteborg stad,
Gunvor Ryding,industritjänsteman,,Vänsterpartiet kommunisterna,Göteborg stad,
Karl Hallgren,ombudsman,,Vänsterpartiet kommunisterna,Göteborg stad,
Nils Carlshamre,lektor,,Moderata samlingspartiet,Göteborgs och Bohus län,
Lennart Mattsson,studieledare,,Centerpartiet,Göteborgs och Bohus län,
Kjell A. Mattsson,lantbrukare,,Centerpartiet,Göteborgs och Bohus län,
Georg Åberg,fiskeriombudsman,,Folkpartiet,Göteborgs och Bohus län,
Henry Berndtsson,lantbrukare,,Folkpartiet,Göteborgs och Bohus län,
Arvid Annerås,köpman,,Folkpartiet,Göteborgs och Bohus län,
Gunnar Gustafsson,ombudsman,,Socialdemokraterna,Göteborgs och Bohus län,
Sven-Göran Olhede,statssekreterare,,Socialdemokraterna,Göteborgs och Bohus län,
Nils Magnusson,lantbrukare,,Socialdemokraterna,Göteborgs och Bohus län,
Evert Svensson,socionom,,Socialdemokraterna,Göteborgs och Bohus län,
Arvid Enarsson,skogsbruksägare,,Moderata samlingspartiet,Älvsborgs läns norra,
Robert Dockered,lantbrukare,,Centerpartiet,Älvsborgs läns norra,
Olle Eriksson,entreprenör,,Centerpartiet,Älvsborgs läns norra,
Sven Antby,lantbrukare,,Folkpartiet,Älvsborgs läns norra,
Elver Jonsson,1:e postiljon,,Folkpartiet,Älvsborgs läns norra,
Hilding Johansson,fil. dr,,Socialdemokraterna,Älvsborgs läns norra,
Ruth Andersson,kurator,,Socialdemokraterna,Älvsborgs läns norra,
Herbert Larsson,redaktör,,Socialdemokraterna,Älvsborgs läns norra,
Sven Andersson i Billingsfors,pappersbruksarbetare,,Socialdemokraterna,Älvsborgs läns norra,
Tage Magnusson,disponent,,Moderata samlingspartiet,Älvsborgs läns södra,
Arne Persson,lantbrukare,,Centerpartiet,Älvsborgs läns södra,
Maj Pehrsson,kassör,,Centerpartiet,Älvsborgs läns södra,
Gudmund Ernulf,borgmästare,,Folkpartiet,Älvsborgs läns södra,
Gunnar Sträng,statsråd,,Socialdemokraterna,Älvsborgs läns södra,
Rune Carlstein,stadskassör,,Socialdemokraterna,Älvsborgs läns södra,
Gördis Hörnlund,fru,,Socialdemokraterna,Älvsborgs läns södra,
Ivar Virgin,kapten,,Moderata samlingspartiet,Skaraborgs län,
Karl Leuchovius,lantbrukare,,Moderata samlingspartiet,Skaraborgs län,
Gunnar Larsson,lantbrukare,,Centerpartiet,Skaraborgs län,
Harald Pettersson,lantbrukare,,Centerpartiet,Skaraborgs län,
Bengt Börjesson,kamrer,,Centerpartiet,Skaraborgs län,
Gunnar Hyltander,köpman,,Folkpartiet,Skaraborgs län,
Gunnar Richardsson,docent,,Folkpartiet,Skaraborgs län,
Paul Jansson,elektriker,,Socialdemokraterna,Skaraborgs län,
Arne Blomkvist,porslinsarbetare,,Socialdemokraterna,Skaraborgs län,
Eva Åsbrink,rektor,,Socialdemokraterna,Skaraborgs län,
Sven-Gösta Signell,ombudsman,,Socialdemokraterna,Skaraborgs län,
Per-Erik Nisser,lantbrukare,,Moderata samlingspartiet,Värmlands län,
Bertil Jonasson,småbrukare,,Centerpartiet,Värmlands län,
Allan Gustafsson,hönseriägare,,Centerpartiet,Värmlands län,
Karl-Eric Norrby,lantbrukare,,Centerpartiet,Värmlands län,
Karl-Erik Eriksson,lantbrukare,,Folkpartiet,Värmlands län,
Billy Olsson,filosofie student,,Folkpartiet,Värmlands län,
Sven Aspling,statsråd,,Socialdemokraterna,Värmlands län,
Arvid Eskel,länsarbetsdirektör,,Socialdemokraterna,Värmlands län,
Viola Sandell,fröken,,Socialdemokraterna,Värmlands län,
Karl-Gustav Andersson,rörverksarbetare,,Socialdemokraterna,Värmlands län,
Holger Mossberg,järnbruksarbetare,,Socialdemokraterna,Värmlands län,
Elvy Nilsson,fru,,Socialdemokraterna,Värmlands län,
Magnus Persson,ombudsman,,Socialdemokraterna,Värmlands län,
John Magnusson,konduktör,,Vänsterpartiet kommunisterna,Värmlands län,
Per-Eric Ringaby,godsägare,,Moderata samlingspartiet,Örebro län,
Erik Larsson,lantbrukare,,Centerpartiet,Örebro län,
Georg Pettersson,partiombudsman,,Centerpartiet,Örebro län,
Sven Andersson i Örebro,frisörmästare,,Folkpartiet,Örebro län,
Bert Stålhammar,rektor,,Folkpartiet,Örebro län,
Henry Allard,f.d. försäljningschef,,Socialdemokraterna,Örebro län,
Erik Brandt,pappersbruksarbetare,,Socialdemokraterna,Örebro län,
Marta Lindberg,fru,,Socialdemokraterna,Örebro län,
Sven Moberg,statsråd,,Socialdemokraterna,Örebro län,
Åke Larsson,arbetsförmedlingsföreståndare,,Socialdemokraterna,Örebro län,
Sture Ericson,chefredaktör,,Socialdemokraterna,Örebro län,
Per Israelsson,apparatskötare,,Vänsterpartiet kommunisterna,Örebro län,
Tage Adolfsson,lantbrukare,,Moderata samlingspartiet,Västmanlands län,
Anton Fågelsbo,lantbrukare,,Centerpartiet,Västmanlands län,
Anders Gernandt,ingenjör,,Centerpartiet,Västmanlands län,
Carl-Gustav Enskog,linjeingenjör,,Folkpartiet,Västmanlands län,
Eric Enlund,lantbrukare,,Folkpartiet,Västmanlands län,
Olle Göransson,verkmästare,,Socialdemokraterna,Västmanlands län,
Sven Hammarberg,järnbruksarbetare,,Socialdemokraterna,Västmanlands län,
Lena Hjelm-Wallén,statsråd,,Socialdemokraterna,Västmanlands län,
Eric Marcusson,ombudsman,,Socialdemokraterna,Västmanlands län,
Thure Jadestig,föreståndare,,Socialdemokraterna,Västmanlands län,
Roland Sundgren,ombudsman,,Socialdemokraterna,Västmanlands län,
Bo Turesson,distriktslantmätare,,Moderata samlingspartiet,Kopparbergs län,
Lars Eliasson,lantbrukare,,Centerpartiet,Kopparbergs län,
Karl Boo,kontrollasistent,,Centerpartiet,Kopparbergs län,
Erik Carlsson,bonde,,Centerpartiet,Kopparbergs län,
Anders Jonsson i Mora,möbelhandlare,,Folkpartiet,Kopparbergs län,
Torsten Fredriksson,gruvarbetare,,Socialdemokraterna,Kopparbergs län,
Sven Mellqvist,expeditör,,Socialdemokraterna,Kopparbergs län,
Gudrun Sundström,fru,,Socialdemokraterna,Kopparbergs län,
Kjell-Olof Feldt,statssekreterare,,Socialdemokraterna,Kopparbergs län,
Åke Green,studieombudsman,,Socialdemokraterna,Kopparbergs län,
Ove Karlsson,arbetsledare,,Socialdemokraterna,Kopparbergs län,
Lars-Ove Hagberg,järnbruksarbetare,,Vänsterpartiet kommunisterna,Kopparbergs län,
Hans Nordgren,skräddarmästare,,Moderata samlingspartiet,Gävleborgs län,
John Eriksson i Bäckmora,f.d. ombudsman,,Centerpartiet,Gävleborgs län,
Gunnel Jonäng,fru,,Centerpartiet,Gävleborgs län,
Gunnar Björk,bankkonsulent,,Centerpartiet,Gävleborgs län,
Olof Westberg,rektor,,Folkpartiet,Gävleborgs län,
Sven Ekström,kommunalkamrer,,Socialdemokraterna,Gävleborgs län,
Anders Haglund,ombudsman,,Socialdemokraterna,Gävleborgs län,
Bertil Löfberg,statsråd,,Socialdemokraterna,Gävleborgs län,
Gunbjörg Thunvall,fru,,Socialdemokraterna,Gävleborgs län,
Yngve Möller,chefredaktör,,Socialdemokraterna,Gävleborgs län,
Erik Svedberg,hemmansägare,,Socialdemokraterna,Gävleborgs län,
Olle Westberg,svarvare,,Socialdemokraterna,Gävleborgs län,
Bertil Måbrink,,,Vänsterpartiet kommunisterna,Gävleborgs län,
Håkan Winberg,hovrättspresident,,Moderata samlingspartiet,Västernorrlands län,
Gunnar Hedlund,f.d. statsråd,,Centerpartiet,Västernorrlands län,
